,League,Season,Team,Sequence,seq_len
0,Bundesliga,2000,Bayern Munich,"[3, 3, 3, 0, 3, 3, 0, 0, 3, 1, 3, 0, 0, 1, 3, 1, 3, 3, 3, 3, 3, 0, 1, 0, 3, 3, 0, 1, 0, 3, 3, 3, 3, 1, 0]",35
1,Bundesliga,2000,Bochum,"[3, 0, 0, 0, 3, 1, 3, 0, 0, 0, 1, 0, 1, 0, 3, 0, 3, 0, 0, 0, 0, 1, 1, 0, 0, 0, 3, 3, 0, 0, 1, 0, 0, 0]",34
2,Bundesliga,2000,Cottbus,"[0, 0, 0, 3, 0, 0, 1, 3, 0, 3, 1, 3, 0, 0, 3, 0, 0, 3, 0, 3, 0, 0, 3, 0, 0, 3, 0, 1, 0, 3, 0, 0, 3, 3, 3]",35
3,Bundesliga,2000,Dortmund,"[3, 3, 0, 3, 3, 0, 1, 3, 0, 0, 0, 3, 1, 3, 3, 3, 1, 3, 3, 0, 1, 3, 1, 3, 1, 0, 3, 1, 0, 3, 1, 1, 3, 1, 3]",35
4,Bundesliga,2000,Ein Frankfurt,"[3, 0, 3, 0, 3, 1, 1, 0, 0, 3, 0, 3, 3, 0, 0, 0, 0, 0, 0, 3, 3, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 3, 0, 3]",34
5,Bundesliga,2000,FC Koln,"[0, 3, 1, 1, 0, 0, 0, 3, 0, 3, 1, 3, 3, 3, 3, 0, 1, 1, 3, 0, 0, 0, 1, 3, 3, 1, 3, 1, 1, 0, 3, 0, 0, 1, 1]",35
6,Bundesliga,2000,Freiburg,"[3, 1, 1, 1, 3, 0, 0, 0, 3, 0, 0, 0, 3, 1, 1, 3, 3, 1, 3, 3, 1, 3, 0, 0, 1, 1, 3, 1, 3, 3, 0, 3, 3, 3, 3]",35
7,Bundesliga,2000,Hamburg,"[1, 0, 3, 3, 0, 1, 3, 1, 3, 0, 3, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3, 0, 3, 3, 1, 1, 1, 1, 1, 1, 3, 1, 0, 1, 0]",35
8,Bundesliga,2000,Hansa Rostock,"[0, 0, 0, 1, 3, 3, 3, 0, 3, 1, 0, 1, 0, 3, 0, 0, 3, 0, 0, 0, 1, 3, 3, 3, 0, 3, 0, 1, 1, 3, 0, 3, 1, 0]",34
9,Bundesliga,2000,Hertha,"[0, 3, 3, 0, 3, 0, 3, 3, 3, 3, 3, 0, 0, 3, 1, 0, 0, 0, 3, 3, 0, 3, 0, 3, 3, 0, 3, 0, 3, 0, 3, 0, 1, 3, 1]",35
