type,league,season,team,sequence,n,c1,c2,c3,n1*,c1*,n2*,c2*,n3*,c3*
soccer_ternary,Bundesliga,2000,Bayern Munich,"[3, 3, 3, 0, 3, 3, 0, 0, 3, 1, 3, 0, 0, 1, 3, 1, 3, 3, 3, 3, 3, 0, 1, 0, 3, 3, 0, 1, 0, 3, 3, 3, 3, 1, 0]",35,,,2.05761316872428,,,,,2,5.9523809523809526
soccer_ternary,Bundesliga,2000,Bochum,"[3, 0, 0, 0, 3, 1, 3, 0, 0, 0, 1, 0, 1, 0, 3, 0, 3, 0, 0, 0, 0, 1, 1, 0, 0, 0, 3, 3, 0, 0, 1, 0, 0, 0]",34,,,7.575757575757576,,,,,17,7.8125
soccer_ternary,Bundesliga,2000,Cottbus,"[0, 0, 0, 3, 0, 0, 1, 3, 0, 3, 1, 3, 0, 0, 3, 0, 0, 3, 0, 3, 0, 0, 3, 0, 0, 3, 0, 1, 0, 3, 0, 0, 3, 3, 3]",35,,,1.404494382022472,,,,,15,1.5267175572519085
soccer_ternary,Bundesliga,2000,Dortmund,"[3, 3, 0, 3, 3, 0, 1, 3, 0, 0, 0, 3, 1, 3, 3, 3, 1, 3, 3, 0, 1, 3, 1, 3, 1, 0, 3, 1, 0, 3, 1, 1, 3, 1, 3]",35,,,2.6246719160104988,,,,,16,3.937007874015748
soccer_ternary,Bundesliga,2000,Ein Frankfurt,"[3, 0, 3, 0, 3, 1, 1, 0, 0, 3, 0, 3, 3, 0, 0, 0, 0, 0, 0, 3, 3, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 3, 0, 3]",34,,,3.0303030303030303,,,,,12,6.410256410256411
soccer_ternary,Bundesliga,2000,FC Koln,"[0, 3, 1, 1, 0, 0, 0, 3, 0, 3, 1, 3, 3, 3, 3, 0, 1, 1, 3, 0, 0, 0, 1, 3, 3, 1, 3, 1, 1, 0, 3, 0, 0, 1, 1]",35,,,2.6666666666666665,,,,,4,8.130081300813009
soccer_ternary,Bundesliga,2000,Freiburg,"[3, 1, 1, 1, 3, 0, 0, 0, 3, 0, 0, 0, 3, 1, 1, 3, 3, 1, 3, 3, 1, 3, 0, 0, 1, 1, 3, 1, 3, 3, 0, 3, 3, 3, 3]",35,,,1.0427528675703859,,,,,13,1.2547051442910917
soccer_ternary,Bundesliga,2000,Hamburg,"[1, 0, 3, 3, 0, 1, 3, 1, 3, 0, 3, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3, 0, 3, 3, 1, 1, 1, 1, 1, 1, 3, 1, 0, 1, 0]",35,,,1.757469244288225,,,,,4,5.405405405405405
soccer_ternary,Bundesliga,2000,Hansa Rostock,"[0, 0, 0, 1, 3, 3, 3, 0, 3, 1, 0, 1, 0, 3, 0, 0, 3, 0, 0, 0, 1, 3, 3, 3, 0, 3, 0, 1, 1, 3, 0, 3, 1, 0]",34,,,1.7825311942959001,,,,,2,2.793296089385475
soccer_ternary,Bundesliga,2000,Hertha,"[0, 3, 3, 0, 3, 0, 3, 3, 3, 3, 3, 0, 0, 3, 1, 0, 0, 0, 3, 3, 0, 3, 0, 3, 3, 0, 3, 0, 3, 0, 3, 0, 1, 3, 1]",35,,,1.4771048744460857,,,,,4,3.690036900369004
soccer_ternary,Bundesliga,2000,Kaiserslautern,"[0, 0, 3, 1, 3, 0, 1, 3, 3, 3, 3, 0, 0, 0, 3, 1, 3, 3, 1, 0, 3, 3, 0, 3, 3, 3, 0, 0, 3, 0, 0, 1, 0, 0, 3]",35,,,3.3112582781456954,,,,,9,17.857142857142858
soccer_ternary,Bundesliga,2000,Leverkusen,"[3, 0, 3, 1, 0, 3, 1, 1, 3, 1, 3, 3, 3, 3, 0, 3, 0, 0, 3, 3, 3, 0, 0, 0, 3, 3, 0, 3, 0, 1, 3, 0, 1, 3, 3]",35,,,1.893939393939394,,,,,14,5.0761421319796955
soccer_ternary,Bundesliga,2000,Munich 1860,"[1, 3, 3, 1, 0, 3, 1, 0, 0, 0, 1, 1, 1, 0, 0, 3, 3, 3, 0, 3, 0, 1, 3, 3, 0, 0, 0, 0, 3, 3, 0, 3, 1, 0, 0]",35,,,2.4691358024691357,,,,,2,6.097560975609756
soccer_ternary,Bundesliga,2000,Schalke 04,"[3, 3, 3, 1, 1, 3, 0, 3, 0, 1, 0, 3, 3, 3, 0, 3, 3, 1, 3, 0, 3, 0, 1, 0, 1, 1, 3, 3, 3, 3, 1, 3, 0, 3]",34,,,2.881844380403458,,,,,15,3.1446540880503147
soccer_ternary,Bundesliga,2000,Stuttgart,"[0, 3, 0, 3, 0, 1, 1, 1, 1, 0, 3, 0, 1, 0, 0, 0, 3, 1, 0, 3, 0, 0, 1, 3, 1, 1, 0, 1, 3, 0, 3, 1, 3, 0, 1]",35,,,1.3175230566534915,,,,,2,2.272727272727273
