League,Season,Team,Sequence,n,n1,n2,k,k1,k2,c1,c2,c3
La_Liga,2023,Sociedad,"[1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 0]",26,13,13,16,9,7,2.627583920273654,4.760627558633165,2.8735632183908044
La_Liga,2023,Valencia,"[1, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0]",28,14,14,13,7,6,1.9895619021522117,2.837933762005624,2.0876826722338206
La_Liga,2023,Vallecano,"[1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0]",24,12,12,8,5,3,2.5440458409926445,5.174962496422871,2.9673590504451037
La_Liga,2023,Villarreal,"[0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1]",27,14,13,14,5,9,1.0644875519393726,1.0425268273705612,1.015228426395939
La_Liga,2024,Alaves,"[0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1]",26,13,13,10,4,6,1.2421188280651394,1.2659130648831014,1.1261261261261262
La_Liga,2024,Ath Bilbao,"[0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 0]",25,13,12,19,10,9,1.7308507224448817,2.1967338249334194,1.5384615384615385
La_Liga,2024,Ath Madrid,"[1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1]",28,14,14,22,13,9,6.156731672437084,30.564012766720825,12.147716229348882
La_Liga,2024,Barcelona,"[1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1]",34,17,17,28,12,16,1.0382697059880182,1.0373143955564448,1.0050251256281406
La_Liga,2024,Betis,"[0, 1, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0]",26,13,13,16,6,10,1.07743243811782,1.0564479778026152,1.0214504596527068
La_Liga,2024,Celta,"[1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 0, 1]",31,16,15,16,7,9,1.223024685568934,1.2236843928116912,1.1299435028248588
La_Liga,2024,Espanol,"[0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 1]",29,15,14,11,4,7,1.1300631209078575,1.1084301384321331,1.0460251046025104
La_Liga,2024,Getafe,"[0, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0]",29,15,14,11,7,4,2.982025811724335,6.337254600096169,3.7313432835820897
