,League,Season,Team,Sequence,n,n1,n2,k,k1,k2,c1,c2,c3
20,Bundesliga,2001,Dortmund,"[1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1]",27,14,13,21,11,10,1.7313070044652699,2.1786232127604483,1.5037593984962405
21,Bundesliga,2001,FC Koln,"[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 1]",26,13,13,7,3,4,1.345455675609176,1.490743003650105,1.2345679012345678
22,Bundesliga,2001,Freiburg,"[1, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]",25,13,12,7,5,2,3.2926615611315295,8.877048632583316,4.291845493562231
23,Bundesliga,2001,Hamburg,"[0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0]",24,12,12,10,4,6,1.233447599421348,1.2559863036669832,1.0964912280701755
24,Bundesliga,2001,Hansa Rostock,"[0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0]",27,14,13,9,5,4,1.8114671956806268,2.5466317660905053,1.7889087656529516
25,Bundesliga,2001,Hertha,"[0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0]",27,14,13,18,9,9,1.4758492050635255,1.6465663139247086,1.3297872340425532
26,Bundesliga,2001,Kaiserslautern,"[1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0]",29,15,14,17,11,6,5.656916997835949,20.85893760147531,10.11326860841424
27,Bundesliga,2001,Leverkusen,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1]",28,14,14,21,12,9,3.8689898428937823,10.502532317197415,5.405405405405405
28,Bundesliga,2001,MGladbach,"[1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0]",22,11,11,9,3,6,1.1247651807459151,1.1069888345665397,1.0341261633919339
29,Bundesliga,2001,Munich 1860,"[0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1]",29,15,14,15,8,7,1.8069284951620663,2.332250535873808,1.7452006980802792
30,Bundesliga,2001,Nurnberg,"[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1]",30,15,15,10,3,7,1.0967697479454057,1.0645858982458871,1.027749229188078
31,Bundesliga,2001,Schalke 04,"[0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0]",27,14,13,18,9,9,1.4758492050635255,1.6465663139247086,1.3297872340425532
32,Bundesliga,2001,St Pauli,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]",24,12,12,4,1,3,1.1430898010584611,1.158293339793587,1.0460251046025104
33,Bundesliga,2001,Stuttgart,"[0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1]",23,12,11,13,7,6,1.7780854752345217,2.339846425731408,1.6366612111292962
34,Bundesliga,2001,Werder Bremen,"[0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0]",29,15,14,17,11,6,5.656916997835949,20.85893760147531,10.024057738572575
35,Bundesliga,2001,Wolfsburg,"[0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1]",27,14,13,13,7,6,1.8045361146662608,2.376436250286031,1.763668430335097
36,Bundesliga,2002,Bayern Munich,"[1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0]",26,13,13,21,11,10,2.1288119673002748,3.232288800021739,2.004008016032064
37,Bundesliga,2002,Bielefeld,"[1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0]",21,11,10,8,4,4,1.4705492403979321,1.760448810825132,1.422475106685633
38,Bundesliga,2002,Bochum,"[1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1]",24,12,12,12,6,6,1.6318725099601594,2.0,1.5600624024960998
39,Bundesliga,2002,Cottbus,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]",24,12,12,6,2,4,1.187146070227026,1.2090279954402507,1.0810810810810811
40,Bundesliga,2002,Dortmund,"[1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1]",19,10,9,14,8,6,2.2927280807201136,3.9223879312857126,2.178649237472767
41,Bundesliga,2002,Hamburg,"[1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1]",22,11,11,14,5,9,1.0531781055261438,1.0396415907676637,1.0121457489878543
42,Bundesliga,2002,Hannover,"[0, 0, 0, 0, 1, 1, 0, 1, 1, 0, 0, 0, 0, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 1]",25,13,12,12,4,8,1.0587861151518532,1.037707234546176,1.0101010101010102
43,Bundesliga,2002,Hansa Rostock,"[1, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 1, 0, 1, 0]",25,13,12,10,5,5,1.503287936727688,1.770193161216196,1.4184397163120568
44,Bundesliga,2002,Hertha,"[0, 1, 1, 0, 1, 1, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1]",27,14,13,15,7,8,1.316508931008271,1.3760742381167328,1.1750881316098707
45,Bundesliga,2002,Kaiserslautern,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0]",24,12,12,10,2,8,1.0209910634453736,1.006533901196204,1.002004008016032
46,Bundesliga,2002,Leverkusen,"[0, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 1]",25,13,12,10,5,5,1.503287936727688,1.770193161216196,1.3477088948787062
47,Bundesliga,2002,MGladbach,"[0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 0, 1, 1, 1]",23,12,11,10,5,5,1.4888918213567126,1.7463541946265306,1.3831258644536653
48,Bundesliga,2002,Munich 1860,"[0, 1, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 0]",23,12,11,11,7,4,3.0723288004779326,6.848083641913098,3.597122302158273
49,Bundesliga,2002,Nurnberg,"[0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]",26,13,13,7,5,2,3.60271151593285,10.82839615446654,4.9504950495049505
50,Bundesliga,2002,Schalke 04,"[1, 1, 1, 0, 1, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0, 0, 0, 1]",20,10,10,11,7,4,3.8231750823624497,11.26571093720506,5.434782608695652
51,Bundesliga,2002,Stuttgart,"[0, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1]",24,12,12,16,8,8,1.6476491652327578,2.0,1.4880952380952381
52,Bundesliga,2002,Werder Bremen,"[0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0]",28,14,14,16,10,6,4.803973456066435,15.793988527051958,7.825950853028643
53,Bundesliga,2002,Wolfsburg,"[0, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 1, 0, 1, 0]",24,12,12,12,6,6,1.6318725099601594,2.0,1.4492753623188406
54,Bundesliga,2003,Bayern Munich,"[1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1]",15,8,7,12,7,5,2.362484502101667,4.570824168435551,2.331002331002331
55,Bundesliga,2003,Bochum,"[0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1]",14,7,7,9,4,5,1.285058825967541,1.4054805499345742,1.1737089201877935
56,Bundesliga,2003,Dortmund,"[1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 1]",17,9,8,10,5,5,1.41102340158278,1.6280270076080123,1.278772378516624
57,Bundesliga,2003,Ein Frankfurt,"[0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1]",17,9,8,5,3,2,1.764476625984921,2.830336698222467,1.7857142857142858
58,Bundesliga,2003,FC Koln,"[0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0]",19,10,9,4,3,1,2.4687786902230946,6.3843318405493,3.225806451612903
59,Bundesliga,2003,Freiburg,"[0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0]",19,10,9,6,3,3,1.443446282474708,1.7793198438707436,1.321003963011889
60,Bundesliga,2003,Hamburg,"[0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1]",16,8,8,9,5,4,2.025236268514512,3.25576651572519,2.0408163265306123
61,Bundesliga,2003,Hannover,"[1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0]",15,8,7,6,4,2,2.3814967230605095,5.024813540419161,2.6666666666666665
62,Bundesliga,2003,Hansa Rostock,"[0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0]",17,9,8,5,1,4,1.0565380539430196,1.0411288969783878,1.0050251256281406
63,Bundesliga,2003,Hertha,"[0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1]",13,7,6,6,2,4,1.0838088891114326,1.0926474909767443,1.0351966873706004
64,Bundesliga,2003,Kaiserslautern,"[0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 1, 0]",19,10,9,8,4,4,1.4535527617057926,1.7311137178256986,1.349527665317139
65,Bundesliga,2003,Leverkusen,"[1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1]",18,9,9,13,6,7,1.3132297262630732,1.4272716628881084,1.1750881316098707
66,Bundesliga,2003,MGladbach,"[1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1]",17,9,8,7,3,4,1.2382635024407562,1.3208690124394369,1.1261261261261262
67,Bundesliga,2003,Munich 1860,"[1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0]",18,9,9,6,4,2,2.651266163793101,6.302974375068753,3.215434083601286
68,Bundesliga,2003,Schalke 04,"[0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 0]",15,8,7,9,6,3,3.4507508833922254,9.761149845648184,4.651162790697675
69,Bundesliga,2003,Stuttgart,"[1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0]",17,9,8,13,7,6,1.6800657081999102,2.24015499177463,1.5015015015015014
70,Bundesliga,2003,Werder Bremen,"[1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",15,8,7,14,7,7,1.0,1.1997036310207658,1.0
71,Bundesliga,2003,Wolfsburg,"[1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1]",19,10,9,8,5,3,2.323474621408479,4.324072538095866,2.336448598130841
72,Bundesliga,2004,Bayern Munich,"[1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1]",29,15,14,24,12,12,1.3829090659031402,1.5196980469249557,1.2106537530266344
73,Bundesliga,2004,Bielefeld,"[0, 0, 1, 1, 0, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0]",27,14,13,11,7,4,3.004756359851972,6.460827370308542,3.816793893129771
74,Bundesliga,2004,Bochum,"[1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 1]",26,13,13,9,3,6,1.1404595918962377,1.1212023997753857,1.0559662090813093
75,Bundesliga,2004,Dortmund,"[0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 1]",24,12,12,15,5,10,1.0300064063629293,1.0178194646175127,1.001001001001001
76,Bundesliga,2004,Freiburg,"[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",25,13,12,3,3,0,4.636688648466324,26.290349888404165,8.120838070488874
77,Bundesliga,2004,Hamburg,"[0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1, 0, 0, 0]",31,16,15,16,8,8,1.536836202224237,1.7433214000368964,1.4306151645207439
78,Bundesliga,2004,Hannover,"[0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1]",28,14,14,13,8,5,3.3492437066346437,7.824018803295653,4.25531914893617
79,Bundesliga,2004,Hansa Rostock,"[0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 1, 0, 0]",25,13,12,7,2,5,1.0973483252439795,1.0774044319505338,1.0183299389002036
80,Bundesliga,2004,Hertha,"[0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1]",21,11,10,15,8,7,1.7294266340001494,2.2469229507104775,1.6025641025641026
81,Bundesliga,2004,Kaiserslautern,"[0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0]",28,14,14,12,6,6,1.6379481654980252,2.0,1.5060240963855422
82,Bundesliga,2004,Leverkusen,"[1, 1, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 1, 1, 1]",25,13,12,16,8,8,1.4708481968310905,1.6522935832009673,1.375515818431912
83,Bundesliga,2004,MGladbach,"[0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 0]",22,11,11,8,4,4,1.5818429472822768,2.0,1.545595054095827
84,Bundesliga,2004,Mainz,"[0, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1]",27,14,13,12,6,6,1.5175105332061893,1.759386916159739,1.422475106685633
85,Bundesliga,2004,Nurnberg,"[1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 0, 0]",26,13,13,10,6,4,2.521191968354289,4.760627558633163,2.9585798816568047
86,Bundesliga,2004,Schalke 04,"[0, 1, 0, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1]",31,16,15,20,11,9,2.2146543254239877,3.274057671838239,2.207505518763797
87,Bundesliga,2004,Stuttgart,"[1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0]",27,14,13,17,10,7,2.9423240739360157,5.805456874013267,3.6363636363636362
88,Bundesliga,2004,Werder Bremen,"[1, 1, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1]",29,15,14,18,9,9,1.5045342972249258,1.6836809411641154,1.3679890560875514
