,League,Season,Team,Sequence,n,n1,n2,k,k1,k2,Team_Name,c2,c3
17,Bundesliga,2000,Wolfsburg,"[0, 3, 0, 3, 0, 1, 1, 3, 3, 1, 1, 1, 1, 0, 3, 3, 0, 3, 1, 0, 3, 1, 0, 0, 3, 1, 3, 1, 0, 3, 1, 0, 3, 0]",34,17,17,47,24,23,2000 Wolfsburg,2.3737653813593877,1.9607843137254901
18,Bundesliga,2001,Bayern Munich,"[0, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 0, 1, 0, 1, 0, 1, 0, 3, 0, 1, 3, 3, 3, 3, 1, 3, 1, 1, 3, 3, 3, 3]",34,17,17,68,33,35,2001 Bayern Munich,1.5087781530346305,1.550387596899225
19,Bundesliga,2001,Cottbus,"[3, 0, 3, 3, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 3, 0, 3, 0, 3, 0, 3, 0, 3, 0, 3, 1, 1, 1, 0, 0]",34,17,17,35,14,21,2001 Cottbus,1.0777686834680695,1.1682242990654206
20,Bundesliga,2001,Dortmund,"[3, 3, 3, 3, 0, 0, 1, 3, 3, 0, 3, 3, 3, 3, 3, 3, 1, 1, 3, 1, 3, 1, 1, 0, 1, 3, 3, 3, 0, 3, 0, 3, 3, 3]",34,17,17,70,38,32,2001 Dortmund,9.978869786009891,4.385964912280702
21,Bundesliga,2001,FC Koln,"[1, 3, 0, 0, 3, 1, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 3, 0, 1, 0, 3, 0, 3, 3]",34,17,17,29,13,16,2001 FC Koln,1.3424727970683326,1.4265335235378032
22,Bundesliga,2001,Freiburg,"[3, 0, 0, 1, 1, 0, 3, 0, 1, 3, 1, 3, 0, 0, 0, 1, 1, 0, 3, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3, 0, 3]",34,17,17,30,18,12,2001 Freiburg,10.401066307125772,4.273504273504273
23,Bundesliga,2001,Hamburg,"[0, 3, 1, 0, 0, 1, 0, 1, 3, 3, 0, 0, 1, 0, 3, 0, 1, 3, 0, 3, 1, 3, 0, 3, 3, 0, 1, 1, 1, 0, 1, 3, 0, 0]",34,17,17,40,17,23,2001 Hamburg,1.1259192055787017,1.221001221001221
24,Bundesliga,2001,Hansa Rostock,"[0, 3, 0, 0, 1, 1, 0, 1, 0, 3, 3, 0, 0, 1, 0, 3, 3, 0, 0, 3, 0, 3, 0, 1, 0, 3, 0, 1, 0, 3, 0, 0, 1, 0]",34,17,17,34,19,15,2001 Hansa Rostock,4.989843555378944,2.7624309392265194
25,Bundesliga,2001,Hertha,"[1, 0, 3, 0, 1, 3, 0, 3, 0, 3, 3, 3, 3, 1, 3, 1, 3, 1, 0, 1, 0, 3, 3, 3, 1, 3, 3, 3, 0, 3, 3, 0, 3, 0]",34,17,17,61,31,30,2001 Hertha,2.3810769979942004,1.976284584980237
26,Bundesliga,2001,Kaiserslautern,"[3, 3, 3, 3, 3, 3, 3, 0, 3, 0, 1, 0, 3, 0, 3, 3, 1, 0, 3, 3, 1, 0, 3, 0, 3, 0, 1, 0, 0, 1, 3, 0, 3, 0]",34,17,17,56,35,21,2001 Kaiserslautern,374.6002319831954,16.837851490149855
27,Bundesliga,2001,Leverkusen,"[3, 3, 1, 1, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 0, 3, 0, 0, 3, 0, 0, 3, 1, 3, 1, 3, 3, 3, 3, 3, 1, 0, 0, 3]",34,17,17,69,39,30,2001 Leverkusen,35.211638037773255,7.042253521126761
28,Bundesliga,2001,MGladbach,"[3, 0, 1, 3, 0, 1, 1, 0, 0, 3, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 3, 0, 3, 1, 3, 0, 3, 3, 3, 1, 0, 1, 1, 0]",34,17,17,39,16,23,2001 MGladbach,1.083304077052778,1.1668611435239207
29,Bundesliga,2001,Munich 1860,"[0, 0, 1, 3, 3, 0, 3, 1, 0, 0, 0, 3, 0, 3, 3, 3, 1, 3, 3, 0, 3, 0, 0, 3, 3, 0, 0, 0, 3, 0, 3, 1, 1, 3]",34,17,17,50,24,26,2001 Munich 1860,1.5290581956307034,1.5923566878980893
30,Bundesliga,2001,Nurnberg,"[0, 3, 0, 0, 0, 0, 3, 1, 0, 0, 0, 0, 3, 1, 0, 0, 1, 1, 0, 3, 3, 3, 0, 3, 0, 0, 0, 0, 3, 0, 0, 0, 3, 3]",34,17,17,34,12,22,2001 Nurnberg,1.018170214804351,1.095290251916758
31,Bundesliga,2001,Schalke 04,"[0, 1, 1, 3, 3, 3, 0, 3, 0, 3, 1, 3, 1, 0, 3, 1, 0, 3, 3, 3, 3, 3, 1, 3, 0, 3, 3, 3, 1, 3, 0, 3, 0, 0]",34,17,17,61,26,35,2001 Schalke 04,1.0358043028969164,1.1185682326621924
32,Bundesliga,2001,St Pauli,"[1, 1, 0, 0, 0, 0, 1, 0, 1, 3, 0, 0, 0, 0, 0, 0, 1, 1, 3, 0, 3, 0, 1, 1, 1, 3, 0, 0, 0, 1, 0, 0, 0, 0]",34,17,17,22,8,14,2001 St Pauli,1.0802749374004987,1.1299435028248588
33,Bundesliga,2001,Stuttgart,"[1, 0, 1, 3, 1, 3, 3, 0, 3, 0, 3, 0, 3, 1, 1, 0, 1, 1, 3, 3, 0, 0, 3, 1, 0, 0, 0, 3, 3, 3, 1, 1, 1, 3]",34,17,17,50,24,26,2001 Stuttgart,1.5290581956307034,1.5923566878980893
34,Bundesliga,2001,Werder Bremen,"[0, 3, 1, 0, 0, 1, 3, 3, 3, 0, 3, 3, 3, 3, 3, 3, 1, 3, 0, 0, 0, 3, 1, 0, 0, 3, 0, 0, 3, 1, 3, 3, 3, 0]",34,17,17,56,33,23,2001 Werder Bremen,42.91475289897488,7.042253521126761
35,Bundesliga,2001,Wolfsburg,"[0, 1, 0, 1, 1, 0, 0, 3, 3, 0, 0, 3, 0, 3, 3, 1, 3, 3, 0, 1, 1, 3, 0, 0, 0, 3, 1, 3, 0, 0, 3, 3, 0, 3]",34,17,17,46,22,24,2001 Wolfsburg,1.5274727757587974,1.5625
36,Bundesliga,2002,Bayern Munich,"[1, 3, 3, 3, 3, 3, 0, 3, 3, 1, 0, 3, 3, 3, 3, 3, 1, 3, 1, 3, 3, 3, 3, 1, 0, 0, 3, 3, 3, 3, 0]",31,16,15,68,38,30,2002 Bayern Munich,11.480292059828537,3.952569169960474
37,Bundesliga,2002,Bielefeld,"[3, 0, 3, 1, 0, 0, 3, 0, 1, 3, 0, 0, 0, 1, 3, 3, 1, 1, 1, 1, 0, 1, 3, 1, 0, 3, 1, 1, 0, 0, 0, 0]",32,16,16,35,21,14,2002 Bielefeld,14.522478185839992,5.405405405405405
38,Bundesliga,2002,Bochum,"[3, 3, 3, 1, 0, 1, 0, 0, 3, 3, 0, 3, 0, 1, 0, 1, 1, 3, 0, 3, 1, 0, 0, 0, 0, 1, 0, 3, 3, 1, 3, 1, 3]",33,17,16,45,23,22,2002 Bochum,1.8894000126659611,1.858736059479554
39,Bundesliga,2002,Cottbus,"[1, 0, 0, 3, 0, 0, 0, 0, 0, 1, 0, 0, 3, 1, 0, 1, 0, 3, 3, 1, 3, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 3, 1]",33,17,16,27,10,17,2002 Cottbus,1.0403355063280313,1.0905125408942202
40,Bundesliga,2002,Dortmund,"[1, 1, 3, 1, 1, 3, 3, 3, 1, 3, 1, 0, 3, 0, 3, 3, 3, 0, 3, 1, 3, 0, 3, 1, 0, 1, 3, 1, 1, 3, 1, 1]",32,16,16,55,30,25,2002 Dortmund,6.617342166921011,3.5587188612099645
41,Bundesliga,2002,Hamburg,"[3, 0, 0, 0, 3, 0, 3, 0, 3, 0, 1, 3, 3, 1, 3, 1, 1, 1, 3, 0, 3, 1, 3, 0, 3, 1, 1, 3, 1, 3, 1, 3]",32,16,16,52,24,28,2002 Hamburg,1.2599129597138865,1.3089005235602094
42,Bundesliga,2002,Hannover,"[0, 0, 0, 0, 3, 1, 3, 0, 1, 1, 3, 3, 0, 0, 0, 0, 1, 1, 3, 3, 3, 3, 0, 3, 1, 0, 3, 0, 0, 3, 1, 3]",32,16,16,43,15,28,2002 Hannover,1.0038283498461904,1.02880658436214
43,Bundesliga,2002,Hansa Rostock,"[3, 3, 3, 0, 3, 0, 0, 1, 0, 0, 1, 0, 1, 1, 3, 0, 1, 0, 3, 1, 1, 0, 0, 3, 0, 3, 0, 0, 1, 3, 0, 3, 0]",33,17,16,38,20,18,2002 Hansa Rostock,2.3235777728554865,2.0833333333333335
44,Bundesliga,2002,Hertha,"[1, 1, 1, 0, 3, 3, 0, 3, 3, 1, 0, 3, 3, 0, 0, 1, 0, 3, 0, 3, 1, 0, 3, 3, 3, 0, 3, 3, 3, 0, 0, 0, 3]",33,17,16,51,23,28,2002 Hertha,1.103675877681028,1.2165450121654502
45,Bundesliga,2002,Kaiserslautern,"[1, 0, 0, 1, 0, 1, 0, 3, 0, 1, 0, 0, 0, 0, 3, 0, 3, 0, 1, 3, 3, 1, 3, 3, 3, 1, 3, 0, 3, 0, 1, 1, 0]",33,17,16,39,13,26,2002 Kaiserslautern,1.0017624060409616,1.017293997965412
46,Bundesliga,2002,Leverkusen,"[1, 1, 0, 3, 0, 0, 3, 0, 3, 1, 0, 3, 1, 1, 0, 3, 0, 0, 0, 0, 3, 0, 1, 0, 3, 0, 0, 1, 3, 0, 3, 3]",32,16,16,37,20,17,2002 Leverkusen,3.7787624812839113,2.493765586034913
47,Bundesliga,2002,MGladbach,"[1, 0, 3, 3, 1, 0, 0, 3, 0, 0, 0, 3, 1, 1, 0, 3, 0, 0, 0, 0, 1, 3, 0, 3, 0, 3, 1, 1, 1, 3, 1, 3]",32,16,16,39,19,20,2002 MGladbach,1.717294707602567,1.6313213703099512
48,Bundesliga,2002,Munich 1860,"[0, 3, 3, 0, 1, 1, 3, 0, 3, 3, 3, 0, 0, 1, 3, 0, 1, 3, 0, 1, 1, 0, 0, 1, 3, 0, 1, 1, 3, 3, 0, 0]",32,16,16,42,24,18,2002 Munich 1860,9.214725355201908,4.132231404958677
49,Bundesliga,2002,Nurnberg,"[0, 0, 3, 0, 0, 3, 3, 0, 0, 1, 3, 3, 0, 1, 0, 1, 3, 0, 0, 0, 1, 0, 0, 3, 1, 0, 1, 0, 0, 0, 0, 0]",32,16,16,27,18,9,2002 Nurnberg,48.72001965303338,8.19672131147541
50,Bundesliga,2002,Schalke 04,"[3, 3, 1, 1, 1, 3, 0, 3, 0, 1, 3, 0, 3, 1, 3, 1, 1, 3, 1, 0, 1, 1, 1, 0, 1, 1, 3, 3, 0, 0, 0, 0, 3]",33,17,16,46,28,18,2002 Schalke 04,24.17293684532514,7.142857142857143
51,Bundesliga,2002,Stuttgart,"[1, 1, 0, 1, 1, 3, 0, 3, 3, 1, 3, 3, 1, 3, 0, 0, 3, 3, 3, 3, 3, 1, 3, 0, 3, 3, 0, 1, 3, 0, 0, 3]",32,16,16,56,24,32,2002 Stuttgart,1.0513533321374784,1.1363636363636365
52,Bundesliga,2002,Werder Bremen,"[0, 3, 0, 3, 3, 3, 3, 1, 1, 0, 3, 0, 3, 3, 3, 1, 3, 1, 0, 0, 0, 3, 0, 0, 3, 3, 0, 0, 3, 3, 3, 0]",32,16,16,52,30,22,2002 Werder Bremen,19.74777809348758,5.05050505050505
53,Bundesliga,2002,Wolfsburg,"[0, 3, 0, 3, 1, 0, 3, 3, 0, 3, 0, 3, 0, 3, 0, 1, 0, 0, 1, 1, 3, 1, 3, 0, 3, 3, 0, 1, 1, 3, 0]",31,16,15,43,23,20,2002 Wolfsburg,2.71314349582729,2.1231422505307855
54,Bundesliga,2003,Bayern Munich,"[3, 1, 3, 3, 1, 3, 0, 1, 3, 3, 1, 3, 0, 3, 1, 1, 3, 3, 3, 0, 3]",21,11,10,42,22,20,2003 Bayern Munich,2.0,1.86219739292365
55,Bundesliga,2003,Bochum,"[0, 1, 1, 3, 3, 3, 0, 0, 3, 1, 3, 1, 3, 1, 3, 1, 0, 0, 3, 3, 1]",21,11,10,34,18,16,2003 Bochum,2.1663786545957593,1.8115942028985508
56,Bundesliga,2003,Dortmund,"[1, 3, 0, 3, 3, 3, 0, 0, 1, 0, 3, 0, 0, 1, 3, 1, 3, 3, 3, 0, 3]",21,11,10,34,17,17,2003 Dortmund,1.517465964447071,1.5037593984962405
57,Bundesliga,2003,Ein Frankfurt,"[0, 0, 1, 0, 0, 3, 1, 0, 0, 1, 3, 1, 3, 0, 3, 0, 0, 0, 0, 0, 3]",21,11,10,19,9,10,2003 Ein Frankfurt,1.4292244639474831,1.4947683109118086
58,Bundesliga,2003,FC Koln,"[0, 0, 0, 0, 1, 3, 0, 0, 1, 1, 3, 3, 0, 0, 0, 0, 0, 1, 0, 3, 0, 0, 0]",23,12,11,16,12,4,2003 FC Koln,54.02466147458757,9.00900900900901
59,Bundesliga,2003,Freiburg,"[0, 1, 3, 0, 3, 0, 0, 0, 3, 0, 0, 3, 0, 0, 3, 0, 1, 1, 3, 1, 0, 0, 0]",23,12,11,22,13,9,2003 Freiburg,4.637003433988573,2.710027100271003
60,Bundesliga,2003,Hamburg,"[0, 1, 3, 1, 3, 0, 1, 1, 3, 3, 0, 1, 3, 0, 3, 0, 3, 0, 0, 3, 3]",21,11,10,32,16,16,2003 Hamburg,1.5392265575008786,1.5479876160990713
61,Bundesliga,2003,Hannover,"[3, 1, 3, 0, 0, 0, 1, 3, 1, 0, 1, 3, 0, 0, 0, 0, 1, 1, 3, 3, 1, 0]",22,11,11,25,13,12,2003 Hannover,2.5009788050270045,1.968503937007874
62,Bundesliga,2003,Hansa Rostock,"[0, 1, 0, 0, 0, 0, 0, 1, 3, 1, 0, 0, 3, 1, 3, 1, 0, 3, 1, 0, 0, 3, 0]",23,12,11,21,6,15,2003 Hansa Rostock,1.0047375282276827,1.0330578512396693
63,Bundesliga,2003,Hertha,"[0, 1, 0, 0, 3, 1, 0, 0, 3, 3, 3, 1, 0, 1, 0, 1, 3, 1, 3]",19,10,9,24,11,13,2003 Hertha,1.2350930396447604,1.2706480304955527
64,Bundesliga,2003,Kaiserslautern,"[0, 3, 3, 3, 0, 3, 0, 0, 0, 1, 0, 3, 0, 3, 3, 1, 0, 0, 0, 3, 0]",21,11,10,26,13,13,2003 Kaiserslautern,1.6014012271267148,1.5408320493066257
65,Bundesliga,2003,Leverkusen,"[3, 3, 3, 3, 3, 1, 0, 3, 0, 0, 0, 0, 3, 3, 3, 1, 3, 3, 3, 3]",20,10,10,41,19,22,2003 Leverkusen,1.253980831100982,1.267427122940431
66,Bundesliga,2003,MGladbach,"[3, 0, 1, 0, 1, 0, 1, 0, 3, 3, 0, 0, 0, 3, 0, 3, 0, 1, 3, 1, 0, 3]",22,11,11,26,12,14,2003 MGladbach,1.4433969801560946,1.402524544179523
67,Bundesliga,2003,Munich 1860,"[3, 1, 0, 0, 0, 3, 1, 3, 0, 1, 0, 3, 1, 3, 0, 0, 1, 3, 0, 0, 0, 0, 0]",23,12,11,23,15,8,2003 Munich 1860,15.98714608295594,4.464285714285714
68,Bundesliga,2003,Schalke 04,"[1, 1, 0, 1, 3, 0, 1, 3, 3, 3, 1, 3, 1, 3, 1, 3, 0, 1, 3, 3, 0, 0, 0, 1]",24,12,12,36,20,16,2003 Schalke 04,5.784048174474526,3.0211480362537766
69,Bundesliga,2003,Stuttgart,"[3, 3, 3, 1, 3, 3, 3, 1, 0, 0, 3, 0, 1, 3, 3, 1, 1, 3, 3, 3, 3, 0]",22,11,11,44,23,21,2003 Stuttgart,3.324975815763533,2.293577981651376
70,Bundesliga,2003,Werder Bremen,"[3, 3, 3, 3, 0, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 1, 1, 3, 1, 1]",20,10,10,47,25,22,2003 Werder Bremen,5.760969288587417,3.257328990228013
71,Bundesliga,2003,Wolfsburg,"[3, 0, 3, 0, 0, 3, 0, 3, 3, 1, 0, 0, 3, 0, 0, 0, 0, 0, 3, 3, 1]",21,11,10,26,16,10,2003 Wolfsburg,8.990035669380951,3.401360544217687
72,Bundesliga,2004,Bayern Munich,"[3, 1, 0, 3, 1, 3, 3, 0, 3, 3, 0, 3, 3, 3, 3, 1, 1, 3, 1, 3, 0, 3, 3, 3, 0, 3, 3, 3, 3, 3, 3, 3, 3, 3]",34,17,17,77,34,43,2004 Bayern Munich,1.0195203826286456,1.075268817204301
73,Bundesliga,2004,Bielefeld,"[1, 0, 0, 1, 3, 3, 0, 3, 3, 0, 0, 3, 3, 3, 0, 1, 0, 0, 0, 1, 3, 1, 3, 0, 0, 0, 3, 0, 1, 3, 0, 0, 1, 0]",34,17,17,40,24,16,2004 Bielefeld,19.09988042945306,5.2631578947368425
74,Bundesliga,2004,Bochum,"[1, 1, 3, 1, 1, 0, 0, 0, 0, 3, 0, 1, 0, 0, 3, 0, 0, 1, 0, 1, 0, 3, 0, 0, 0, 3, 1, 3, 3, 0, 0, 0, 3, 3]",34,17,17,35,14,21,2004 Bochum,1.0777686834680695,1.1778563015312131
75,Bundesliga,2004,Dortmund,"[0, 3, 1, 1, 1, 1, 1, 0, 0, 3, 3, 0, 0, 3, 0, 0, 1, 3, 1, 3, 3, 0, 3, 1, 0, 3, 3, 3, 1, 3, 1, 3, 3, 3]",34,17,17,55,18,37,2004 Dortmund,1.000080271604719,1.0060362173038229
76,Bundesliga,2004,Freiburg,"[1, 3, 1, 1, 1, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 1, 3, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0]",34,17,17,18,11,7,2004 Freiburg,6.6925526687404435,3.4722222222222223
77,Bundesliga,2004,Hamburg,"[0, 0, 3, 0, 0, 3, 0, 0, 3, 3, 1, 0, 3, 3, 3, 0, 3, 0, 3, 3, 3, 3, 0, 3, 3, 0, 1, 0, 3, 3, 0, 1, 0, 0]",34,17,17,51,25,26,2004 Hamburg,1.7286413044601803,1.697792869269949
78,Bundesliga,2004,Hannover,"[0, 1, 1, 0, 3, 0, 3, 3, 3, 3, 3, 0, 3, 1, 1, 3, 0, 0, 3, 0, 1, 0, 0, 0, 0, 3, 3, 0, 0, 0, 3, 0, 3, 1]",34,17,17,45,28,17,2004 Hannover,70.75334790081067,9.25925925925926
79,Bundesliga,2004,Hansa Rostock,"[1, 0, 3, 0, 0, 1, 0, 3, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0, 0, 1, 3, 3, 0, 3, 0, 3, 0, 3, 0, 1, 0]",34,17,17,30,11,19,2004 Hansa Rostock,1.0428240129633939,1.091703056768559
80,Bundesliga,2004,Hertha,"[1, 1, 1, 1, 1, 0, 3, 3, 0, 0, 3, 1, 3, 1, 3, 3, 3, 1, 1, 3, 3, 0, 3, 1, 1, 3, 0, 3, 3, 3, 0, 3, 1, 1]",34,17,17,58,28,30,2004 Hertha,1.5258695793580295,1.5313935681470139
81,Bundesliga,2004,Kaiserslautern,"[0, 0, 0, 3, 3, 0, 0, 0, 1, 0, 3, 1, 3, 0, 3, 3, 1, 3, 3, 1, 3, 0, 1, 1, 3, 0, 0, 3, 0, 0, 0, 3, 0, 0]",34,17,17,42,21,21,2004 Kaiserslautern,2.0,1.845018450184502
82,Bundesliga,2004,Leverkusen,"[3, 1, 3, 0, 1, 0, 3, 0, 1, 3, 0, 3, 1, 0, 3, 3, 1, 3, 3, 0, 3, 3, 1, 0, 1, 3, 0, 0, 3, 3, 1, 3, 1, 3]",34,17,17,57,26,31,2004 Leverkusen,1.1895767083367996,1.3404825737265416
83,Bundesliga,2004,MGladbach,"[1, 0, 1, 3, 0, 1, 0, 3, 0, 0, 3, 1, 3, 0, 0, 0, 1, 3, 1, 3, 0, 0, 1, 3, 0, 0, 1, 0, 1, 1, 3, 1, 1, 0]",34,17,17,36,17,19,2004 MGladbach,1.5135350027868082,1.466275659824047
84,Bundesliga,2004,Mainz,"[0, 3, 1, 3, 1, 1, 3, 3, 0, 3, 0, 1, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 1, 3, 0, 0, 1, 3, 3, 0, 3, 3]",34,17,17,43,22,21,2004 Mainz,2.3778940682420027,1.9011406844106464
85,Bundesliga,2004,Nurnberg,"[3, 1, 0, 1, 1, 0, 1, 3, 0, 0, 3, 3, 0, 1, 0, 1, 3, 0, 3, 0, 0, 0, 0, 1, 3, 0, 0, 3, 3, 1, 0, 3, 0, 0]",34,17,17,38,21,17,2004 Nurnberg,4.846313085099793,3.0395136778115504
86,Bundesliga,2004,Schalke 04,"[0, 3, 0, 0, 3, 0, 3, 3, 3, 3, 3, 3, 0, 3, 3, 3, 1, 3, 0, 1, 3, 3, 3, 3, 3, 0, 3, 0, 0, 0, 1, 3, 0, 3]",34,17,17,63,34,29,2004 Schalke 04,6.486729317983097,2.9585798816568047
87,Bundesliga,2004,Stuttgart,"[3, 1, 3, 3, 1, 3, 3, 3, 0, 0, 0, 3, 0, 3, 1, 3, 1, 3, 0, 1, 0, 3, 1, 3, 3, 3, 3, 3, 0, 1, 0, 3, 0, 0]",34,17,17,58,31,27,2004 Stuttgart,4.718177586847565,2.8901734104046244
88,Bundesliga,2004,Werder Bremen,"[3, 3, 0, 0, 3, 3, 0, 0, 3, 3, 1, 1, 1, 0, 3, 3, 1, 0, 3, 3, 3, 3, 3, 0, 1, 3, 0, 3, 0, 0, 3, 0, 3, 3]",34,17,17,59,28,31,2004 Werder Bremen,1.3769206922308832,1.4771048744460857
89,Bundesliga,2004,Wolfsburg,"[3, 0, 3, 3, 3, 3, 3, 0, 3, 0, 3, 0, 3, 0, 0, 0, 3, 0, 0, 0, 0, 3, 1, 0, 3, 0, 0, 3, 0, 1, 3, 0, 1, 3]",34,17,17,48,30,18,2004 Wolfsburg,115.6719226882037,9.523809523809524
