,League,Season,Team,Sequence,n,n1,n2,k,k1,k2,Team_Name,c2,c3
17,Bundesliga,2000,Wolfsburg,"[0, 3, 0, 3, 0, 1, 1, 3, 3, 1, 1, 1, 1, 0, 3, 3, 0, 3, 1, 0, 3, 1, 0, 0, 3, 1, 3, 1, 0, 3, 1, 0, 3, 0]",34,17,17,47,24,23,2000 Wolfsburg,2.3737653813593877,1.949317738791423
18,Bundesliga,2001,Bayern Munich,"[0, 3, 1, 3, 3, 3, 3, 3, 3, 3, 3, 3, 0, 1, 0, 1, 0, 1, 0, 3, 0, 1, 3, 3, 3, 3, 1, 3, 1, 1, 3, 3, 3, 3]",34,17,17,68,33,35,2001 Bayern Munich,1.5087781530346305,1.5082956259426847
19,Bundesliga,2001,Cottbus,"[3, 0, 3, 3, 1, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 3, 0, 3, 0, 3, 0, 3, 0, 3, 0, 3, 1, 1, 1, 0, 0]",34,17,17,35,14,21,2001 Cottbus,1.0777686834680695,1.146788990825688
20,Bundesliga,2001,Dortmund,"[3, 3, 3, 3, 0, 0, 1, 3, 3, 0, 3, 3, 3, 3, 3, 3, 1, 1, 3, 1, 3, 1, 1, 0, 1, 3, 3, 3, 0, 3, 0, 3, 3, 3]",34,17,17,70,38,32,2001 Dortmund,9.978869786009891,4.219409282700422
21,Bundesliga,2001,FC Koln,"[1, 3, 0, 0, 3, 1, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 3, 0, 1, 0, 3, 0, 3, 3]",34,17,17,29,13,16,2001 FC Koln,1.3424727970683326,1.36986301369863
22,Bundesliga,2001,Freiburg,"[3, 0, 0, 1, 1, 0, 3, 0, 1, 3, 1, 3, 0, 0, 0, 1, 1, 0, 3, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3, 0, 3]",34,17,17,30,18,12,2001 Freiburg,10.401066307125765,3.9840637450199203
23,Bundesliga,2001,Hamburg,"[0, 3, 1, 0, 0, 1, 0, 1, 3, 3, 0, 0, 1, 0, 3, 0, 1, 3, 0, 3, 1, 3, 0, 3, 3, 0, 1, 1, 1, 0, 1, 3, 0, 0]",34,17,17,40,17,23,2001 Hamburg,1.125919205578702,1.1961722488038278
24,Bundesliga,2001,Hansa Rostock,"[0, 3, 0, 0, 1, 1, 0, 1, 0, 3, 3, 0, 0, 1, 0, 3, 3, 0, 0, 3, 0, 3, 0, 1, 0, 3, 0, 1, 0, 3, 0, 0, 1, 0]",34,17,17,34,19,15,2001 Hansa Rostock,4.989843555378944,3.0395136778115504
25,Bundesliga,2001,Hertha,"[1, 0, 3, 0, 1, 3, 0, 3, 0, 3, 3, 3, 3, 1, 3, 1, 3, 1, 0, 1, 0, 3, 3, 3, 1, 3, 3, 3, 0, 3, 3, 0, 3, 0]",34,17,17,61,31,30,2001 Hertha,2.3810769979942004,2.0876826722338206
26,Bundesliga,2001,Kaiserslautern,"[3, 3, 3, 3, 3, 3, 3, 0, 3, 0, 1, 0, 3, 0, 3, 3, 1, 0, 3, 3, 1, 0, 3, 0, 3, 0, 1, 0, 0, 1, 3, 0, 3, 0]",34,17,17,56,35,21,2001 Kaiserslautern,374.60023198319544,16.733601070950467
27,Bundesliga,2001,Leverkusen,"[3, 3, 1, 1, 3, 3, 1, 3, 3, 3, 3, 3, 3, 3, 0, 3, 0, 0, 3, 0, 0, 3, 1, 3, 1, 3, 3, 3, 3, 3, 1, 0, 0, 3]",34,17,17,69,39,30,2001 Leverkusen,35.21163803777326,6.289308176100629
28,Bundesliga,2001,MGladbach,"[3, 0, 1, 3, 0, 1, 1, 0, 0, 3, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 3, 0, 3, 1, 3, 0, 3, 3, 3, 1, 0, 1, 1, 0]",34,17,17,39,16,23,2001 MGladbach,1.083304077052778,1.1614401858304297
29,Bundesliga,2001,Munich 1860,"[0, 0, 1, 3, 3, 0, 3, 1, 0, 0, 0, 3, 0, 3, 3, 3, 1, 3, 3, 0, 3, 0, 0, 3, 3, 0, 0, 0, 3, 0, 3, 1, 1, 3]",34,17,17,50,24,26,2001 Munich 1860,1.5290581956307034,1.550387596899225
30,Bundesliga,2001,Nurnberg,"[0, 3, 0, 0, 0, 0, 3, 1, 0, 0, 0, 0, 3, 1, 0, 0, 1, 1, 0, 3, 3, 3, 0, 3, 0, 0, 0, 0, 3, 0, 0, 0, 3, 3]",34,17,17,34,12,22,2001 Nurnberg,1.018170214804351,1.0976948408342482
