Date,Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 5,Unnamed: 6,Attend.,LOG,Arena,Notes
"Thu, Mar 1, 1962",Cincinnati Royals,108,Syracuse Nationals,137,Box Score,,,,Onondaga War Memorial,
"Fri, Mar 2, 1962",Detroit Pistons,112,Cincinnati Royals,120,Box Score,,,,War Memorial Coliseum,"at Fort Wayne, IN"
"Fri, Mar 2, 1962",Boston Celtics,120,St. Louis Hawks,138,Box Score,,10310,,St. Louis Arena,
"Fri, Mar 2, 1962",Philadelphia Warriors,169,New York Knicks,147,Box Score,,4124,,Hershey Sports Arena,"at Hershey, PA; Wilt's 100-Point Game"
"Sat, Mar 3, 1962",Cincinnati Royals,126,Chicago Packers,119,Box Score,,,,International Amphitheatre,
"Sat, Mar 3, 1962",Syracuse Nationals,128,Detroit Pistons,114,Box Score,,,,Cobo Arena,
"Sat, Mar 3, 1962",Los Angeles Lakers,125,St. Louis Hawks,134,Box Score,,,,Kiel Auditorium,
"Sun, Mar 4, 1962",St. Louis Hawks,120,Boston Celtics,123,Box Score,,5498,,Boston Garden,
"Sun, Mar 4, 1962",Detroit Pistons,133,Chicago Packers,116,Box Score,,,,Wharton Field House,"at Moline, IL"
"Sun, Mar 4, 1962",Philadelphia Warriors,129,New York Knicks,128,Box Score,,,,Madison Square Garden (III),
"Sun, Mar 4, 1962",Los Angeles Lakers,124,Syracuse Nationals,115,Box Score,,,,Onondaga War Memorial,
"Tue, Mar 6, 1962",Boston Celtics,106,New York Knicks,113,Box Score,,6984,,Madison Square Garden (III),
"Wed, Mar 7, 1962",St. Louis Hawks,126,Syracuse Nationals,129,Box Score,,,,Onondaga War Memorial,
"Wed, Mar 7, 1962",New York Knicks,112,Detroit Pistons,119,Box Score,,,,Boston Garden,"at Boston, MA"
"Wed, Mar 7, 1962",Philadelphia Warriors,102,Boston Celtics,153,Box Score,,7102,,Boston Garden,
"Thu, Mar 8, 1962",Boston Celtics,108,Chicago Packers,102,Box Score,,2780,,International Amphitheatre,
"Fri, Mar 9, 1962",St. Louis Hawks,124,Chicago Packers,120,Box Score,,,,Cobo Arena,"at Detroit, MI"
"Fri, Mar 9, 1962",Boston Celtics,130,Detroit Pistons,111,Box Score,,6428,,Cobo Arena,
"Fri, Mar 9, 1962",Los Angeles Lakers,100,New York Knicks,122,Box Score,,,,Madison Square Garden (III),
"Sat, Mar 10, 1962",New York Knicks,116,Chicago Packers,128,Box Score,,,,International Amphitheatre,
"Sat, Mar 10, 1962",Cincinnati Royals,110,St. Louis Hawks,116,Box Score,,,,Kiel Auditorium,
"Sat, Mar 10, 1962",Detroit Pistons,111,Syracuse Nationals,128,Box Score,,,,Onondaga War Memorial,
"Sun, Mar 11, 1962",Los Angeles Lakers,105,Boston Celtics,119,Box Score,,8866,,Boston Garden,
"Sun, Mar 11, 1962",Detroit Pistons,123,St. Louis Hawks,126,Box Score,,,,Kiel Auditorium,
"Sun, Mar 11, 1962",Philadelphia Warriors,130,Syracuse Nationals,148,Box Score,,,,Onondaga War Memorial,
"Mon, Mar 12, 1962",New York Knicks,106,Los Angeles Lakers,119,Box Score,,,,Seattle Ice Arena,"at Seattle, WA"
"Mon, Mar 12, 1962",Detroit Pistons,121,Chicago Packers,116,Box Score,,,,Brown County Veterans Memorial Arena,"at Green Bay, WI"
"Tue, Mar 13, 1962",Syracuse Nationals,110,Boston Celtics,142,Box Score,,4651,,Boston Garden,
"Tue, Mar 13, 1962",Cincinnati Royals,111,Los Angeles Lakers,120,Box Score,,,,Los Angeles Memorial Sports Arena,
"Tue, Mar 13, 1962",Chicago Packers,124,St. Louis Hawks,118,Box Score,,,,Kiel Auditorium,
"Wed, Mar 14, 1962",Philadelphia Warriors,119,Chicago Packers,115,Box Score,OT,,,International Amphitheatre,
"Wed, Mar 14, 1962",New York Knicks,134,Cincinnati Royals,136,Box Score,,,,Cincinnati Gardens,
"Wed, Mar 14, 1962",Syracuse Nationals,102,Detroit Pistons,105,Box Score,,,,Cobo Arena,
"Wed, Mar 14, 1962",St. Louis Hawks,115,Los Angeles Lakers,125,Box Score,,,,Los Angeles Memorial Sports Arena,
