Date,Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 5,Unnamed: 6,Attend.,LOG,Arena,Notes
"Sun, Mar 1, 1959",Philadelphia Warriors,98,Minneapolis Lakers,100,Box Score,,,,Camden Convention Hall,"at Camden, NJ"
"Sun, Mar 1, 1959",Boston Celtics,102,St. Louis Hawks,104,Box Score,,11067,,Kiel Auditorium,
"Sun, Mar 1, 1959",New York Knicks,115,Syracuse Nationals,140,Box Score,,,,Onondaga War Memorial,
"Sun, Mar 1, 1959",Cincinnati Royals,101,Detroit Pistons,117,Box Score,,,,Memorial Building - University of Detroit,
"Tue, Mar 3, 1959",Minneapolis Lakers,112,Boston Celtics,119,Box Score,,5253,,Rhode Island Auditorium,"at Providence, RI"
"Tue, Mar 3, 1959",Philadelphia Warriors,116,Detroit Pistons,107,Box Score,,,,Detroit Olympia,"at New York, NY"
"Tue, Mar 3, 1959",Syracuse Nationals,127,New York Knicks,120,Box Score,,,,Madison Square Garden (III),
"Tue, Mar 3, 1959",Cincinnati Royals,102,St. Louis Hawks,113,Box Score,,,,Kiel Auditorium,
"Wed, Mar 4, 1959",St. Louis Hawks,97,Detroit Pistons,127,Box Score,,,,Detroit Olympia,
"Wed, Mar 4, 1959",Philadelphia Warriors,115,New York Knicks,118,Box Score,,,,Boston Garden,"at Boston, MA"
"Wed, Mar 4, 1959",Minneapolis Lakers,122,Cincinnati Royals,128,Box Score,,,,Cincinnati Gardens,
"Wed, Mar 4, 1959",Syracuse Nationals,114,Boston Celtics,120,Box Score,,6222,,Boston Garden,
"Thu, Mar 5, 1959",New York Knicks,115,Minneapolis Lakers,135,Box Score,,,,Philadelphia Arena,"at Philadelphia, PA"
"Thu, Mar 5, 1959",St. Louis Hawks,101,Philadelphia Warriors,106,Box Score,,,,Philadelphia Arena,
"Thu, Mar 5, 1959",Boston Celtics,118,Syracuse Nationals,142,Box Score,,5915,,Onondaga War Memorial,
"Fri, Mar 6, 1959",Minneapolis Lakers,99,Detroit Pistons,98,Box Score,,,,Memorial Building - University of Detroit,
"Fri, Mar 6, 1959",Syracuse Nationals,114,Philadelphia Warriors,118,Box Score,,,,Hershey Sports Arena,"at Hershey, PA"
"Sat, Mar 7, 1959",Cincinnati Royals,86,Philadelphia Warriors,93,Box Score,,,,Convention Hall,
"Sat, Mar 7, 1959",Detroit Pistons,128,St. Louis Hawks,137,Box Score,,,,Kiel Auditorium,
"Sun, Mar 8, 1959",Philadelphia Warriors,103,Syracuse Nationals,133,Box Score,,,,Onondaga War Memorial,
"Sun, Mar 8, 1959",Detroit Pistons,120,New York Knicks,127,Box Score,,,,Madison Square Garden (III),
"Sun, Mar 8, 1959",Cincinnati Royals,131,Boston Celtics,141,Box Score,,13909,,Boston Garden,
"Sun, Mar 8, 1959",St. Louis Hawks,104,Minneapolis Lakers,120,Box Score,,,,Minneapolis Auditorium,
"Tue, Mar 10, 1959",New York Knicks,138,Boston Celtics,116,Box Score,,9176,,Boston Garden,
"Tue, Mar 10, 1959",Philadelphia Warriors,102,Cincinnati Royals,96,Box Score,,,,Cincinnati Gardens,
"Wed, Mar 11, 1959",Detroit Pistons,123,Minneapolis Lakers,118,Box Score,,,,Minneapolis Auditorium,
"Wed, Mar 11, 1959",St. Louis Hawks,132,Syracuse Nationals,130,Box Score,OT,,,Onondaga War Memorial,
