Date,Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 5,Unnamed: 6,Attend.,LOG,Arena,Notes
"Fri, Jan 1, 1971",Baltimore Bullets,128,Cleveland Cavaliers,105,Box Score,,,,Cleveland Arena,
"Fri, Jan 1, 1971",San Diego Rockets,117,Los Angeles Lakers,106,Box Score,,,,The Forum,
"Fri, Jan 1, 1971",Portland Trail Blazers,118,Seattle SuperSonics,121,Box Score,,,,Seattle Center Coliseum,
"Sat, Jan 2, 1971",Cincinnati Royals,115,Buffalo Braves,103,Box Score,,,,Buffalo Memorial Auditorium,
"Sat, Jan 2, 1971",Baltimore Bullets,108,Detroit Pistons,99,Box Score,,,,Cobo Arena,
"Sat, Jan 2, 1971",Cleveland Cavaliers,73,Milwaukee Bucks,118,Box Score,,,,Milwaukee Arena,
"Sat, Jan 2, 1971",Atlanta Hawks,112,New York Knicks,108,Box Score,,,,Madison Square Garden (IV),
"Sat, Jan 2, 1971",Boston Celtics,125,Philadelphia 76ers,120,Box Score,,11820.0,,The Spectrum,
"Sat, Jan 2, 1971",Chicago Bulls,136,Portland Trail Blazers,113,Box Score,,,,Memorial Coliseum,
"Sat, Jan 2, 1971",Los Angeles Lakers,108,San Diego Rockets,109,Box Score,OT,,,San Diego Sports Arena,
"Sat, Jan 2, 1971",Phoenix Suns,122,San Francisco Warriors,116,Box Score,OT,,,San Francisco Civic Auditorium,
"Sun, Jan 3, 1971",Boston Celtics,140,Atlanta Hawks,128,Box Score,,4669.0,,Alexander Memorial Coliseum,
"Sun, Jan 3, 1971",San Francisco Warriors,81,Phoenix Suns,102,Box Score,,,,Arizona Veterans Memorial Coliseum,
"Mon, Jan 4, 1971",Portland Trail Blazers,119,Cleveland Cavaliers,106,Box Score,,,,Cleveland Arena,
"Mon, Jan 4, 1971",Seattle SuperSonics,110,Milwaukee Bucks,124,Box Score,,,,Milwaukee Arena,
"Tue, Jan 5, 1971",Detroit Pistons,98,Atlanta Hawks,90,Box Score,,,,Alexander Memorial Coliseum,
"Tue, Jan 5, 1971",Seattle SuperSonics,101,Baltimore Bullets,109,Box Score,,,,Baltimore Civic Center,
"Tue, Jan 5, 1971",Portland Trail Blazers,124,Boston Celtics,120,Box Score,,5364.0,,The Spectrum,"at Philadelphia, PA"
"Tue, Jan 5, 1971",San Diego Rockets,103,Chicago Bulls,116,Box Score,,,,Chicago Stadium,
"Tue, Jan 5, 1971",Los Angeles Lakers,112,Cincinnati Royals,146,Box Score,,,,Omaha Civic Auditorium,"at Omaha, NE"
"Tue, Jan 5, 1971",San Francisco Warriors,92,Philadelphia 76ers,97,Box Score,,,,The Spectrum,
"Wed, Jan 6, 1971",Seattle SuperSonics,112,Boston Celtics,137,Box Score,,4152.0,,Boston Garden,
"Wed, Jan 6, 1971",San Francisco Warriors,108,Buffalo Braves,115,Box Score,,,,Buffalo Memorial Auditorium,
"Wed, Jan 6, 1971",Milwaukee Bucks,119,Chicago Bulls,106,Box Score,,,,Dane County Veteran Memorial Coliseum,"at Madison, WI"
"Wed, Jan 6, 1971",Portland Trail Blazers,128,Cincinnati Royals,133,Box Score,OT,,,Cincinnati Gardens,
"Wed, Jan 6, 1971",New York Knicks,127,Cleveland Cavaliers,94,Box Score,,,,Cleveland Arena,
"Wed, Jan 6, 1971",San Diego Rockets,99,Detroit Pistons,100,Box Score,,,,Cobo Arena,
"Thu, Jan 7, 1971",Baltimore Bullets,110,Atlanta Hawks,102,Box Score,,,,Alexander Memorial Coliseum,
"Thu, Jan 7, 1971",Los Angeles Lakers,110,Cleveland Cavaliers,105,Box Score,,,,Cleveland Arena,
"Thu, Jan 7, 1971",New York Knicks,106,Milwaukee Bucks,116,Box Score,,,,Milwaukee Arena,
"Fri, Jan 8, 1971",Atlanta Hawks,104,Baltimore Bullets,115,Box Score,,,,Baltimore Civic Center,
"Fri, Jan 8, 1971",Phoenix Suns,114,Boston Celtics,122,Box Score,,7124.0,,Boston Garden,
"Fri, Jan 8, 1971",Seattle SuperSonics,110,Buffalo Braves,102,Box Score,,,,Buffalo Memorial Auditorium,
"Fri, Jan 8, 1971",Portland Trail Blazers,113,Chicago Bulls,105,Box Score,,,,Chicago Stadium,
"Fri, Jan 8, 1971",Cincinnati Royals,109,Detroit Pistons,115,Box Score,,,,Cobo Arena,
"Fri, Jan 8, 1971",Los Angeles Lakers,123,Philadelphia 76ers,117,Box Score,,,,The Spectrum,
"Fri, Jan 8, 1971",San Francisco Warriors,120,San Diego Rockets,117,Box Score,,,,San Diego Sports Arena,
"Sat, Jan 9, 1971",Seattle SuperSonics,114,Cincinnati Royals,110,Box Score,,,,Cincinnati Gardens,
"Sat, Jan 9, 1971",Buffalo Braves,89,Cleveland Cavaliers,111,Box Score,,,,Cleveland Arena,
"Sat, Jan 9, 1971",Detroit Pistons,100,Milwaukee Bucks,118,Box Score,,,,Milwaukee Arena,
"Sat, Jan 9, 1971",Phoenix Suns,112,Philadelphia 76ers,123,Box Score,,,,The Spectrum,
"Sat, Jan 9, 1971",New York Knicks,96,Portland Trail Blazers,114,Box Score,,,,Memorial Coliseum,
"Sat, Jan 9, 1971",San Diego Rockets,103,San Francisco Warriors,109,Box Score,,,,Oakland-Alameda County Coliseum Arena,"at Oakland, CA"
"Sun, Jan 10, 1971",Phoenix Suns,116,Atlanta Hawks,105,Box Score,,,,Alexander Memorial Coliseum,
"Sun, Jan 10, 1971",Philadelphia 76ers,115,Boston Celtics,107,Box Score,,8146.0,,Boston Garden,
"Sun, Jan 10, 1971",Buffalo Braves,113,Chicago Bulls,141,Box Score,,,,Chicago Stadium,
"Sun, Jan 10, 1971",Los Angeles Lakers,109,Detroit Pistons,118,Box Score,,,,Cobo Arena,
"Sun, Jan 10, 1971",Baltimore Bullets,99,Milwaukee Bucks,151,Box Score,,,,Milwaukee Arena,
"Thu, Jan 14, 1971",Portland Trail Blazers,113,Buffalo Braves,119,Box Score,,,,Rochester Community War Memorial,"at Rochester, NY"
"Thu, Jan 14, 1971",Philadelphia 76ers,103,Chicago Bulls,108,Box Score,,,,Chicago Stadium,
"Thu, Jan 14, 1971",Los Angeles Lakers,126,Cincinnati Royals,120,Box Score,,,,Maple Leaf Gardens,"at Toronto, Canada"
"Thu, Jan 14, 1971",Cleveland Cavaliers,106,Detroit Pistons,108,Box Score,,,,Cobo Arena,
"Thu, Jan 14, 1971",New York Knicks,88,Phoenix Suns,107,Box Score,,,,Arizona Veterans Memorial Coliseum,
"Thu, Jan 14, 1971",Baltimore Bullets,110,Seattle SuperSonics,114,Box Score,,,,Hec Edmunson Pavilion,"at Seattle, WA (Clarence S. ""Hec"" Edmundson Pavillion)"
"Fri, Jan 15, 1971",Atlanta Hawks,123,Boston Celtics,134,Box Score,,10048.0,,Boston Garden,
"Fri, Jan 15, 1971",Detroit Pistons,99,Buffalo Braves,97,Box Score,OT,,,Buffalo Memorial Auditorium,
"Fri, Jan 15, 1971",Cincinnati Royals,116,Milwaukee Bucks,135,Box Score,,,,Milwaukee Arena,
"Fri, Jan 15, 1971",Chicago Bulls,96,Philadelphia 76ers,99,Box Score,,,,The Spectrum,
"Fri, Jan 15, 1971",Baltimore Bullets,124,San Diego Rockets,117,Box Score,,,,San Diego Sports Arena,
"Sat, Jan 16, 1971",Los Angeles Lakers,123,Atlanta Hawks,127,Box Score,,,,Alexander Memorial Coliseum,
"Sat, Jan 16, 1971",Milwaukee Bucks,110,Chicago Bulls,90,Box Score,,,,Chicago Stadium,
"Sat, Jan 16, 1971",Buffalo Braves,113,Cincinnati Royals,114,Box Score,,,,Cincinnati Gardens,
"Sat, Jan 16, 1971",Boston Celtics,118,Detroit Pistons,121,Box Score,,7288.0,,Cobo Arena,
"Sat, Jan 16, 1971",Cleveland Cavaliers,96,Philadelphia 76ers,115,Box Score,,,,The Spectrum,
"Sat, Jan 16, 1971",Baltimore Bullets,100,Phoenix Suns,117,Box Score,,,,Arizona Veterans Memorial Coliseum,
"Sat, Jan 16, 1971",New York Knicks,93,San Francisco Warriors,102,Box Score,,,,Oakland-Alameda County Coliseum Arena,"at Oakland, CA"
"Sun, Jan 17, 1971",Boston Celtics,113,Milwaukee Bucks,120,Box Score,,10746.0,,Milwaukee Arena,
"Sun, Jan 17, 1971",Philadelphia 76ers,106,San Diego Rockets,105,Box Score,,,,San Diego Sports Arena,
"Sun, Jan 17, 1971",Baltimore Bullets,111,Seattle SuperSonics,96,Box Score,,,,Seattle Center Coliseum,"at Seattle, WA (Clarence S. ""Hec"" Edmundson Pavillion)"
"Mon, Jan 18, 1971",Atlanta Hawks,123,Buffalo Braves,113,Box Score,,,,Buffalo Memorial Auditorium,
"Mon, Jan 18, 1971",Phoenix Suns,118,Cincinnati Royals,99,Box Score,,,,Omaha Civic Auditorium,"at Omaha, NE"
"Tue, Jan 19, 1971",Cleveland Cavaliers,111,Buffalo Braves,79,Box Score,,,,Onondaga War Memorial,"at Syracuse, NY"
"Tue, Jan 19, 1971",Portland Trail Blazers,111,Chicago Bulls,123,Box Score,,,,Chicago Stadium,
"Tue, Jan 19, 1971",Seattle SuperSonics,102,Detroit Pistons,106,Box Score,,,,Cobo Arena,
"Tue, Jan 19, 1971",Philadelphia 76ers,114,Los Angeles Lakers,134,Box Score,,,,The Forum,
"Tue, Jan 19, 1971",San Diego Rockets,113,New York Knicks,117,Box Score,OT,,,Madison Square Garden (IV),
"Tue, Jan 19, 1971",Cincinnati Royals,108,San Francisco Warriors,116,Box Score,,,,Oakland-Alameda County Coliseum Arena,"at Oakland, CA"
"Wed, Jan 20, 1971",Seattle SuperSonics,112,Atlanta Hawks,108,Box Score,,,,Alexander Memorial Coliseum,
"Wed, Jan 20, 1971",Milwaukee Bucks,120,Baltimore Bullets,116,Box Score,,,,Baltimore Civic Center,
"Wed, Jan 20, 1971",San Diego Rockets,112,Boston Celtics,142,Box Score,,5313.0,,Boston Garden,
"Wed, Jan 20, 1971",Portland Trail Blazers,106,Buffalo Braves,126,Box Score,,,,Buffalo Memorial Auditorium,
"Wed, Jan 20, 1971",New York Knicks,103,Chicago Bulls,109,Box Score,,,,Chicago Stadium,
"Wed, Jan 20, 1971",Cincinnati Royals,126,Phoenix Suns,114,Box Score,,,,Arizona Veterans Memorial Coliseum,
"Fri, Jan 22, 1971",Baltimore Bullets,136,Boston Celtics,117,Box Score,,8403.0,,Boston Garden,
"Fri, Jan 22, 1971",San Diego Rockets,94,Buffalo Braves,101,Box Score,,,,Buffalo Memorial Auditorium,
"Fri, Jan 22, 1971",Portland Trail Blazers,123,Detroit Pistons,112,Box Score,,,,Cobo Arena,
"Fri, Jan 22, 1971",San Francisco Warriors,110,Los Angeles Lakers,130,Box Score,,,,The Forum,
"Fri, Jan 22, 1971",Atlanta Hawks,117,Milwaukee Bucks,110,Box Score,,,,Milwaukee Arena,
"Fri, Jan 22, 1971",Philadelphia 76ers,117,Phoenix Suns,116,Box Score,,,,Arizona Veterans Memorial Coliseum,
"Fri, Jan 22, 1971",Cincinnati Royals,131,Seattle SuperSonics,132,Box Score,OT,,,Seattle Center Coliseum,
