Date,Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 5,Unnamed: 6,Attend.,LOG,Arena,Notes
"Sun, Nov 1, 1970",Atlanta Hawks,131,Cleveland Cavaliers,107,Box Score,,,,Cleveland Arena,
"Mon, Nov 2, 1970",Cleveland Cavaliers,87,Philadelphia 76ers,141,Box Score,,,,The Spectrum,
"Mon, Nov 2, 1970",Buffalo Braves,102,Phoenix Suns,110,Box Score,,,,Arizona Veterans Memorial Coliseum,
"Mon, Nov 2, 1970",New York Knicks,111,San Francisco Warriors,99,Box Score,,,,Oakland-Alameda County Coliseum Arena,"at Oakland, CA"
"Tue, Nov 3, 1970",Seattle SuperSonics,101,Chicago Bulls,113,Box Score,,,,Chicago Stadium,
"Tue, Nov 3, 1970",Cincinnati Royals,112,Detroit Pistons,115,Box Score,,,,Cobo Arena,
"Tue, Nov 3, 1970",Los Angeles Lakers,128,Portland Trail Blazers,108,Box Score,,,,Memorial Coliseum,
"Wed, Nov 4, 1970",Detroit Pistons,117,Atlanta Hawks,105,Box Score,,,,Alexander Memorial Coliseum,
"Wed, Nov 4, 1970",Philadelphia 76ers,113,Boston Celtics,115,Box Score,,5212.0,,Boston Garden,
"Wed, Nov 4, 1970",Seattle SuperSonics,126,Buffalo Braves,101,Box Score,,,,Buffalo Memorial Auditorium,
"Wed, Nov 4, 1970",Phoenix Suns,133,Cincinnati Royals,115,Box Score,,,,Cincinnati Gardens,
"Wed, Nov 4, 1970",Milwaukee Bucks,110,Cleveland Cavaliers,108,Box Score,,,,Cleveland Arena,
"Wed, Nov 4, 1970",New York Knicks,109,San Diego Rockets,100,Box Score,,,,San Diego Sports Arena,
"Wed, Nov 4, 1970",Baltimore Bullets,100,San Francisco Warriors,111,Box Score,,,,Cow Palace,
"Thu, Nov 5, 1970",Buffalo Braves,109,Detroit Pistons,121,Box Score,,,,Cobo Arena,
"Thu, Nov 5, 1970",Baltimore Bullets,131,Portland Trail Blazers,135,Box Score,,,,Memorial Coliseum,
"Fri, Nov 6, 1970",Seattle SuperSonics,94,Boston Celtics,116,Box Score,,5852.0,,Boston Garden,
"Fri, Nov 6, 1970",Phoenix Suns,105,Chicago Bulls,102,Box Score,,,,Chicago Stadium,
"Fri, Nov 6, 1970",New York Knicks,104,Los Angeles Lakers,106,Box Score,,,,The Forum,
"Fri, Nov 6, 1970",Atlanta Hawks,112,Philadelphia 76ers,118,Box Score,,,,The Spectrum,
"Fri, Nov 6, 1970",San Francisco Warriors,110,Portland Trail Blazers,103,Box Score,,,,Memorial Coliseum,
"Fri, Nov 6, 1970",Baltimore Bullets,125,San Diego Rockets,118,Box Score,,,,San Diego Sports Arena,
"Sat, Nov 7, 1970",Phoenix Suns,107,Atlanta Hawks,100,Box Score,,,,Alexander Memorial Coliseum,
"Sat, Nov 7, 1970",Cleveland Cavaliers,91,Buffalo Braves,103,Box Score,,,,Buffalo Memorial Auditorium,
"Sat, Nov 7, 1970",Detroit Pistons,99,Chicago Bulls,125,Box Score,,,,Chicago Stadium,
"Sat, Nov 7, 1970",Boston Celtics,140,Cincinnati Royals,122,Box Score,,3538.0,,Cincinnati Gardens,
"Sat, Nov 7, 1970",Seattle SuperSonics,128,Philadelphia 76ers,134,Box Score,,,,The Spectrum,
"Sat, Nov 7, 1970",San Diego Rockets,102,San Francisco Warriors,114,Box Score,,,,San Francisco Civic Auditorium,
"Sun, Nov 8, 1970",Seattle SuperSonics,111,Cleveland Cavaliers,105,Box Score,,,,Cleveland Arena,
"Sun, Nov 8, 1970",Baltimore Bullets,105,Los Angeles Lakers,124,Box Score,,,,The Forum,
"Sun, Nov 8, 1970",Phoenix Suns,105,Milwaukee Bucks,125,Box Score,,,,Milwaukee Arena,
"Sun, Nov 8, 1970",New York Knicks,125,Portland Trail Blazers,113,Box Score,,,,Memorial Coliseum,
"Tue, Nov 10, 1970",Philadelphia 76ers,104,Atlanta Hawks,109,Box Score,,,,Alexander Memorial Coliseum,
"Tue, Nov 10, 1970",Los Angeles Lakers,96,Chicago Bulls,118,Box Score,,,,Chicago Stadium,
"Tue, Nov 10, 1970",Cincinnati Royals,138,Portland Trail Blazers,121,Box Score,,,,Memorial Coliseum,
"Tue, Nov 10, 1970",New York Knicks,91,Seattle SuperSonics,93,Box Score,,,,Seattle Center Coliseum,
"Tue, Nov 10, 1970",Cleveland Cavaliers,74,San Francisco Warriors,109,Box Score,,,,San Francisco Civic Auditorium,
"Wed, Nov 11, 1970",Philadelphia 76ers,119,Baltimore Bullets,107,Box Score,,,,Baltimore Civic Center,
"Wed, Nov 11, 1970",Milwaukee Bucks,123,Boston Celtics,113,Box Score,,15203.0,,Boston Garden,
"Wed, Nov 11, 1970",Atlanta Hawks,118,Buffalo Braves,134,Box Score,,,,Buffalo Memorial Auditorium,
"Wed, Nov 11, 1970",Los Angeles Lakers,117,Detroit Pistons,115,Box Score,,,,Cobo Arena,
"Wed, Nov 11, 1970",Portland Trail Blazers,100,Phoenix Suns,114,Box Score,,,,Arizona Veterans Memorial Coliseum,
"Wed, Nov 11, 1970",Cincinnati Royals,120,San Diego Rockets,127,Box Score,,,,San Diego Sports Arena,
"Thu, Nov 12, 1970",Baltimore Bullets,110,New York Knicks,108,Box Score,,,,Madison Square Garden (IV),
"Thu, Nov 12, 1970",Cleveland Cavaliers,105,Portland Trail Blazers,103,Box Score,,,,Memorial Coliseum,
"Thu, Nov 12, 1970",Cincinnati Royals,121,San Francisco Warriors,107,Box Score,,,,Cow Palace,
"Fri, Nov 13, 1970",Atlanta Hawks,116,Boston Celtics,114,Box Score,,12005.0,,Boston Garden,
"Fri, Nov 13, 1970",New York Knicks,106,Chicago Bulls,98,Box Score,,,,Chicago Stadium,
"Fri, Nov 13, 1970",Detroit Pistons,109,Los Angeles Lakers,122,Box Score,,,,The Forum,
"Fri, Nov 13, 1970",Buffalo Braves,111,Philadelphia 76ers,119,Box Score,,,,The Spectrum,
"Fri, Nov 13, 1970",Cincinnati Royals,109,Phoenix Suns,115,Box Score,,,,Arizona Veterans Memorial Coliseum,
"Fri, Nov 13, 1970",San Francisco Warriors,107,San Diego Rockets,102,Box Score,,,,San Diego Sports Arena,
"Fri, Nov 13, 1970",Cleveland Cavaliers,91,Seattle SuperSonics,111,Box Score,,,,Seattle Center Coliseum,
"Sat, Nov 14, 1970",Chicago Bulls,120,Atlanta Hawks,116,Box Score,,,,Alexander Memorial Coliseum,
"Sat, Nov 14, 1970",Boston Celtics,101,Baltimore Bullets,122,Box Score,,8759.0,,Baltimore Civic Center,
"Sat, Nov 14, 1970",Milwaukee Bucks,116,Buffalo Braves,107,Box Score,,,,Buffalo Memorial Auditorium,
"Sat, Nov 14, 1970",Philadelphia 76ers,94,New York Knicks,126,Box Score,,,,Madison Square Garden (IV),
"Sat, Nov 14, 1970",Cleveland Cavaliers,116,Portland Trail Blazers,126,Box Score,,,,Memorial Coliseum,
"Sat, Nov 14, 1970",Detroit Pistons,101,San Diego Rockets,112,Box Score,,,,San Diego Sports Arena,
"Sun, Nov 15, 1970",Baltimore Bullets,90,Milwaukee Bucks,105,Box Score,,,,Milwaukee Arena,
"Sun, Nov 15, 1970",Detroit Pistons,104,Phoenix Suns,108,Box Score,,,,Arizona Veterans Memorial Coliseum,
"Mon, Nov 16, 1970",Cleveland Cavaliers,86,Baltimore Bullets,98,Box Score,,,,Baltimore Civic Center,
"Mon, Nov 16, 1970",Seattle SuperSonics,103,Buffalo Braves,112,Box Score,,,,Memorial Coliseum,"at Portland, OR"
"Mon, Nov 16, 1970",San Francisco Warriors,100,Milwaukee Bucks,119,Box Score,,,,Milwaukee Arena,
"Mon, Nov 16, 1970",San Diego Rockets,136,Portland Trail Blazers,118,Box Score,,,,Memorial Coliseum,
"Tue, Nov 17, 1970",San Francisco Warriors,111,Chicago Bulls,105,Box Score,,,,Chicago Stadium,
"Tue, Nov 17, 1970",Philadelphia 76ers,113,Detroit Pistons,91,Box Score,,,,Cobo Arena,
"Tue, Nov 17, 1970",Atlanta Hawks,105,Los Angeles Lakers,116,Box Score,,,,The Forum,
"Tue, Nov 17, 1970",Phoenix Suns,100,New York Knicks,103,Box Score,,,,Madison Square Garden (IV),
"Tue, Nov 17, 1970",Buffalo Braves,102,Portland Trail Blazers,101,Box Score,,,,Seattle Center Coliseum,
"Wed, Nov 18, 1970",San Francisco Warriors,90,Boston Celtics,89,Box Score,,3853.0,,Boston Garden,
"Wed, Nov 18, 1970",Chicago Bulls,128,Cincinnati Royals,107,Box Score,,,,Cincinnati Gardens,
"Wed, Nov 18, 1970",Baltimore Bullets,111,Cleveland Cavaliers,98,Box Score,,,,Cleveland Arena,
"Wed, Nov 18, 1970",New York Knicks,106,Philadelphia 76ers,113,Box Score,,,,The Spectrum,
"Wed, Nov 18, 1970",Atlanta Hawks,131,Portland Trail Blazers,146,Box Score,,,,Memorial Coliseum,
"Wed, Nov 18, 1970",Milwaukee Bucks,117,San Diego Rockets,111,Box Score,,,,San Diego Sports Arena,
"Thu, Nov 19, 1970",Phoenix Suns,110,Detroit Pistons,112,Box Score,,,,Cobo Arena,
"Thu, Nov 19, 1970",Cincinnati Royals,106,New York Knicks,98,Box Score,,,,Madison Square Garden (IV),
"Thu, Nov 19, 1970",Los Angeles Lakers,110,Seattle SuperSonics,111,Box Score,,,,Seattle Center Coliseum,
"Fri, Nov 20, 1970",Phoenix Suns,110,Baltimore Bullets,121,Box Score,,,,Baltimore Civic Center,
"Fri, Nov 20, 1970",Cleveland Cavaliers,112,Boston Celtics,116,Box Score,,6491.0,,Boston Garden,
"Fri, Nov 20, 1970",Milwaukee Bucks,117,Los Angeles Lakers,100,Box Score,,,,The Forum,
"Fri, Nov 20, 1970",Detroit Pistons,120,Philadelphia 76ers,112,Box Score,,,,The Spectrum,
"Fri, Nov 20, 1970",Seattle SuperSonics,106,San Diego Rockets,121,Box Score,,,,San Diego Sports Arena,
"Fri, Nov 20, 1970",Buffalo Braves,108,San Francisco Warriors,123,Box Score,,,,Cow Palace,
"Sat, Nov 21, 1970",Baltimore Bullets,103,Atlanta Hawks,130,Box Score,,,,Alexander Memorial Coliseum,
"Sat, Nov 21, 1970",Portland Trail Blazers,112,Buffalo Braves,108,Box Score,,,,Buffalo Memorial Auditorium,"at Seattle, WA"
"Sat, Nov 21, 1970",Boston Celtics,107,Chicago Bulls,110,Box Score,,9178.0,,Chicago Stadium,
"Sat, Nov 21, 1970",Detroit Pistons,102,Cincinnati Royals,114,Box Score,,,,Cincinnati Gardens,
"Sat, Nov 21, 1970",Cleveland Cavaliers,94,New York Knicks,102,Box Score,,,,Madison Square Garden (IV),
"Sat, Nov 21, 1970",Phoenix Suns,125,Philadelphia 76ers,119,Box Score,,,,The Spectrum,
"Sat, Nov 21, 1970",San Diego Rockets,115,Seattle SuperSonics,114,Box Score,,,,Seattle Center Coliseum,
"Sat, Nov 21, 1970",Milwaukee Bucks,127,San Francisco Warriors,102,Box Score,,,,Cow Palace,
"Sun, Nov 22, 1970",Philadelphia 76ers,115,Atlanta Hawks,125,Box Score,,,,Alexander Memorial Coliseum,
"Sun, Nov 22, 1970",Phoenix Suns,114,Cleveland Cavaliers,99,Box Score,,,,Cleveland Arena,
"Sun, Nov 22, 1970",Seattle SuperSonics,124,Los Angeles Lakers,149,Box Score,,,,The Forum,
"Sun, Nov 22, 1970",Milwaukee Bucks,126,Portland Trail Blazers,104,Box Score,,,,Memorial Coliseum,
"Tue, Nov 24, 1970",Portland Trail Blazers,104,Baltimore Bullets,156,Box Score,,,,Baltimore Civic Center,
"Tue, Nov 24, 1970",Phoenix Suns,106,Buffalo Braves,112,Box Score,,,,Buffalo Memorial Auditorium,
