Date,Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 5,Unnamed: 6,Attend.,LOG,Arena,Notes
"Sat, Mar 1, 1958",Cincinnati Royals,101,Philadelphia Warriors,88,Box Score,,,,Convention Hall,
"Sat, Mar 1, 1958",Detroit Pistons,103,New York Knicks,101,Box Score,,,,69th Regiment Armory,
"Sun, Mar 2, 1958",Cincinnati Royals,93,St. Louis Hawks,103,Box Score,,,,Kiel Auditorium,
"Sun, Mar 2, 1958",Boston Celtics,107,Syracuse Nationals,100,Box Score,,4721,,Onondaga War Memorial,
"Sun, Mar 2, 1958",Philadelphia Warriors,92,Minneapolis Lakers,102,Box Score,,,,Minneapolis Armory,
"Tue, Mar 4, 1958",Philadelphia Warriors,97,Cincinnati Royals,91,Box Score,,,,Madison Square Garden (III),"at New York, NY"
"Tue, Mar 4, 1958",Boston Celtics,99,New York Knicks,104,Box Score,,12632,,Madison Square Garden (III),
"Wed, Mar 5, 1958",St. Louis Hawks,102,Boston Celtics,109,Box Score,,8443,,Boston Garden,
"Wed, Mar 5, 1958",New York Knicks,91,Syracuse Nationals,102,Box Score,,,,Onondaga War Memorial,
"Thu, Mar 6, 1958",Detroit Pistons,132,Minneapolis Lakers,116,Box Score,,,,Minneapolis Armory,
"Thu, Mar 6, 1958",Cincinnati Royals,110,Philadelphia Warriors,108,Box Score,,,,Convention Hall,
"Fri, Mar 7, 1958",Syracuse Nationals,100,St. Louis Hawks,102,Box Score,,,,Kiel Auditorium,
"Sat, Mar 8, 1958",Detroit Pistons,103,Boston Celtics,108,Box Score,,7793,,Boston Garden,
"Sat, Mar 8, 1958",Minneapolis Lakers,123,St. Louis Hawks,126,Box Score,,,,Kiel Auditorium,
"Sun, Mar 9, 1958",Cincinnati Royals,121,Boston Celtics,107,Box Score,,10028,,Boston Garden,
"Sun, Mar 9, 1958",St. Louis Hawks,99,Minneapolis Lakers,107,Box Score,,,,Minneapolis Auditorium,
"Sun, Mar 9, 1958",Philadelphia Warriors,81,New York Knicks,123,Box Score,,,,Madison Square Garden (III),
"Sun, Mar 9, 1958",Detroit Pistons,90,Syracuse Nationals,111,Box Score,,,,Onondaga War Memorial,
"Mon, Mar 10, 1958",St. Louis Hawks,84,Cincinnati Royals,122,Box Score,,,,Cincinnati Gardens,
"Tue, Mar 11, 1958",Philadelphia Warriors,106,St. Louis Hawks,101,Box Score,,,,Kiel Auditorium,
"Tue, Mar 11, 1958",New York Knicks,119,Boston Celtics,126,Box Score,,2384,,Boston Garden,
"Wed, Mar 12, 1958",New York Knicks,127,Boston Celtics,125,Box Score,,3976,,Boston Garden,
"Wed, Mar 12, 1958",Cincinnati Royals,96,Minneapolis Lakers,89,Box Score,,,,Minneapolis Auditorium,
"Wed, Mar 12, 1958",Philadelphia Warriors,99,Syracuse Nationals,110,Box Score,,,,Onondaga War Memorial,
