Date,Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 5,Unnamed: 6,Attend.,LOG,Arena,Notes
"Sat, Jan 1, 1972",Cincinnati Royals,94,New York Knicks,104,Box Score,,,,Madison Square Garden (IV),
"Sat, Jan 1, 1972",Boston Celtics,104,Phoenix Suns,114,Box Score,,8056.0,,Arizona Veterans Memorial Coliseum,
"Sat, Jan 1, 1972",Buffalo Braves,83,Seattle SuperSonics,97,Box Score,,,,Seattle Center Coliseum,
"Sun, Jan 2, 1972",Philadelphia 76ers,148,Cleveland Cavaliers,119,Box Score,,,,Cleveland Arena,
"Sun, Jan 2, 1972",Detroit Pistons,109,Houston Rockets,107,Box Score,,,,Hofheinz Pavilion,
"Sun, Jan 2, 1972",Boston Celtics,113,Los Angeles Lakers,122,Box Score,,17505.0,,The Forum,
"Sun, Jan 2, 1972",Atlanta Hawks,116,Phoenix Suns,111,Box Score,,,,Arizona Veterans Memorial Coliseum,
"Sun, Jan 2, 1972",Buffalo Braves,90,Portland Trail Blazers,108,Box Score,,,,Memorial Coliseum,
"Mon, Jan 3, 1972",Milwaukee Bucks,99,New York Knicks,101,Box Score,,,,Madison Square Garden (IV),
"Tue, Jan 4, 1972",Phoenix Suns,112,Chicago Bulls,108,Box Score,,,,Chicago Stadium,
"Tue, Jan 4, 1972",Philadelphia 76ers,131,Detroit Pistons,127,Box Score,,,,Cobo Arena,
"Tue, Jan 4, 1972",Buffalo Braves,86,Golden State Warriors,112,Box Score,,,,Oakland-Alameda County Coliseum Arena,"at Oakland, CA"
"Tue, Jan 4, 1972",Seattle SuperSonics,110,Houston Rockets,119,Box Score,,,,Hofheinz Pavilion,
"Tue, Jan 4, 1972",New York Knicks,100,Milwaukee Bucks,121,Box Score,,,,Milwaukee Arena,
"Tue, Jan 4, 1972",Atlanta Hawks,103,Portland Trail Blazers,91,Box Score,,,,Memorial Coliseum,
"Wed, Jan 5, 1972",Detroit Pistons,89,Baltimore Bullets,111,Box Score,,,,Baltimore Civic Center,
"Wed, Jan 5, 1972",Milwaukee Bucks,115,Cincinnati Royals,106,Box Score,,,,Cincinnati Gardens,
"Wed, Jan 5, 1972",Los Angeles Lakers,113,Cleveland Cavaliers,103,Box Score,,,,Cleveland Arena,
"Wed, Jan 5, 1972",Boston Celtics,113,Houston Rockets,105,Box Score,,5185.0,,Hofheinz Pavilion,
"Wed, Jan 5, 1972",Chicago Bulls,139,Philadelphia 76ers,107,Box Score,,,,The Spectrum,
"Wed, Jan 5, 1972",Atlanta Hawks,116,Seattle SuperSonics,127,Box Score,,,,Seattle Center Coliseum,
"Thu, Jan 6, 1972",Portland Trail Blazers,115,Golden State Warriors,119,Box Score,,,,Oakland-Alameda County Coliseum Arena,"at Oakland, CA"
"Fri, Jan 7, 1972",Los Angeles Lakers,134,Atlanta Hawks,90,Box Score,,,,Alexander Memorial Coliseum,
"Fri, Jan 7, 1972",Phoenix Suns,123,Buffalo Braves,110,Box Score,,,,Buffalo Memorial Auditorium,
"Fri, Jan 7, 1972",Baltimore Bullets,104,Chicago Bulls,94,Box Score,,,,Chicago Stadium,
"Fri, Jan 7, 1972",Cincinnati Royals,132,Detroit Pistons,151,Box Score,,,,Cobo Arena,
"Fri, Jan 7, 1972",New York Knicks,113,Philadelphia 76ers,117,Box Score,,,,The Spectrum,
"Fri, Jan 7, 1972",Boston Celtics,120,Portland Trail Blazers,114,Box Score,,6667.0,,Memorial Coliseum,
"Fri, Jan 7, 1972",Cleveland Cavaliers,111,Seattle SuperSonics,125,Box Score,,,,Seattle Center Coliseum,
"Sat, Jan 8, 1972",Atlanta Hawks,102,Baltimore Bullets,110,Box Score,,,,Baltimore Civic Center,
"Sat, Jan 8, 1972",Buffalo Braves,97,Cincinnati Royals,87,Box Score,,,,Cincinnati Gardens,
"Sat, Jan 8, 1972",Boston Celtics,106,Golden State Warriors,128,Box Score,,11016.0,,Oakland-Alameda County Coliseum Arena,"at Oakland, CA"
"Sat, Jan 8, 1972",Detroit Pistons,119,Milwaukee Bucks,136,Box Score,,,,Milwaukee Arena,
"Sat, Jan 8, 1972",Chicago Bulls,113,New York Knicks,108,Box Score,,,,Madison Square Garden (IV),
"Sat, Jan 8, 1972",Phoenix Suns,119,Philadelphia 76ers,130,Box Score,,,,The Spectrum,
"Sat, Jan 8, 1972",Cleveland Cavaliers,102,Portland Trail Blazers,125,Box Score,,,,Memorial Coliseum,
"Sun, Jan 9, 1972",Phoenix Suns,103,Baltimore Bullets,109,Box Score,,,,Cole Field House,"at College Park, MD"
"Sun, Jan 9, 1972",Cincinnati Royals,104,Chicago Bulls,108,Box Score,OT,,,Chicago Stadium,
"Sun, Jan 9, 1972",Buffalo Braves,96,Detroit Pistons,101,Box Score,,,,Cobo Arena,
"Sun, Jan 9, 1972",Golden State Warriors,113,Houston Rockets,112,Box Score,,,,Hofheinz Pavilion,
"Sun, Jan 9, 1972",Los Angeles Lakers,104,Milwaukee Bucks,120,Box Score,,,,Milwaukee Arena,
"Sun, Jan 9, 1972",Boston Celtics,119,Seattle SuperSonics,125,Box Score,,11108.0,,Seattle Center Coliseum,
"Tue, Jan 11, 1972",Cincinnati Royals,109,Buffalo Braves,107,Box Score,OT,,,Buffalo Memorial Auditorium,
"Tue, Jan 11, 1972",New York Knicks,91,Chicago Bulls,116,Box Score,,,,Chicago Stadium,
"Tue, Jan 11, 1972",Los Angeles Lakers,123,Detroit Pistons,103,Box Score,,,,Cobo Arena,
