Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,LOG,Arena,Notes
"Tue, Mar 1, 1983",,Indiana Pacers,106,Atlanta Hawks,109,Box Score,,4388.0,,Omni Coliseum,
"Tue, Mar 1, 1983",,Kansas City Kings,111,Boston Celtics,129,Box Score,,15320.0,2:01,Boston Garden,
"Tue, Mar 1, 1983",,Los Angeles Lakers,114,Chicago Bulls,111,Box Score,,15307.0,,Chicago Stadium,
"Tue, Mar 1, 1983",,Cleveland Cavaliers,121,Denver Nuggets,132,Box Score,,10492.0,,McNichols Sports Arena,
"Tue, Mar 1, 1983",,Detroit Pistons,114,Golden State Warriors,103,Box Score,,8671.0,,Oakland-Alameda County Coliseum Arena,
"Tue, Mar 1, 1983",,Dallas Mavericks,123,Houston Rockets,115,Box Score,,7346.0,,The Summit,
"Tue, Mar 1, 1983",,Philadelphia 76ers,106,New York Knicks,94,Box Score,,17865.0,2:02,Madison Square Garden (IV),
"Tue, Mar 1, 1983",,Seattle SuperSonics,104,San Antonio Spurs,119,Box Score,,7988.0,,HemisFair Arena,
"Tue, Mar 1, 1983",,San Diego Clippers,105,Utah Jazz,127,Box Score,,8003.0,,Salt Palace,
"Tue, Mar 1, 1983",,Milwaukee Bucks,101,Washington Bullets,99,Box Score,,6781.0,,Capital Centre,
"Wed, Mar 2, 1983",,Seattle SuperSonics,105,Dallas Mavericks,108,Box Score,,11194.0,,Reunion Arena,
"Wed, Mar 2, 1983",,Denver Nuggets,128,Golden State Warriors,108,Box Score,,6508.0,,Oakland-Alameda County Coliseum Arena,
"Wed, Mar 2, 1983",,Los Angeles Lakers,127,Milwaukee Bucks,117,Box Score,,11052.0,,MECCA Arena,
"Wed, Mar 2, 1983",,San Antonio Spurs,106,Phoenix Suns,110,Box Score,,10666.0,,Arizona Veterans Memorial Coliseum,
"Wed, Mar 2, 1983",,Portland Trail Blazers,104,San Diego Clippers,102,Box Score,,4037.0,,San Diego Sports Arena,
"Wed, Mar 2, 1983",7:43p,Houston Rockets,85,New Jersey Nets,124,Box Score,,10173.0,1:51,Brendan Byrne Arena,
"Thu, Mar 3, 1983",,Washington Bullets,89,Atlanta Hawks,91,Box Score,,4817.0,,Omni Coliseum,
"Thu, Mar 3, 1983",,Kansas City Kings,125,Detroit Pistons,118,Box Score,,7258.0,,Pontiac Silverdome,
"Thu, Mar 3, 1983",,Cleveland Cavaliers,113,Utah Jazz,118,Box Score,,7233.0,,Salt Palace,
"Fri, Mar 4, 1983",,Houston Rockets,87,Atlanta Hawks,115,Box Score,,7269.0,,Omni Coliseum,
"Fri, Mar 4, 1983",,Philadelphia 76ers,110,Boston Celtics,115,Box Score,,15320.0,2:07,Boston Garden,
"Fri, Mar 4, 1983",,New Jersey Nets,119,Chicago Bulls,124,Box Score,,6387.0,,Chicago Stadium,
"Fri, Mar 4, 1983",,Milwaukee Bucks,108,Dallas Mavericks,102,Box Score,,17134.0,,Reunion Arena,
"Fri, Mar 4, 1983",,Indiana Pacers,103,Kansas City Kings,120,Box Score,,6414.0,,Kemper Arena,
"Fri, Mar 4, 1983",,Golden State Warriors,102,Phoenix Suns,109,Box Score,,13027.0,,Arizona Veterans Memorial Coliseum,
"Fri, Mar 4, 1983",,Denver Nuggets,142,Portland Trail Blazers,138,Box Score,,12666.0,,Memorial Coliseum,
"Fri, Mar 4, 1983",,San Antonio Spurs,107,San Diego Clippers,99,Box Score,,4585.0,,San Diego Sports Arena,
"Fri, Mar 4, 1983",,Los Angeles Lakers,93,Washington Bullets,96,Box Score,,17118.0,,Capital Centre,
"Sat, Mar 5, 1983",,Cleveland Cavaliers,98,Dallas Mavericks,91,Box Score,,11358.0,,Reunion Arena,
"Sat, Mar 5, 1983",,Milwaukee Bucks,120,Denver Nuggets,126,Box Score,,12011.0,,McNichols Sports Arena,
"Sat, Mar 5, 1983",,Los Angeles Lakers,122,Detroit Pistons,108,Box Score,,25278.0,,Pontiac Silverdome,
"Sat, Mar 5, 1983",,Utah Jazz,121,Golden State Warriors,127,Box Score,,7906.0,,Oakland-Alameda County Coliseum Arena,
"Sat, Mar 5, 1983",,Seattle SuperSonics,126,Houston Rockets,103,Box Score,,7183.0,,The Summit,
"Sat, Mar 5, 1983",,Boston Celtics,98,New York Knicks,105,Box Score,,18486.0,2:05,Madison Square Garden (IV),
"Sun, Mar 6, 1983",,Indiana Pacers,98,Chicago Bulls,106,Box Score,,5385.0,,Chicago Stadium,
"Sun, Mar 6, 1983",,San Diego Clippers,105,Kansas City Kings,144,Box Score,,5566.0,,Kemper Arena,
"Sun, Mar 6, 1983",,Utah Jazz,110,Portland Trail Blazers,105,Box Score,,12666.0,,Memorial Coliseum,
"Sun, Mar 6, 1983",,Cleveland Cavaliers,98,San Antonio Spurs,117,Box Score,,7252.0,,HemisFair Arena,
"Sun, Mar 6, 1983",,Atlanta Hawks,91,Washington Bullets,102,Box Score,,7025.0,,Capital Centre,
"Sun, Mar 6, 1983",12:06p,Philadelphia 76ers,106,New Jersey Nets,112,Box Score,,20149.0,2:27,Brendan Byrne Arena,
"Mon, Mar 7, 1983",,New Jersey Nets,114,Boston Celtics,121,Box Score,,15165.0,2:21,Hartford Civic Center,"at Hartford, CT"
"Mon, Mar 7, 1983",,Detroit Pistons,114,Philadelphia 76ers,123,Box Score,,17536.0,2:23,The Spectrum,
"Tue, Mar 8, 1983",,Portland Trail Blazers,93,Atlanta Hawks,110,Box Score,,4903.0,,Omni Coliseum,
"Tue, Mar 8, 1983",,Phoenix Suns,99,Dallas Mavericks,120,Box Score,,9529.0,,Reunion Arena,
"Tue, Mar 8, 1983",,San Antonio Spurs,118,Denver Nuggets,129,Box Score,,15033.0,,McNichols Sports Arena,
