Date,Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 5,Unnamed: 6,Attend.,LOG,Arena,Notes
"Wed, Jan 1, 1958",Minneapolis Lakers,109,Syracuse Nationals,120,Box Score,,,,Onondaga War Memorial,
"Thu, Jan 2, 1958",Syracuse Nationals,98,New York Knicks,131,Box Score,,,,Convention Hall,"at Philadelphia, PA"
"Thu, Jan 2, 1958",St. Louis Hawks,93,Philadelphia Warriors,95,Box Score,,,,Convention Hall,
"Fri, Jan 3, 1958",Philadelphia Warriors,94,Cincinnati Royals,106,Box Score,,,,Cincinnati Gardens,
"Sat, Jan 4, 1958",Philadelphia Warriors,78,Detroit Pistons,81,Box Score,,,,Detroit Olympia,
"Sat, Jan 4, 1958",Boston Celtics,106,Syracuse Nationals,115,Box Score,,6835.0,,Onondaga War Memorial,
"Sun, Jan 5, 1958",Minneapolis Lakers,100,Boston Celtics,113,Box Score,,4636.0,,Rhode Island Auditorium,"at Providence, RI"
"Sun, Jan 5, 1958",Cincinnati Royals,101,New York Knicks,100,Box Score,,,,Madison Square Garden (III),
"Sun, Jan 5, 1958",Syracuse Nationals,111,Philadelphia Warriors,96,Box Score,,,,Convention Hall,
"Sun, Jan 5, 1958",Detroit Pistons,93,St. Louis Hawks,95,Box Score,,,,Kiel Auditorium,
"Tue, Jan 7, 1958",Detroit Pistons,99,Cincinnati Royals,114,Box Score,,,,Madison Square Garden (III),"at New York, NY"
"Tue, Jan 7, 1958",St. Louis Hawks,114,New York Knicks,112,Box Score,,,,Madison Square Garden (III),
"Wed, Jan 8, 1958",New York Knicks,123,Cincinnati Royals,105,Box Score,,,,Detroit Olympia,"at Detroit, MI"
"Wed, Jan 8, 1958",Syracuse Nationals,107,Detroit Pistons,109,Box Score,,,,Detroit Olympia,
"Wed, Jan 8, 1958",Boston Celtics,107,Minneapolis Lakers,87,Box Score,,1831.0,,St. Paul Auditorium,"at Saint Paul, MN"
"Thu, Jan 9, 1958",New York Knicks,136,Boston Celtics,123,Box Score,,5414.0,,Onondaga War Memorial,"at Syracuse, NY"
"Thu, Jan 9, 1958",Minneapolis Lakers,122,Syracuse Nationals,127,Box Score,,,,Onondaga War Memorial,
"Fri, Jan 10, 1958",St. Louis Hawks,93,Philadelphia Warriors,124,Box Score,,,,Convention Hall,
"Fri, Jan 10, 1958",Minneapolis Lakers,124,Detroit Pistons,114,Box Score,,,,Convention Hall,"at Philadelphia, PA"
"Fri, Jan 10, 1958",New York Knicks,104,Cincinnati Royals,107,Box Score,,,,Cincinnati Gardens,
"Sat, Jan 11, 1958",Syracuse Nationals,100,Cincinnati Royals,105,Box Score,,,,Cincinnati Gardens,
"Sat, Jan 11, 1958",Minneapolis Lakers,102,Detroit Pistons,129,Box Score,,,,Detroit Olympia,
"Sat, Jan 11, 1958",Boston Celtics,98,St. Louis Hawks,102,Box Score,,10238.0,,Kiel Auditorium,
"Sun, Jan 12, 1958",Boston Celtics,97,Cincinnati Royals,115,Box Score,,7321.0,,Cincinnati Gardens,
"Sun, Jan 12, 1958",Philadelphia Warriors,115,New York Knicks,110,Box Score,OT,,,Madison Square Garden (III),
