Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,LOG,Arena,Notes
"Fri, Oct 29, 1982",,Dallas Mavericks,125,Denver Nuggets,117,Box Score,,12099,,McNichols Sports Arena,
"Fri, Oct 29, 1982",,Atlanta Hawks,86,Detroit Pistons,94,Box Score,,15252,,Pontiac Silverdome,
"Fri, Oct 29, 1982",,Washington Bullets,90,Indiana Pacers,93,Box Score,,3622,,Market Square Arena,
"Fri, Oct 29, 1982",,Portland Trail Blazers,111,Kansas City Kings,113,Box Score,,12492,,Kemper Arena,
"Fri, Oct 29, 1982",,Golden State Warriors,132,Los Angeles Lakers,117,Box Score,,15802,,The Forum,
"Fri, Oct 29, 1982",,Philadelphia 76ers,104,New York Knicks,89,Box Score,,19591,,Madison Square Garden (IV),
"Fri, Oct 29, 1982",,Phoenix Suns,113,San Diego Clippers,99,Box Score,,5063,,San Diego Sports Arena,
"Fri, Oct 29, 1982",,Houston Rockets,95,Seattle SuperSonics,128,Box Score,,21885,,Seattle Kingdome,
"Fri, Oct 29, 1982",,San Antonio Spurs,120,Utah Jazz,114,Box Score,,8436,,Salt Palace,
"Fri, Oct 29, 1982",,Boston Celtics,104,Cleveland Cavaliers,93,Box Score,,8633,2:13,Coliseum at Richfield,
"Fri, Oct 29, 1982",7:40p,Chicago Bulls,102,New Jersey Nets,114,Box Score,,11042,2:06,Brendan Byrne Arena,
"Sat, Oct 30, 1982",,Boston Celtics,112,Atlanta Hawks,97,Box Score,,13419,2:09,Omni Coliseum,
"Sat, Oct 30, 1982",,Portland Trail Blazers,107,San Antonio Spurs,112,Box Score,,12150,,HemisFair Arena,
"Sat, Oct 30, 1982",,New Jersey Nets,99,Philadelphia 76ers,110,Box Score,,18482,1:57,The Spectrum,
"Sat, Oct 30, 1982",,New York Knicks,86,Milwaukee Bucks,108,Box Score,,11052,,MECCA Arena,
"Sat, Oct 30, 1982",,Houston Rockets,110,Golden State Warriors,117,Box Score,,7506,,Oakland-Alameda County Coliseum Arena,
"Sat, Oct 30, 1982",,Utah Jazz,128,Dallas Mavericks,123,Box Score,,9203,,Reunion Arena,
"Sat, Oct 30, 1982",,Washington Bullets,143,Chicago Bulls,125,Box Score,,9218,,Chicago Stadium,
"Sun, Oct 31, 1982",,Milwaukee Bucks,119,Cleveland Cavaliers,95,Box Score,,6622,,Coliseum at Richfield,
"Sun, Oct 31, 1982",,Phoenix Suns,110,Denver Nuggets,114,Box Score,,8893,,McNichols Sports Arena,
"Sun, Oct 31, 1982",,Detroit Pistons,118,Indiana Pacers,115,Box Score,,4268,,Market Square Arena,
"Sun, Oct 31, 1982",,Seattle SuperSonics,127,San Diego Clippers,109,Box Score,,3507,,San Diego Sports Arena,
