Date,Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 5,Unnamed: 6,Attend.,LOG,Arena,Notes
"Thu, Jan 1, 1959",Minneapolis Lakers,106,Syracuse Nationals,105,Box Score,,,,Onondaga War Memorial,
"Fri, Jan 2, 1959",Detroit Pistons,104,Cincinnati Royals,111,Box Score,,,,Convention Hall,"at Philadelphia, PA"
"Fri, Jan 2, 1959",Syracuse Nationals,117,Philadelphia Warriors,107,Box Score,,,,Convention Hall,
"Fri, Jan 2, 1959",New York Knicks,97,Minneapolis Lakers,107,Box Score,,,,Minneapolis Auditorium,
"Sat, Jan 3, 1959",New York Knicks,106,Detroit Pistons,102,Box Score,,,,Detroit Olympia,
"Sat, Jan 3, 1959",Boston Celtics,110,St. Louis Hawks,116,Box Score,,10412.0,,Kiel Auditorium,
"Sun, Jan 4, 1959",Boston Celtics,111,Cincinnati Royals,108,Box Score,,2553.0,,Cincinnati Gardens,
"Sun, Jan 4, 1959",Minneapolis Lakers,111,Philadelphia Warriors,95,Box Score,,,,Convention Hall,
"Sun, Jan 4, 1959",New York Knicks,122,St. Louis Hawks,114,Box Score,,,,Kiel Auditorium,
"Sun, Jan 4, 1959",Detroit Pistons,94,Syracuse Nationals,118,Box Score,,,,Onondaga War Memorial,
"Mon, Jan 5, 1959",Minneapolis Lakers,106,Boston Celtics,118,Box Score,,10000.0,,Boston Garden,
"Tue, Jan 6, 1959",Cincinnati Royals,95,Boston Celtics,109,Box Score,,3177.0,,Convention Hall,"at Philadelphia, PA"
"Tue, Jan 6, 1959",St. Louis Hawks,112,Minneapolis Lakers,95,Box Score,,,,Madison Square Garden (III),"at New York, NY"
"Tue, Jan 6, 1959",Syracuse Nationals,108,New York Knicks,118,Box Score,,,,Madison Square Garden (III),
"Tue, Jan 6, 1959",Detroit Pistons,107,Philadelphia Warriors,105,Box Score,,,,Convention Hall,
"Wed, Jan 7, 1959",New York Knicks,78,Boston Celtics,109,Box Score,,3925.0,,Onondaga War Memorial,"at Syracuse, NY"
"Wed, Jan 7, 1959",St. Louis Hawks,89,Minneapolis Lakers,78,Box Score,,,,Sam Houston Coliseum,"at Houston, TX"
"Wed, Jan 7, 1959",Philadelphia Warriors,99,Syracuse Nationals,111,Box Score,,,,Onondaga War Memorial,
"Thu, Jan 8, 1959",St. Louis Hawks,93,Minneapolis Lakers,95,Box Score,,,,SMU Coliseum,"at Dallas, TX"
"Thu, Jan 8, 1959",Syracuse Nationals,145,Cincinnati Royals,138,Box Score,3OT,,,Cincinnati Gardens,
"Fri, Jan 9, 1959",St. Louis Hawks,112,Cincinnati Royals,101,Box Score,,,,Detroit Olympia,"at Detroit, MI"
"Fri, Jan 9, 1959",Boston Celtics,103,Detroit Pistons,90,Box Score,,,,Detroit Olympia,
"Sat, Jan 10, 1959",Detroit Pistons,101,Cincinnati Royals,69,Box Score,,,,Cincinnati Gardens,
"Sat, Jan 10, 1959",New York Knicks,97,Philadelphia Warriors,103,Box Score,,,,Convention Hall,
"Sun, Jan 11, 1959",Minneapolis Lakers,106,Boston Celtics,109,Box Score,OT,13652.0,,Cow Palace,"at San Francisco, CA"
"Sun, Jan 11, 1959",Philadelphia Warriors,105,New York Knicks,111,Box Score,,,,Madison Square Garden (III),
"Sun, Jan 11, 1959",Detroit Pistons,100,St. Louis Hawks,111,Box Score,,,,Kiel Auditorium,
"Sun, Jan 11, 1959",Cincinnati Royals,110,Syracuse Nationals,127,Box Score,,,,Onondaga War Memorial,
"Mon, Jan 12, 1959",Minneapolis Lakers,108,Boston Celtics,117,Box Score,,11500.0,,Hec Edmunson Pavilion,"at Seattle, WA"
