Date,Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 5,Unnamed: 6,Attend.,LOG,Arena,Notes
"Mon, Nov 1, 1976",New York Knicks,101,Kansas City Kings,105,Box Score,,,,Kemper Arena,
"Mon, Nov 1, 1976",Cleveland Cavaliers,82,New York Nets,75,Box Score,,,,Nassau Veterans Memorial Coliseum,
"Tue, Nov 2, 1976",Detroit Pistons,98,Golden State Warriors,111,Box Score,,,,Oakland-Alameda County Coliseum Arena,
"Tue, Nov 2, 1976",Seattle SuperSonics,113,Milwaukee Bucks,125,Box Score,,,,MECCA Arena,
"Tue, Nov 2, 1976",Boston Celtics,97,New Orleans Jazz,115,Box Score,,17104.0,,Louisiana Superdome,
"Tue, Nov 2, 1976",Atlanta Hawks,116,Portland Trail Blazers,129,Box Score,,,,Memorial Coliseum,
"Wed, Nov 3, 1976",New York Knicks,110,Denver Nuggets,119,Box Score,,,,McNichols Sports Arena,
"Wed, Nov 3, 1976",Boston Celtics,111,Houston Rockets,117,Box Score,OT,9163.0,,The Summit,
"Wed, Nov 3, 1976",San Antonio Spurs,97,Indiana Pacers,113,Box Score,,,,Market Square Arena,
"Wed, Nov 3, 1976",Seattle SuperSonics,106,Kansas City Kings,126,Box Score,,,,Kemper Arena,
"Wed, Nov 3, 1976",Buffalo Braves,96,New York Nets,100,Box Score,,,,Nassau Veterans Memorial Coliseum,
"Wed, Nov 3, 1976",Milwaukee Bucks,105,Washington Bullets,117,Box Score,,,,Capital Centre,
"Thu, Nov 4, 1976",Chicago Bulls,87,Atlanta Hawks,97,Box Score,,,,Omni Coliseum,
"Thu, Nov 4, 1976",Milwaukee Bucks,88,Cleveland Cavaliers,96,Box Score,,,,Coliseum at Richfield,
"Thu, Nov 4, 1976",Philadelphia 76ers,101,Golden State Warriors,96,Box Score,,,,Oakland-Alameda County Coliseum Arena,
"Fri, Nov 5, 1976",Washington Bullets,107,Boston Celtics,104,Box Score,,15040.0,,Boston Garden,
"Fri, Nov 5, 1976",Denver Nuggets,99,Chicago Bulls,85,Box Score,,,,Chicago Stadium,
"Fri, Nov 5, 1976",Buffalo Braves,122,Detroit Pistons,108,Box Score,,,,Cobo Arena,
"Fri, Nov 5, 1976",Indiana Pacers,103,Kansas City Kings,112,Box Score,,,,Kemper Arena,
"Fri, Nov 5, 1976",New York Knicks,126,Los Angeles Lakers,121,Box Score,,,,The Forum,
"Fri, Nov 5, 1976",San Antonio Spurs,119,New Orleans Jazz,127,Box Score,,,,Louisiana Superdome,
"Fri, Nov 5, 1976",Houston Rockets,91,New York Nets,95,Box Score,,,,Nassau Veterans Memorial Coliseum,
"Fri, Nov 5, 1976",Philadelphia 76ers,104,Portland Trail Blazers,146,Box Score,,,,Memorial Coliseum,
"Fri, Nov 5, 1976",Phoenix Suns,84,Seattle SuperSonics,88,Box Score,,,,Seattle Center Coliseum,
"Sat, Nov 6, 1976",Detroit Pistons,110,Atlanta Hawks,105,Box Score,,,,Omni Coliseum,
"Sat, Nov 6, 1976",Houston Rockets,102,Buffalo Braves,117,Box Score,,,,Buffalo Memorial Auditorium,
"Sat, Nov 6, 1976",New York Nets,93,Cleveland Cavaliers,101,Box Score,,,,Coliseum at Richfield,
"Sat, Nov 6, 1976",New York Knicks,112,Golden State Warriors,111,Box Score,,,,Oakland-Alameda County Coliseum Arena,
"Sat, Nov 6, 1976",Denver Nuggets,105,Milwaukee Bucks,103,Box Score,,,,MECCA Arena,
"Sat, Nov 6, 1976",Indiana Pacers,94,San Antonio Spurs,113,Box Score,,,,HemisFair Arena,
"Sat, Nov 6, 1976",Boston Celtics,103,Washington Bullets,109,Box Score,,17502.0,,Capital Centre,
"Sun, Nov 7, 1976",Cleveland Cavaliers,97,Atlanta Hawks,107,Box Score,,,,Omni Coliseum,
"Sun, Nov 7, 1976",Kansas City Kings,96,Los Angeles Lakers,107,Box Score,,,,The Forum,
"Sun, Nov 7, 1976",Detroit Pistons,115,New Orleans Jazz,107,Box Score,,,,Louisiana Superdome,
"Sun, Nov 7, 1976",New York Knicks,93,Portland Trail Blazers,119,Box Score,,,,Memorial Coliseum,
"Sun, Nov 7, 1976",Philadelphia 76ers,91,Seattle SuperSonics,98,Box Score,,,,Seattle Center Coliseum,
"Tue, Nov 9, 1976",Los Angeles Lakers,116,Buffalo Braves,121,Box Score,OT,,,Buffalo Memorial Auditorium,
"Tue, Nov 9, 1976",Houston Rockets,111,Chicago Bulls,92,Box Score,,,,Chicago Stadium,
"Tue, Nov 9, 1976",Golden State Warriors,117,Denver Nuggets,123,Box Score,,,,McNichols Sports Arena,
"Tue, Nov 9, 1976",Cleveland Cavaliers,111,Milwaukee Bucks,90,Box Score,,,,MECCA Arena,
"Tue, Nov 9, 1976",New York Nets,99,New Orleans Jazz,110,Box Score,,,,Louisiana Superdome,
"Tue, Nov 9, 1976",Washington Bullets,97,New York Knicks,106,Box Score,,,,Madison Square Garden (IV),
"Tue, Nov 9, 1976",Kansas City Kings,102,Portland Trail Blazers,119,Box Score,,,,Memorial Coliseum,
"Tue, Nov 9, 1976",Seattle SuperSonics,114,San Antonio Spurs,138,Box Score,,,,HemisFair Arena,
"Wed, Nov 10, 1976",Los Angeles Lakers,112,Boston Celtics,117,Box Score,,12178.0,,Boston Garden,
"Wed, Nov 10, 1976",Cleveland Cavaliers,112,Detroit Pistons,123,Box Score,,,,Cobo Arena,
"Wed, Nov 10, 1976",Seattle SuperSonics,97,Houston Rockets,99,Box Score,,,,The Summit,
"Wed, Nov 10, 1976",Chicago Bulls,88,Philadelphia 76ers,103,Box Score,,,,The Spectrum,
"Wed, Nov 10, 1976",New Orleans Jazz,103,Washington Bullets,116,Box Score,,,,Capital Centre,
"Thu, Nov 11, 1976",Portland Trail Blazers,105,Atlanta Hawks,107,Box Score,,,,Omni Coliseum,
"Thu, Nov 11, 1976",Denver Nuggets,94,Buffalo Braves,105,Box Score,,,,Buffalo Memorial Auditorium,
"Thu, Nov 11, 1976",Kansas City Kings,94,Golden State Warriors,86,Box Score,,,,Oakland-Alameda County Coliseum Arena,
"Thu, Nov 11, 1976",Indiana Pacers,98,Phoenix Suns,108,Box Score,,,,Arizona Veterans Memorial Coliseum,
"Thu, Nov 11, 1976",New York Nets,104,San Antonio Spurs,108,Box Score,,,,HemisFair Arena,
"Fri, Nov 12, 1976",New Orleans Jazz,110,Boston Celtics,117,Box Score,,11889.0,,Boston Garden,
"Fri, Nov 12, 1976",New York Knicks,97,Detroit Pistons,111,Box Score,,,,Cobo Arena,
"Fri, Nov 12, 1976",Indiana Pacers,106,Los Angeles Lakers,117,Box Score,,,,The Forum,
"Fri, Nov 12, 1976",Houston Rockets,99,Milwaukee Bucks,111,Box Score,,,,MECCA Arena,
"Fri, Nov 12, 1976",Washington Bullets,104,Philadelphia 76ers,143,Box Score,,,,The Spectrum,
"Fri, Nov 12, 1976",Kansas City Kings,97,Seattle SuperSonics,102,Box Score,,,,Seattle Center Coliseum,
"Sat, Nov 13, 1976",New Orleans Jazz,115,Atlanta Hawks,86,Box Score,,,,Omni Coliseum,
"Sat, Nov 13, 1976",Boston Celtics,107,Buffalo Braves,118,Box Score,,16199.0,,Buffalo Memorial Auditorium,
"Sat, Nov 13, 1976",Detroit Pistons,106,Chicago Bulls,103,Box Score,,,,Chicago Stadium,
"Sat, Nov 13, 1976",Kansas City Kings,96,Denver Nuggets,128,Box Score,,,,McNichols Sports Arena,
"Sat, Nov 13, 1976",Indiana Pacers,112,Golden State Warriors,120,Box Score,,,,Oakland-Alameda County Coliseum Arena,
"Sat, Nov 13, 1976",New York Nets,114,Houston Rockets,110,Box Score,,,,The Summit,
"Sat, Nov 13, 1976",Milwaukee Bucks,97,New York Knicks,110,Box Score,,,,Madison Square Garden (IV),
"Sat, Nov 13, 1976",Cleveland Cavaliers,103,Phoenix Suns,90,Box Score,,,,Arizona Veterans Memorial Coliseum,
"Sat, Nov 13, 1976",Portland Trail Blazers,101,San Antonio Spurs,113,Box Score,,,,HemisFair Arena,
"Sat, Nov 13, 1976",Philadelphia 76ers,114,Washington Bullets,109,Box Score,,,,Capital Centre,
"Sun, Nov 14, 1976",Cleveland Cavaliers,97,Los Angeles Lakers,95,Box Score,,,,The Forum,
"Sun, Nov 14, 1976",Detroit Pistons,104,Milwaukee Bucks,83,Box Score,,,,MECCA Arena,
"Sun, Nov 14, 1976",Indiana Pacers,118,Seattle SuperSonics,121,Box Score,,,,Seattle Center Coliseum,
"Tue, Nov 16, 1976",Seattle SuperSonics,102,Golden State Warriors,110,Box Score,,,,Oakland-Alameda County Coliseum Arena,
"Tue, Nov 16, 1976",Milwaukee Bucks,91,Kansas City Kings,100,Box Score,,,,Omaha Civic Auditorium,"at Omaha, NE"
"Tue, Nov 16, 1976",Portland Trail Blazers,98,New Orleans Jazz,100,Box Score,,,,Louisiana Superdome,
