Date,Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 5,Unnamed: 6,Attend.,LOG,Arena,Notes
"Wed, Mar 1, 1978",Cleveland Cavaliers,110,Denver Nuggets,104,Box Score,,,,McNichols Sports Arena,
"Wed, Mar 1, 1978",Philadelphia 76ers,125,Golden State Warriors,119,Box Score,,,,Oakland-Alameda County Coliseum Arena,
"Wed, Mar 1, 1978",Buffalo Braves,114,Houston Rockets,104,Box Score,,,,The Summit,
"Wed, Mar 1, 1978",Atlanta Hawks,95,New Jersey Nets,97,Box Score,,,,Rutgers Athletic Center,
"Wed, Mar 1, 1978",Boston Celtics,100,New Orleans Jazz,101,Box Score,,10073.0,,Louisiana Superdome,
"Wed, Mar 1, 1978",Detroit Pistons,115,Phoenix Suns,102,Box Score,,,,Arizona Veterans Memorial Coliseum,
"Wed, Mar 1, 1978",San Antonio Spurs,110,Washington Bullets,125,Box Score,,,,Capital Centre,
"Thu, Mar 2, 1978",Portland Trail Blazers,117,New York Knicks,128,Box Score,,,,Madison Square Garden (IV),
"Thu, Mar 2, 1978",Buffalo Braves,107,San Antonio Spurs,128,Box Score,,,,HemisFair Arena,
"Fri, Mar 3, 1978",Houston Rockets,110,Atlanta Hawks,133,Box Score,,,,Omni Coliseum,
"Fri, Mar 3, 1978",New Orleans Jazz,113,Boston Celtics,116,Box Score,,12333.0,,Boston Garden,
"Fri, Mar 3, 1978",Washington Bullets,124,Detroit Pistons,108,Box Score,,,,Cobo Arena,
"Fri, Mar 3, 1978",Seattle SuperSonics,111,Indiana Pacers,115,Box Score,,,,Market Square Arena,
"Fri, Mar 3, 1978",Philadelphia 76ers,95,Los Angeles Lakers,96,Box Score,,,,The Forum,
"Fri, Mar 3, 1978",Milwaukee Bucks,126,Phoenix Suns,132,Box Score,,,,Arizona Veterans Memorial Coliseum,
"Sat, Mar 4, 1978",New Jersey Nets,107,Buffalo Braves,111,Box Score,,,,Buffalo Memorial Auditorium,
"Sat, Mar 4, 1978",Kansas City Kings,114,Denver Nuggets,123,Box Score,,,,McNichols Sports Arena,
"Sat, Mar 4, 1978",Seattle SuperSonics,104,New Orleans Jazz,113,Box Score,,,,Louisiana Superdome,
"Sat, Mar 4, 1978",Boston Celtics,91,New York Knicks,99,Box Score,,18823.0,,Madison Square Garden (IV),
"Sat, Mar 4, 1978",Cleveland Cavaliers,100,Portland Trail Blazers,105,Box Score,,,,Memorial Coliseum,
"Sun, Mar 5, 1978",Seattle SuperSonics,94,Atlanta Hawks,101,Box Score,,,,Omni Coliseum,
"Sun, Mar 5, 1978",New York Knicks,94,Boston Celtics,112,Box Score,,14307.0,,Boston Garden,
"Sun, Mar 5, 1978",Indiana Pacers,110,Detroit Pistons,122,Box Score,,,,Cobo Arena,
"Sun, Mar 5, 1978",Chicago Bulls,96,Golden State Warriors,95,Box Score,,,,Oakland-Alameda County Coliseum Arena,
"Sun, Mar 5, 1978",Cleveland Cavaliers,117,Los Angeles Lakers,128,Box Score,,,,The Forum,
"Sun, Mar 5, 1978",Buffalo Braves,103,New Jersey Nets,109,Box Score,,,,Rutgers Athletic Center,
"Sun, Mar 5, 1978",Philadelphia 76ers,104,Phoenix Suns,92,Box Score,,,,Arizona Veterans Memorial Coliseum,
"Sun, Mar 5, 1978",Milwaukee Bucks,88,Portland Trail Blazers,126,Box Score,,,,Memorial Coliseum,
"Sun, Mar 5, 1978",New Orleans Jazz,97,San Antonio Spurs,98,Box Score,,,,HemisFair Arena,
"Sun, Mar 5, 1978",Houston Rockets,88,Washington Bullets,106,Box Score,,,,Capital Centre,
"Mon, Mar 6, 1978",Indiana Pacers,88,Kansas City Kings,98,Box Score,,,,Kemper Arena,
"Tue, Mar 7, 1978",Detroit Pistons,109,Atlanta Hawks,123,Box Score,,,,Omni Coliseum,
"Tue, Mar 7, 1978",Phoenix Suns,126,Denver Nuggets,112,Box Score,,,,McNichols Sports Arena,
"Tue, Mar 7, 1978",Portland Trail Blazers,82,New Orleans Jazz,84,Box Score,,,,Louisiana Superdome,
"Tue, Mar 7, 1978",Houston Rockets,101,New York Knicks,112,Box Score,,,,Madison Square Garden (IV),
"Tue, Mar 7, 1978",New Jersey Nets,98,San Antonio Spurs,129,Box Score,,,,HemisFair Arena,
"Wed, Mar 8, 1978",New Orleans Jazz,108,Buffalo Braves,120,Box Score,,,,Buffalo Memorial Auditorium,
"Wed, Mar 8, 1978",Cleveland Cavaliers,108,Golden State Warriors,118,Box Score,,,,Oakland-Alameda County Coliseum Arena,
"Wed, Mar 8, 1978",Portland Trail Blazers,97,Houston Rockets,94,Box Score,,,,The Summit,
"Wed, Mar 8, 1978",New Jersey Nets,123,Kansas City Kings,121,Box Score,,,,Kemper Arena,
"Wed, Mar 8, 1978",New York Knicks,125,Milwaukee Bucks,127,Box Score,2OT,,,MECCA Arena,
"Wed, Mar 8, 1978",Atlanta Hawks,97,Philadelphia 76ers,108,Box Score,,,,The Spectrum,
"Wed, Mar 8, 1978",Seattle SuperSonics,95,San Antonio Spurs,94,Box Score,,,,HemisFair Arena,
"Thu, Mar 9, 1978",Detroit Pistons,105,Indiana Pacers,112,Box Score,,,,Market Square Arena,
"Thu, Mar 9, 1978",Chicago Bulls,103,Phoenix Suns,112,Box Score,,,,Arizona Veterans Memorial Coliseum,
"Fri, Mar 10, 1978",Portland Trail Blazers,105,Atlanta Hawks,114,Box Score,,,,Omni Coliseum,
"Fri, Mar 10, 1978",Cleveland Cavaliers,117,Buffalo Braves,118,Box Score,,,,Buffalo Memorial Auditorium,
"Fri, Mar 10, 1978",Washington Bullets,117,Houston Rockets,114,Box Score,,,,The Summit,
"Fri, Mar 10, 1978",New York Knicks,115,Indiana Pacers,122,Box Score,,,,Market Square Arena,
"Fri, Mar 10, 1978",Denver Nuggets,120,Kansas City Kings,126,Box Score,,,,Kemper Arena,
"Fri, Mar 10, 1978",Chicago Bulls,109,Los Angeles Lakers,115,Box Score,,,,The Forum,
"Fri, Mar 10, 1978",Golden State Warriors,124,Milwaukee Bucks,102,Box Score,,,,MECCA Arena,
"Fri, Mar 10, 1978",New Orleans Jazz,105,New Jersey Nets,99,Box Score,,,,Rutgers Athletic Center,
"Fri, Mar 10, 1978",Boston Celtics,109,Philadelphia 76ers,120,Box Score,,18276.0,,The Spectrum,
"Sat, Mar 11, 1978",Seattle SuperSonics,93,Houston Rockets,91,Box Score,,,,The Summit,
"Sat, Mar 11, 1978",New Jersey Nets,117,New York Knicks,126,Box Score,,,,Madison Square Garden (IV),
"Sat, Mar 11, 1978",Los Angeles Lakers,114,Phoenix Suns,120,Box Score,,,,Arizona Veterans Memorial Coliseum,
"Sat, Mar 11, 1978",Washington Bullets,101,San Antonio Spurs,116,Box Score,,,,HemisFair Arena,
"Sun, Mar 12, 1978",Milwaukee Bucks,93,Atlanta Hawks,98,Box Score,,,,Omni Coliseum,
"Sun, Mar 12, 1978",Philadelphia 76ers,105,Boston Celtics,103,Box Score,,15276.0,,Boston Garden,
"Sun, Mar 12, 1978",Portland Trail Blazers,90,Buffalo Braves,96,Box Score,,,,Buffalo Memorial Auditorium,
"Sun, Mar 12, 1978",Chicago Bulls,95,Denver Nuggets,98,Box Score,,,,McNichols Sports Arena,
"Sun, Mar 12, 1978",Cleveland Cavaliers,95,Indiana Pacers,90,Box Score,,,,Market Square Arena,
"Sun, Mar 12, 1978",Golden State Warriors,113,Kansas City Kings,106,Box Score,,,,Kemper Arena,
"Sun, Mar 12, 1978",Phoenix Suns,112,Los Angeles Lakers,128,Box Score,,,,The Forum,
"Sun, Mar 12, 1978",Detroit Pistons,130,New Jersey Nets,125,Box Score,,,,Rutgers Athletic Center,
"Tue, Mar 14, 1978",Detroit Pistons,98,Boston Celtics,105,Box Score,,4416.0,,Boston Garden,
"Tue, Mar 14, 1978",San Antonio Spurs,115,Buffalo Braves,123,Box Score,OT,,,Buffalo Memorial Auditorium,
"Tue, Mar 14, 1978",Golden State Warriors,103,Chicago Bulls,96,Box Score,,,,Chicago Stadium,
