Date,Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 5,Unnamed: 6,Attend.,LOG,Arena,Notes
"Wed, Feb 1, 1956",New York Knicks,105,Philadelphia Warriors,104,Box Score,2OT,,,Philadelphia Arena,
"Wed, Feb 1, 1956",Boston Celtics,106,Minneapolis Lakers,107,Box Score,,3006.0,,Minneapolis Auditorium,
"Wed, Feb 1, 1956",Syracuse Nationals,77,Rochester Royals,83,Box Score,,,,Rochester Community War Memorial,
"Thu, Feb 2, 1956",Minneapolis Lakers,101,Boston Celtics,102,Box Score,,6738.0,,Kiel Auditorium,"at St. Louis, MO"
"Thu, Feb 2, 1956",Rochester Royals,89,Syracuse Nationals,97,Box Score,,,,Onondaga War Memorial,
"Thu, Feb 2, 1956",Fort Wayne Pistons,90,St. Louis Hawks,98,Box Score,,,,Kiel Auditorium,"at St. Louis, MO"
"Thu, Feb 2, 1956",Philadelphia Warriors,88,New York Knicks,87,Box Score,,,,Onondaga War Memorial,"at Syracuse, NY"
"Fri, Feb 3, 1956",Rochester Royals,105,Philadelphia Warriors,96,Box Score,,,,Lincoln High School,
"Sat, Feb 4, 1956",St. Louis Hawks,98,Fort Wayne Pistons,94,Box Score,,,,Elkhart Auditorium,"at Elkhart, IN"
"Sat, Feb 4, 1956",Syracuse Nationals,103,New York Knicks,94,Box Score,,,,69th Regiment Armory,
"Sat, Feb 4, 1956",Boston Celtics,69,Rochester Royals,83,Box Score,,6089.0,,Rochester Community War Memorial,
"Sun, Feb 5, 1956",New York Knicks,104,Boston Celtics,114,Box Score,,10084.0,,Boston Garden,
"Sun, Feb 5, 1956",Rochester Royals,121,Minneapolis Lakers,109,Box Score,,,,Minneapolis Auditorium,
"Sun, Feb 5, 1956",Philadelphia Warriors,93,St. Louis Hawks,105,Box Score,,,,Kiel Auditorium,
"Sun, Feb 5, 1956",Fort Wayne Pistons,85,Syracuse Nationals,90,Box Score,,,,Onondaga War Memorial,
"Mon, Feb 6, 1956",Syracuse Nationals,98,Fort Wayne Pistons,99,Box Score,,,,War Memorial Coliseum,
"Tue, Feb 7, 1956",Boston Celtics,102,New York Knicks,113,Box Score,,14280.0,,Madison Square Garden (III),
"Tue, Feb 7, 1956",Syracuse Nationals,95,Philadelphia Warriors,128,Box Score,,,,Madison Square Garden (III),"at New York, NY"
"Wed, Feb 8, 1956",New York Knicks,102,Rochester Royals,97,Box Score,,,,Rochester Community War Memorial,
"Wed, Feb 8, 1956",Fort Wayne Pistons,82,Minneapolis Lakers,106,Box Score,,,,Minneapolis Auditorium,
"Wed, Feb 8, 1956",St. Louis Hawks,111,Boston Celtics,110,Box Score,,3950.0,,Rochester Community War Memorial,"at Rochester, NY"
"Thu, Feb 9, 1956",St. Louis Hawks,97,Philadelphia Warriors,108,Box Score,,,,Philadelphia Arena,
"Thu, Feb 9, 1956",Boston Celtics,98,Syracuse Nationals,97,Box Score,,2646.0,,Onondaga War Memorial,
"Fri, Feb 10, 1956",St. Louis Hawks,100,Boston Celtics,124,Box Score,,8820.0,,Boston Garden,
"Fri, Feb 10, 1956",Syracuse Nationals,94,New York Knicks,88,Box Score,,,,Boston Garden,"at Boston, MA"
"Sat, Feb 11, 1956",Philadelphia Warriors,117,Minneapolis Lakers,102,Box Score,,,,Minneapolis Auditorium,
"Sat, Feb 11, 1956",St. Louis Hawks,91,New York Knicks,107,Box Score,,,,69th Regiment Armory,
"Sat, Feb 11, 1956",Fort Wayne Pistons,93,Rochester Royals,97,Box Score,,,,Edgerton Park Arena,
"Sun, Feb 12, 1956",New York Knicks,108,Boston Celtics,116,Box Score,,7086.0,,Boston Garden,
"Sun, Feb 12, 1956",Minneapolis Lakers,78,Fort Wayne Pistons,82,Box Score,,,,War Memorial Coliseum,
"Sun, Feb 12, 1956",Philadelphia Warriors,87,St. Louis Hawks,79,Box Score,,,,Kiel Auditorium,
"Sun, Feb 12, 1956",Rochester Royals,74,Syracuse Nationals,101,Box Score,,,,Onondaga War Memorial,
"Mon, Feb 13, 1956",Philadelphia Warriors,105,Fort Wayne Pistons,94,Box Score,,,,Miami Beach Auditorium,"at Miami Beach, FL"
"Tue, Feb 14, 1956",Rochester Royals,79,Minneapolis Lakers,110,Box Score,,,,Kiel Auditorium,"at St. Louis, MO"
"Tue, Feb 14, 1956",New York Knicks,103,St. Louis Hawks,99,Box Score,,,,Kiel Auditorium,
"Wed, Feb 15, 1956",Philadelphia Warriors,101,Fort Wayne Pistons,78,Box Score,,,,Miami Beach Auditorium,"at Miami Beach, FL"
"Wed, Feb 15, 1956",New York Knicks,102,Minneapolis Lakers,113,Box Score,,,,St. Paul Auditorium,"at Saint Paul, MN"
"Thu, Feb 16, 1956",Rochester Royals,81,Fort Wayne Pistons,93,Box Score,,,,War Memorial Coliseum,
"Fri, Feb 17, 1956",Syracuse Nationals,91,New York Knicks,86,Box Score,,,,Convention Hall,"at Philadelphia, PA"
"Fri, Feb 17, 1956",Minneapolis Lakers,111,Philadelphia Warriors,134,Box Score,,,,Convention Hall,
"Sat, Feb 18, 1956",Philadelphia Warriors,115,Boston Celtics,101,Box Score,,4500.0,,New Haven Arena,"at New Haven, CT"
"Sat, Feb 18, 1956",Minneapolis Lakers,119,Rochester Royals,99,Box Score,,,,Edgerton Park Arena,
"Sat, Feb 18, 1956",Fort Wayne Pistons,84,Syracuse Nationals,85,Box Score,,,,Onondaga War Memorial,
"Sun, Feb 19, 1956",Philadelphia Warriors,118,Boston Celtics,120,Box Score,,4339.0,,Boston Arena,
"Sun, Feb 19, 1956",Rochester Royals,93,Minneapolis Lakers,100,Box Score,,,,Minneapolis Auditorium,
"Sun, Feb 19, 1956",Fort Wayne Pistons,89,St. Louis Hawks,83,Box Score,,,,Kiel Auditorium,
"Sun, Feb 19, 1956",New York Knicks,98,Syracuse Nationals,118,Box Score,,,,Onondaga War Memorial,
"Mon, Feb 20, 1956",St. Louis Hawks,84,Fort Wayne Pistons,82,Box Score,,,,Municipal Auditorium,"at Kansas City, MO"
"Tue, Feb 21, 1956",Rochester Royals,106,Fort Wayne Pistons,102,Box Score,,,,Madison Square Garden (III),"at New York, NY"
"Tue, Feb 21, 1956",Syracuse Nationals,108,New York Knicks,107,Box Score,2OT,,,Madison Square Garden (III),
"Tue, Feb 21, 1956",Boston Celtics,97,St. Louis Hawks,101,Box Score,,5628.0,,Kiel Auditorium,
"Wed, Feb 22, 1956",St. Louis Hawks,109,Rochester Royals,110,Box Score,,,,Philadelphia Arena,"at Philadelphia, PA"
"Wed, Feb 22, 1956",Boston Celtics,93,Minneapolis Lakers,90,Box Score,,4017.0,,Minneapolis Auditorium,
"Wed, Feb 22, 1956",New York Knicks,117,Philadelphia Warriors,108,Box Score,,,,Philadelphia Arena,
"Thu, Feb 23, 1956",Fort Wayne Pistons,92,Syracuse Nationals,94,Box Score,,,,Onondaga War Memorial,
"Fri, Feb 24, 1956",Boston Celtics,129,Philadelphia Warriors,135,Box Score,,9878.0,,Convention Hall,
"Fri, Feb 24, 1956",Syracuse Nationals,103,St. Louis Hawks,116,Box Score,,,,Convention Hall,"at Philadelphia, PA"
"Sat, Feb 25, 1956",St. Louis Hawks,99,New York Knicks,89,Box Score,,,,69th Regiment Armory,
"Sat, Feb 25, 1956",Fort Wayne Pistons,97,Rochester Royals,72,Box Score,,,,Edgerton Park Arena,
"Sun, Feb 26, 1956",New York Knicks,85,St. Louis Hawks,103,Box Score,,,,Kiel Auditorium,
"Sun, Feb 26, 1956",Philadelphia Warriors,87,Syracuse Nationals,85,Box Score,,,,Onondaga War Memorial,
"Sun, Feb 26, 1956",Fort Wayne Pistons,95,Minneapolis Lakers,90,Box Score,,,,Minneapolis Auditorium,
"Sun, Feb 26, 1956",Rochester Royals,100,Boston Celtics,111,Box Score,,4435.0,,Boston Arena,
"Mon, Feb 27, 1956",Syracuse Nationals,98,Fort Wayne Pistons,95,Box Score,OT,,,War Memorial Coliseum,
"Mon, Feb 27, 1956",St. Louis Hawks,109,New York Knicks,113,Box Score,,,,War Memorial Coliseum,"at Fort Wayne, IN"
"Tue, Feb 28, 1956",Rochester Royals,113,Boston Celtics,97,Box Score,,9453.0,,Madison Square Garden (III),"at New York, NY"
"Tue, Feb 28, 1956",Fort Wayne Pistons,99,New York Knicks,95,Box Score,,,,Madison Square Garden (III),
"Wed, Feb 29, 1956",Fort Wayne Pistons,99,Boston Celtics,106,Box Score,,6260.0,,Boston Garden,
"Wed, Feb 29, 1956",Syracuse Nationals,94,Minneapolis Lakers,98,Box Score,,,,St. Paul Auditorium,"at Saint Paul, MN"
"Wed, Feb 29, 1956",Rochester Royals,81,Philadelphia Warriors,86,Box Score,,,,Lincoln High School,
