Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,LOG,Arena,Notes
"Thu, Apr 1, 1976",,Boston Celtics,95,Cleveland Cavaliers,88,Box Score,,19342,,Coliseum at Richfield,
"Fri, Apr 2, 1976",,Houston Rockets,115,Boston Celtics,119,Box Score,,10247,,Boston Garden,
"Fri, Apr 2, 1976",,Portland Trail Blazers,103,Phoenix Suns,106,Box Score,,,,Arizona Veterans Memorial Coliseum,
"Fri, Apr 2, 1976",,Washington Bullets,94,Philadelphia 76ers,96,Box Score,,,,The Spectrum,
"Fri, Apr 2, 1976",,Kansas City Kings,107,Milwaukee Bucks,120,Box Score,,,,MECCA Arena,
"Fri, Apr 2, 1976",,Seattle SuperSonics,105,Los Angeles Lakers,113,Box Score,,,,The Forum,
"Fri, Apr 2, 1976",,New Orleans Jazz,102,Detroit Pistons,116,Box Score,,,,Cobo Arena,
"Fri, Apr 2, 1976",,New York Knicks,110,Chicago Bulls,95,Box Score,,,,Chicago Stadium,
"Fri, Apr 2, 1976",,Atlanta Hawks,93,Buffalo Braves,101,Box Score,,,,Buffalo Memorial Auditorium,
"Sat, Apr 3, 1976",,Milwaukee Bucks,115,Atlanta Hawks,106,Box Score,,,,Omni Coliseum,
"Sat, Apr 3, 1976",,Detroit Pistons,93,Chicago Bulls,97,Box Score,OT,,,Chicago Stadium,
"Sat, Apr 3, 1976",,Seattle SuperSonics,115,Golden State Warriors,130,Box Score,,,,Oakland-Alameda County Coliseum Arena,
"Sat, Apr 3, 1976",,Cleveland Cavaliers,101,Kansas City Kings,104,Box Score,,,,Omaha Civic Auditorium,"at Omaha, NE"
"Sat, Apr 3, 1976",,Phoenix Suns,97,Portland Trail Blazers,112,Box Score,,,,Memorial Coliseum,
"Sun, Apr 4, 1976",,New Orleans Jazz,129,Washington Bullets,125,Box Score,OT,,,Capital Centre,
"Sun, Apr 4, 1976",,Phoenix Suns,89,Seattle SuperSonics,117,Box Score,,,,Seattle Center Coliseum,
"Sun, Apr 4, 1976",,Kansas City Kings,95,New York Knicks,115,Box Score,,,,Madison Square Garden (IV),
