Date,Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 5,Unnamed: 6,Attend.,LOG,Arena,Notes
"Thu, Feb 1, 1968",San Francisco Warriors,128,San Diego Rockets,114,Box Score,,,,San Diego Sports Arena,
"Thu, Feb 1, 1968",New York Knicks,112,Chicago Bulls,103,Box Score,,,,Roberts Stadium,"at Evansville, IN"
"Thu, Feb 1, 1968",St. Louis Hawks,113,Seattle SuperSonics,110,Box Score,,,,Seattle Center Coliseum,
"Fri, Feb 2, 1968",Baltimore Bullets,99,Boston Celtics,120,Box Score,,6016.0,,Boston Garden,
"Fri, Feb 2, 1968",Cincinnati Royals,125,Chicago Bulls,113,Box Score,,,,Chicago Stadium,
"Fri, Feb 2, 1968",Seattle SuperSonics,113,Los Angeles Lakers,151,Box Score,,,,The Forum,
"Fri, Feb 2, 1968",Detroit Pistons,121,Philadelphia 76ers,131,Box Score,,,,The Spectrum,
"Fri, Feb 2, 1968",San Diego Rockets,121,San Francisco Warriors,127,Box Score,,,,Oakland-Alameda County Coliseum Arena,"at Oakland, CA"
"Sat, Feb 3, 1968",Philadelphia 76ers,133,Baltimore Bullets,121,Box Score,,,,Baltimore Civic Center,
"Sat, Feb 3, 1968",St. Louis Hawks,125,Cincinnati Royals,111,Box Score,,,,Cincinnati Gardens,
"Sat, Feb 3, 1968",San Diego Rockets,122,Los Angeles Lakers,133,Box Score,,,,The Forum,
"Sat, Feb 3, 1968",Boston Celtics,112,New York Knicks,108,Box Score,,16884.0,,Madison Square Garden (III),
"Sun, Feb 4, 1968",San Francisco Warriors,117,Philadelphia 76ers,141,Box Score,,,,The Spectrum,
"Sun, Feb 4, 1968",Cincinnati Royals,100,St. Louis Hawks,106,Box Score,,,,Kiel Auditorium,
"Sun, Feb 4, 1968",Seattle SuperSonics,131,Los Angeles Lakers,137,Box Score,,,,The Forum,
"Sun, Feb 4, 1968",Baltimore Bullets,115,Detroit Pistons,117,Box Score,,,,Cobo Arena,
"Sun, Feb 4, 1968",New York Knicks,110,Boston Celtics,108,Box Score,,9634.0,,Boston Garden,
"Mon, Feb 5, 1968",San Diego Rockets,108,Baltimore Bullets,121,Box Score,,,,War Memorial Coliseum,"at Winston-Salem, NC"
"Mon, Feb 5, 1968",Seattle SuperSonics,132,Cincinnati Royals,129,Box Score,OT,,,Arizona Veterans Memorial Coliseum,"at Phoenix, AZ"
"Tue, Feb 6, 1968",San Francisco Warriors,126,Chicago Bulls,124,Box Score,OT,,,Chicago Stadium,
"Tue, Feb 6, 1968",San Diego Rockets,93,Detroit Pistons,120,Box Score,,,,Madison Square Garden (III),"at New York, NY"
"Tue, Feb 6, 1968",Cincinnati Royals,102,Los Angeles Lakers,146,Box Score,,,,The Forum,
"Tue, Feb 6, 1968",St. Louis Hawks,100,New York Knicks,121,Box Score,,,,Madison Square Garden (III),
"Wed, Feb 7, 1968",New York Knicks,114,Baltimore Bullets,111,Box Score,,,,Baltimore Civic Center,
"Wed, Feb 7, 1968",St. Louis Hawks,101,Boston Celtics,102,Box Score,,8545.0,,Boston Garden,
"Wed, Feb 7, 1968",San Diego Rockets,103,Philadelphia 76ers,125,Box Score,,,,Boston Garden,"at Boston, MA"
"Thu, Feb 8, 1968",San Diego Rockets,102,Baltimore Bullets,106,Box Score,,,,Chicago Stadium,"at Chicago, IL"
"Thu, Feb 8, 1968",Cincinnati Royals,109,San Francisco Warriors,126,Box Score,,,,Oakland-Alameda County Coliseum Arena,"at Oakland, CA"
"Thu, Feb 8, 1968",Detroit Pistons,110,Chicago Bulls,131,Box Score,,,,Chicago Stadium,
"Thu, Feb 8, 1968",Los Angeles Lakers,110,Seattle SuperSonics,115,Box Score,,,,Seattle Center Coliseum,
"Fri, Feb 9, 1968",Detroit Pistons,100,Boston Celtics,107,Box Score,,9386.0,,Boston Garden,
"Fri, Feb 9, 1968",San Francisco Warriors,104,Los Angeles Lakers,122,Box Score,,,,The Forum,
"Fri, Feb 9, 1968",Chicago Bulls,113,Philadelphia 76ers,118,Box Score,,,,The Spectrum,
"Fri, Feb 9, 1968",New York Knicks,111,St. Louis Hawks,121,Box Score,,,,Kiel Auditorium,
"Sat, Feb 10, 1968",Baltimore Bullets,114,Detroit Pistons,109,Box Score,,,,Cobo Arena,
"Sat, Feb 10, 1968",Philadelphia 76ers,97,New York Knicks,115,Box Score,,,,Madison Square Garden (III),
"Sat, Feb 10, 1968",Cincinnati Royals,101,San Diego Rockets,99,Box Score,,,,San Diego Sports Arena,
"Sat, Feb 10, 1968",Chicago Bulls,107,St. Louis Hawks,108,Box Score,,,,Kiel Auditorium,
"Sun, Feb 11, 1968",Los Angeles Lakers,141,Boston Celtics,104,Box Score,,9001.0,,Boston Garden,
"Sun, Feb 11, 1968",San Francisco Warriors,118,Seattle SuperSonics,146,Box Score,,,,Seattle Center Coliseum,
"Sun, Feb 11, 1968",St. Louis Hawks,93,Philadelphia 76ers,119,Box Score,,,,Miami Beach Auditorium,"at Miami, FL"
"Sun, Feb 11, 1968",San Diego Rockets,116,Baltimore Bullets,136,Box Score,,,,Baltimore Civic Center,
"Mon, Feb 12, 1968",Cincinnati Royals,104,Chicago Bulls,112,Box Score,OT,,,Cleveland Arena,"at Cleveland, OH"
"Tue, Feb 13, 1968",Los Angeles Lakers,119,Baltimore Bullets,116,Box Score,OT,,,Baltimore Civic Center,
"Tue, Feb 13, 1968",San Diego Rockets,102,Chicago Bulls,114,Box Score,,,,Chicago Stadium,
"Tue, Feb 13, 1968",St. Louis Hawks,123,Cincinnati Royals,111,Box Score,,,,Onondaga War Memorial,"at Syracuse, NY"
"Tue, Feb 13, 1968",Boston Celtics,127,Detroit Pistons,115,Box Score,,7537.0,,Cobo Arena,
"Tue, Feb 13, 1968",Philadelphia 76ers,112,San Francisco Warriors,105,Box Score,,,,Oakland-Alameda County Coliseum Arena,"at Oakland, CA"
"Wed, Feb 14, 1968",Philadelphia 76ers,149,Seattle SuperSonics,125,Box Score,,,,Hec Edmunson Pavilion,"at Seattle, WA (Clarence S. ""Hec"" Edmundson Pavillion)"
"Wed, Feb 14, 1968",San Diego Rockets,102,New York Knicks,114,Box Score,,,,Madison Square Garden (IV),
"Wed, Feb 14, 1968",Detroit Pistons,96,Boston Celtics,118,Box Score,,17639.0,,Madison Square Garden (IV),"at New York, NY"
"Thu, Feb 15, 1968",Los Angeles Lakers,132,Chicago Bulls,105,Box Score,,,,Milwaukee Arena,"at Milwaukee, WI"
"Thu, Feb 15, 1968",San Francisco Warriors,134,San Diego Rockets,114,Box Score,,,,San Diego Sports Arena,
"Thu, Feb 15, 1968",Seattle SuperSonics,119,Cincinnati Royals,132,Box Score,,,,Cincinnati Gardens,
"Fri, Feb 16, 1968",Seattle SuperSonics,118,Baltimore Bullets,147,Box Score,,,,Baltimore Civic Center,
"Fri, Feb 16, 1968",Boston Celtics,124,Chicago Bulls,108,Box Score,,10286.0,,Chicago Stadium,
"Fri, Feb 16, 1968",New York Knicks,91,Cincinnati Royals,125,Box Score,,,,Cleveland Arena,"at Cleveland, OH"
"Fri, Feb 16, 1968",Philadelphia 76ers,124,San Diego Rockets,108,Box Score,,,,San Diego Sports Arena,
"Fri, Feb 16, 1968",Los Angeles Lakers,116,San Francisco Warriors,118,Box Score,,,,Cow Palace,
"Sat, Feb 17, 1968",Baltimore Bullets,115,Cincinnati Royals,117,Box Score,,,,Cincinnati Gardens,
"Sat, Feb 17, 1968",Philadelphia 76ers,135,Los Angeles Lakers,134,Box Score,2OT,,,The Forum,
"Sat, Feb 17, 1968",Seattle SuperSonics,111,New York Knicks,134,Box Score,,,,Madison Square Garden (IV),
"Sat, Feb 17, 1968",Boston Celtics,113,St. Louis Hawks,99,Box Score,,9208.0,,Kiel Auditorium,
"Sun, Feb 18, 1968",Boston Celtics,100,Cincinnati Royals,107,Box Score,,10225.0,,Cincinnati Gardens,
"Sun, Feb 18, 1968",Chicago Bulls,113,St. Louis Hawks,107,Box Score,,,,Kiel Auditorium,
"Sun, Feb 18, 1968",Philadelphia 76ers,106,San Diego Rockets,111,Box Score,,,,San Diego Sports Arena,
"Sun, Feb 18, 1968",San Francisco Warriors,104,Detroit Pistons,123,Box Score,,,,Cobo Arena,
"Tue, Feb 20, 1968",St. Louis Hawks,115,Baltimore Bullets,127,Box Score,,,,The Spectrum,"at Philadelphia, PA"
"Tue, Feb 20, 1968",Cincinnati Royals,110,Boston Celtics,126,Box Score,,12092.0,,Boston Garden,
"Tue, Feb 20, 1968",Detroit Pistons,121,Chicago Bulls,124,Box Score,OT,,,Madison Square Garden (IV),"at New York, NY"
"Tue, Feb 20, 1968",San Francisco Warriors,112,New York Knicks,115,Box Score,OT,,,Madison Square Garden (IV),
"Tue, Feb 20, 1968",Seattle SuperSonics,108,Philadelphia 76ers,140,Box Score,,,,The Spectrum,
"Wed, Feb 21, 1968",Boston Celtics,117,Los Angeles Lakers,122,Box Score,,17011.0,,The Forum,
"Wed, Feb 21, 1968",San Francisco Warriors,117,Baltimore Bullets,126,Box Score,,,,Baltimore Civic Center,
"Wed, Feb 21, 1968",Seattle SuperSonics,106,Chicago Bulls,108,Box Score,,,,Baltimore Civic Center,"at Baltimore, MD"
"Thu, Feb 22, 1968",Cincinnati Royals,99,Baltimore Bullets,112,Box Score,,,,Cleveland Arena,"at Cleveland, OH"
"Thu, Feb 22, 1968",St. Louis Hawks,151,Detroit Pistons,128,Box Score,,,,Onondaga War Memorial,"at Syracuse, NY"
"Fri, Feb 23, 1968",Cincinnati Royals,115,Los Angeles Lakers,131,Box Score,,,,The Forum,
"Fri, Feb 23, 1968",Detroit Pistons,117,Philadelphia 76ers,138,Box Score,,,,The Spectrum,
"Fri, Feb 23, 1968",Seattle SuperSonics,127,San Diego Rockets,122,Box Score,,,,San Diego Sports Arena,
"Fri, Feb 23, 1968",Boston Celtics,122,San Francisco Warriors,127,Box Score,,7112.0,,Cow Palace,
"Fri, Feb 23, 1968",Baltimore Bullets,110,St. Louis Hawks,118,Box Score,,,,Kiel Auditorium,
"Sat, Feb 24, 1968",Cincinnati Royals,114,San Francisco Warriors,127,Box Score,,,,Cow Palace,
"Sat, Feb 24, 1968",Chicago Bulls,101,New York Knicks,109,Box Score,,,,Madison Square Garden (IV),
"Sat, Feb 24, 1968",Seattle SuperSonics,137,Boston Celtics,141,Box Score,,8149.0,,Pacific Coliseum,"at Vancouver, Canada"
"Sat, Feb 24, 1968",Detroit Pistons,132,Baltimore Bullets,140,Box Score,,,,Baltimore Civic Center,
"Sun, Feb 25, 1968",New York Knicks,124,Detroit Pistons,115,Box Score,,,,Cobo Arena,
"Sun, Feb 25, 1968",Los Angeles Lakers,127,San Diego Rockets,112,Box Score,,,,San Diego Sports Arena,
"Sun, Feb 25, 1968",Philadelphia 76ers,126,St. Louis Hawks,119,Box Score,,,,Kiel Auditorium,
"Mon, Feb 26, 1968",Boston Celtics,118,San Diego Rockets,110,Box Score,,4694.0,,San Diego Sports Arena,
"Tue, Feb 27, 1968",Cincinnati Royals,106,Los Angeles Lakers,117,Box Score,,,,The Forum,
"Tue, Feb 27, 1968",St. Louis Hawks,108,New York Knicks,102,Box Score,,,,Madison Square Garden (IV),
"Tue, Feb 27, 1968",San Francisco Warriors,107,Philadelphia 76ers,127,Box Score,,,,The Spectrum,
"Wed, Feb 28, 1968",New York Knicks,126,Baltimore Bullets,122,Box Score,,,,Baltimore Civic Center,
"Wed, Feb 28, 1968",San Francisco Warriors,110,Boston Celtics,135,Box Score,,5728.0,,Boston Garden,
"Thu, Feb 29, 1968",Los Angeles Lakers,117,Chicago Bulls,107,Box Score,,,,Roberts Stadium,"at Evansville, IN"
"Thu, Feb 29, 1968",St. Louis Hawks,105,New York Knicks,102,Box Score,OT,,,Madison Square Garden (IV),"at Miami, FL"
"Thu, Feb 29, 1968",Cincinnati Royals,120,San Diego Rockets,114,Box Score,,,,San Diego Sports Arena,
