Date,Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 5,Unnamed: 6,Attend.,LOG,Arena,Notes
"Tue, Apr 1, 1969",Atlanta Hawks,97,San Diego Rockets,104,Box Score,,,,San Diego Sports Arena,
"Tue, Apr 1, 1969",Philadelphia 76ers,119,Boston Celtics,116,Box Score,,14017.0,,Boston Garden,
"Wed, Apr 2, 1969",Baltimore Bullets,108,New York Knicks,115,Box Score,,,,Madison Square Garden (IV),
"Wed, Apr 2, 1969",Los Angeles Lakers,103,San Francisco Warriors,88,Box Score,,,,Cow Palace,
"Fri, Apr 4, 1969",San Francisco Warriors,98,Los Angeles Lakers,103,Box Score,,,,The Forum,
"Fri, Apr 4, 1969",Boston Celtics,93,Philadelphia 76ers,90,Box Score,,15244.0,,The Spectrum,
"Fri, Apr 4, 1969",Atlanta Hawks,112,San Diego Rockets,114,Box Score,,,,San Diego Sports Arena,
"Sat, Apr 5, 1969",Los Angeles Lakers,118,San Francisco Warriors,78,Box Score,,,,Cow Palace,
"Sun, Apr 6, 1969",San Diego Rockets,101,Atlanta Hawks,112,Box Score,,,,Alexander Memorial Coliseum,
"Sun, Apr 6, 1969",Boston Celtics,108,New York Knicks,100,Box Score,,19500.0,,Madison Square Garden (IV),
"Mon, Apr 7, 1969",Atlanta Hawks,108,San Diego Rockets,106,Box Score,,,,San Diego Sports Arena,
"Wed, Apr 9, 1969",New York Knicks,97,Boston Celtics,112,Box Score,,14933.0,,Boston Garden,
"Thu, Apr 10, 1969",Boston Celtics,91,New York Knicks,101,Box Score,,19500.0,,Madison Square Garden (IV),
"Fri, Apr 11, 1969",Atlanta Hawks,93,Los Angeles Lakers,95,Box Score,,,,The Forum,
"Sun, Apr 13, 1969",New York Knicks,96,Boston Celtics,97,Box Score,,13506.0,,Boston Garden,
"Sun, Apr 13, 1969",Atlanta Hawks,102,Los Angeles Lakers,104,Box Score,,,,The Forum,
"Mon, Apr 14, 1969",Boston Celtics,104,New York Knicks,112,Box Score,,19500.0,,Madison Square Garden (IV),
"Tue, Apr 15, 1969",Los Angeles Lakers,86,Atlanta Hawks,99,Box Score,,,,Alexander Memorial Coliseum,
"Thu, Apr 17, 1969",Los Angeles Lakers,100,Atlanta Hawks,85,Box Score,,,,Alexander Memorial Coliseum,
"Fri, Apr 18, 1969",New York Knicks,105,Boston Celtics,106,Box Score,,14933.0,,Boston Garden,
"Sun, Apr 20, 1969",Atlanta Hawks,96,Los Angeles Lakers,104,Box Score,,,,The Forum,
"Wed, Apr 23, 1969",Boston Celtics,118,Los Angeles Lakers,120,Box Score,,17554.0,,The Forum,
"Fri, Apr 25, 1969",Boston Celtics,112,Los Angeles Lakers,118,Box Score,,17559.0,,The Forum,
"Sun, Apr 27, 1969",Los Angeles Lakers,105,Boston Celtics,111,Box Score,,14037.0,,Boston Garden,
"Tue, Apr 29, 1969",Los Angeles Lakers,88,Boston Celtics,89,Box Score,,15128.0,,Boston Garden,
