Date,Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 5,Unnamed: 6,Attend.,LOG,Arena,Notes
"Fri, Mar 1, 1968",St. Louis Hawks,121,Detroit Pistons,131,Box Score,,,,Cobo Arena,
"Fri, Mar 1, 1968",Chicago Bulls,87,Boston Celtics,94,Box Score,,8050,,Boston Garden,
"Fri, Mar 1, 1968",Cincinnati Royals,122,San Francisco Warriors,101,Box Score,,,,Cow Palace,
"Fri, Mar 1, 1968",Baltimore Bullets,156,San Diego Rockets,114,Box Score,,,,San Diego Sports Arena,
"Sat, Mar 2, 1968",Seattle SuperSonics,121,Los Angeles Lakers,127,Box Score,,,,The Forum,
"Sat, Mar 2, 1968",Detroit Pistons,107,New York Knicks,133,Box Score,,,,Madison Square Garden (IV),
"Sat, Mar 2, 1968",Baltimore Bullets,109,San Francisco Warriors,117,Box Score,,,,Cow Palace,
"Sun, Mar 3, 1968",Philadelphia 76ers,133,Boston Celtics,127,Box Score,,14692,,Boston Garden,
"Sun, Mar 3, 1968",Chicago Bulls,123,Detroit Pistons,134,Box Score,,,,Cobo Arena,
"Sun, Mar 3, 1968",Baltimore Bullets,114,Los Angeles Lakers,121,Box Score,,,,The Forum,
"Sun, Mar 3, 1968",Cincinnati Royals,138,Seattle SuperSonics,128,Box Score,,,,Seattle Center Coliseum,
"Sun, Mar 3, 1968",San Diego Rockets,104,St. Louis Hawks,106,Box Score,,,,Kiel Auditorium,
"Tue, Mar 5, 1968",Boston Celtics,113,New York Knicks,91,Box Score,,17333,,Madison Square Garden (IV),
"Tue, Mar 5, 1968",St. Louis Hawks,134,San Francisco Warriors,117,Box Score,,,,Oakland-Alameda County Coliseum Arena,"at Oakland, CA"
"Tue, Mar 5, 1968",Baltimore Bullets,126,Seattle SuperSonics,121,Box Score,,,,Seattle Center Coliseum,
"Tue, Mar 5, 1968",San Diego Rockets,103,Philadelphia 76ers,134,Box Score,,,,Convention Hall,
"Tue, Mar 5, 1968",Detroit Pistons,121,Chicago Bulls,119,Box Score,,,,Chicago Stadium,
"Wed, Mar 6, 1968",New York Knicks,91,Boston Celtics,103,Box Score,,6016,,Boston Garden,
"Wed, Mar 6, 1968",Philadelphia 76ers,106,Cincinnati Royals,108,Box Score,,,,Cincinnati Gardens,
"Wed, Mar 6, 1968",San Diego Rockets,118,Detroit Pistons,140,Box Score,,,,Cobo Arena,
"Wed, Mar 6, 1968",St. Louis Hawks,112,Los Angeles Lakers,96,Box Score,,,,The Forum,
"Thu, Mar 7, 1968",St. Louis Hawks,150,Seattle SuperSonics,133,Box Score,,,,Memorial Coliseum,"at Portland, OR"
"Thu, Mar 7, 1968",Los Angeles Lakers,119,San Diego Rockets,102,Box Score,,,,San Diego Sports Arena,
"Thu, Mar 7, 1968",Boston Celtics,112,Chicago Bulls,118,Box Score,,3615,,Chicago Stadium,
"Thu, Mar 7, 1968",Philadelphia 76ers,125,Cincinnati Royals,117,Box Score,,,,Cleveland Arena,"at Cleveland, OH"
"Fri, Mar 8, 1968",Seattle SuperSonics,116,Baltimore Bullets,122,Box Score,,,,St. Martin's College Capitol Pavilion,"at Olympia, WA"
"Fri, Mar 8, 1968",Detroit Pistons,129,Cincinnati Royals,118,Box Score,,,,Cincinnati Gardens,
"Fri, Mar 8, 1968",San Diego Rockets,122,Los Angeles Lakers,130,Box Score,,,,The Forum,
"Fri, Mar 8, 1968",Boston Celtics,96,Philadelphia 76ers,101,Box Score,,9190,,Convention Hall,
"Sat, Mar 9, 1968",St. Louis Hawks,115,Chicago Bulls,109,Box Score,,,,Chicago Stadium,
"Sat, Mar 9, 1968",Seattle SuperSonics,115,San Diego Rockets,111,Box Score,,,,San Diego Sports Arena,
"Sat, Mar 9, 1968",Los Angeles Lakers,137,San Francisco Warriors,132,Box Score,OT,,,Cow Palace,
"Sun, Mar 10, 1968",Philadelphia 76ers,119,New York Knicks,108,Box Score,,,,Madison Square Garden (IV),
"Sun, Mar 10, 1968",Detroit Pistons,133,St. Louis Hawks,121,Box Score,,,,Kiel Auditorium,
"Sun, Mar 10, 1968",San Francisco Warriors,118,Seattle SuperSonics,112,Box Score,,,,Seattle Center Coliseum,
"Sun, Mar 10, 1968",Baltimore Bullets,119,Los Angeles Lakers,89,Box Score,,,,The Forum,
"Sun, Mar 10, 1968",Cincinnati Royals,137,Boston Celtics,111,Box Score,,12290,,Boston Garden,
