Date,Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 5,Unnamed: 6,Attend.,LOG,Arena,Notes
"Tue, Jan 1, 1974",Chicago Bulls,91,Golden State Warriors,80,Box Score,,,,Oakland-Alameda County Coliseum Arena,
"Tue, Jan 1, 1974",Atlanta Hawks,89,New York Knicks,99,Box Score,,,,Madison Square Garden (IV),
"Tue, Jan 1, 1974",Buffalo Braves,120,Portland Trail Blazers,119,Box Score,,,,Memorial Coliseum,
"Wed, Jan 2, 1974",Phoenix Suns,116,Atlanta Hawks,113,Box Score,,,,Omni Coliseum,
"Wed, Jan 2, 1974",New York Knicks,92,Capital Bullets,81,Box Score,,,,Capital Centre,
"Wed, Jan 2, 1974",Milwaukee Bucks,92,Detroit Pistons,106,Box Score,,,,Cobo Arena,
"Wed, Jan 2, 1974",Boston Celtics,97,Kansas City-Omaha Kings,109,Box Score,,5153.0,,Municipal Auditorium,
"Wed, Jan 2, 1974",Houston Rockets,101,Philadelphia 76ers,99,Box Score,,,,The Spectrum,
"Wed, Jan 2, 1974",Buffalo Braves,115,Seattle SuperSonics,111,Box Score,,,,Seattle Center Coliseum,
"Thu, Jan 3, 1974",Kansas City-Omaha Kings,105,Milwaukee Bucks,120,Box Score,,,,Milwaukee Arena,
"Fri, Jan 4, 1974",Capital Bullets,94,Cleveland Cavaliers,91,Box Score,,,,Cleveland Arena,
"Fri, Jan 4, 1974",Boston Celtics,101,Detroit Pistons,106,Box Score,,11335.0,,Cobo Arena,
"Fri, Jan 4, 1974",Phoenix Suns,97,Kansas City-Omaha Kings,122,Box Score,,,,Municipal Auditorium,
"Fri, Jan 4, 1974",Golden State Warriors,111,Los Angeles Lakers,114,Box Score,,,,The Forum,
"Fri, Jan 4, 1974",New York Knicks,75,Philadelphia 76ers,78,Box Score,,,,The Spectrum,
"Fri, Jan 4, 1974",Houston Rockets,119,Portland Trail Blazers,113,Box Score,,,,Memorial Coliseum,
"Fri, Jan 4, 1974",Chicago Bulls,101,Seattle SuperSonics,103,Box Score,OT,,,Seattle Center Coliseum,
"Sat, Jan 5, 1974",Cleveland Cavaliers,86,Atlanta Hawks,99,Box Score,,,,Omni Coliseum,
"Sat, Jan 5, 1974",Philadelphia 76ers,102,Boston Celtics,108,Box Score,OT,5310.0,,Providence Civic Center,"at Providence, RI"
"Sat, Jan 5, 1974",Detroit Pistons,90,Capital Bullets,93,Box Score,,,,Capital Centre,
"Sat, Jan 5, 1974",Houston Rockets,106,Golden State Warriors,108,Box Score,,,,Oakland-Alameda County Coliseum Arena,
"Sat, Jan 5, 1974",Phoenix Suns,109,Milwaukee Bucks,118,Box Score,,,,Milwaukee Arena,
"Sat, Jan 5, 1974",Buffalo Braves,111,New York Knicks,110,Box Score,,,,Madison Square Garden (IV),
"Sun, Jan 6, 1974",Buffalo Braves,117,Atlanta Hawks,109,Box Score,,,,Maple Leaf Gardens,"at Toronto, Canada"
"Sun, Jan 6, 1974",Milwaukee Bucks,88,Capital Bullets,90,Box Score,,,,Capital Centre,
"Sun, Jan 6, 1974",Phoenix Suns,116,Chicago Bulls,120,Box Score,OT,,,Chicago Stadium,
"Sun, Jan 6, 1974",Kansas City-Omaha Kings,105,Los Angeles Lakers,109,Box Score,,,,The Forum,
"Sun, Jan 6, 1974",Golden State Warriors,105,Portland Trail Blazers,106,Box Score,,,,Memorial Coliseum,
"Sun, Jan 6, 1974",Houston Rockets,90,Seattle SuperSonics,91,Box Score,,,,Seattle Center Coliseum,
"Tue, Jan 8, 1974",Atlanta Hawks,96,Buffalo Braves,100,Box Score,,,,Buffalo Memorial Auditorium,
"Tue, Jan 8, 1974",Los Angeles Lakers,92,Capital Bullets,94,Box Score,,,,Capital Centre,
"Tue, Jan 8, 1974",New York Knicks,108,Chicago Bulls,80,Box Score,,,,Chicago Stadium,
"Tue, Jan 8, 1974",Golden State Warriors,104,Houston Rockets,92,Box Score,,,,Hofheinz Pavilion,
"Tue, Jan 8, 1974",Kansas City-Omaha Kings,110,Portland Trail Blazers,129,Box Score,,,,Memorial Coliseum,
"Wed, Jan 9, 1974",Chicago Bulls,89,Boston Celtics,106,Box Score,,6234.0,,Boston Garden,
"Wed, Jan 9, 1974",Los Angeles Lakers,94,Detroit Pistons,123,Box Score,,,,Cobo Arena,
"Wed, Jan 9, 1974",Cleveland Cavaliers,86,Philadelphia 76ers,90,Box Score,,,,The Spectrum,
"Wed, Jan 9, 1974",Houston Rockets,101,Phoenix Suns,105,Box Score,,,,Arizona Veterans Memorial Coliseum,
"Wed, Jan 9, 1974",Kansas City-Omaha Kings,96,Seattle SuperSonics,100,Box Score,,,,Seattle Center Coliseum,
