Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,LOG,Arena,Notes
"Tue, Feb 1, 1983",,Cleveland Cavaliers,84,Atlanta Hawks,93,Box Score,,4802.0,,Omni Coliseum,
"Tue, Feb 1, 1983",,Houston Rockets,76,Chicago Bulls,129,Box Score,,3989.0,,Chicago Stadium,
"Tue, Feb 1, 1983",,Philadelphia 76ers,133,Denver Nuggets,124,Box Score,,17498.0,2:17,McNichols Sports Arena,
"Tue, Feb 1, 1983",,Milwaukee Bucks,115,Portland Trail Blazers,99,Box Score,,12666.0,,Memorial Coliseum,
"Tue, Feb 1, 1983",7:42p,Indiana Pacers,111,New Jersey Nets,120,Box Score,,9163.0,2:03,Brendan Byrne Arena,
"Wed, Feb 2, 1983",,San Diego Clippers,110,Boston Celtics,120,Box Score,,15320.0,2:05,Boston Garden,
"Wed, Feb 2, 1983",,New Jersey Nets,118,Cleveland Cavaliers,105,Box Score,,2071.0,,Coliseum at Richfield,
"Wed, Feb 2, 1983",,Los Angeles Lakers,120,Dallas Mavericks,122,Box Score,,17134.0,,Reunion Arena,
"Wed, Feb 2, 1983",,Denver Nuggets,128,Houston Rockets,135,Box Score,,7141.0,,The Summit,
"Wed, Feb 2, 1983",,Detroit Pistons,135,Indiana Pacers,141,Box Score,,4316.0,,Market Square Arena,
"Wed, Feb 2, 1983",,Utah Jazz,96,Phoenix Suns,112,Box Score,,9468.0,,Arizona Veterans Memorial Coliseum,
"Wed, Feb 2, 1983",,New York Knicks,109,San Antonio Spurs,98,Box Score,,8313.0,,HemisFair Arena,
"Wed, Feb 2, 1983",,Milwaukee Bucks,114,Seattle SuperSonics,117,Box Score,,10158.0,,Seattle Kingdome,
"Wed, Feb 2, 1983",,Kansas City Kings,117,Washington Bullets,115,Box Score,,4827.0,,Capital Centre,
"Thu, Feb 3, 1983",,Denver Nuggets,126,Atlanta Hawks,112,Box Score,,4534.0,,Omni Coliseum,
"Thu, Feb 3, 1983",,San Diego Clippers,115,Detroit Pistons,108,Box Score,,5291.0,,Pontiac Silverdome,
"Thu, Feb 3, 1983",,Philadelphia 76ers,117,Golden State Warriors,111,Box Score,,13335.0,2:13,Oakland-Alameda County Coliseum Arena,
"Fri, Feb 4, 1983",,Atlanta Hawks,92,Cleveland Cavaliers,81,Box Score,,2066.0,,Coliseum at Richfield,
"Fri, Feb 4, 1983",,New York Knicks,120,Dallas Mavericks,101,Box Score,,13110.0,,Reunion Arena,
"Fri, Feb 4, 1983",,Boston Celtics,102,Indiana Pacers,93,Box Score,,13003.0,2:04,Market Square Arena,
"Fri, Feb 4, 1983",,Los Angeles Lakers,143,Kansas City Kings,125,Box Score,,,,Checkerdome,"at St. Louis, MO"
"Fri, Feb 4, 1983",,Houston Rockets,99,Phoenix Suns,115,Box Score,,10541.0,,Arizona Veterans Memorial Coliseum,
"Fri, Feb 4, 1983",,Philadelphia 76ers,109,Portland Trail Blazers,115,Box Score,,12666.0,2:12,Memorial Coliseum,
"Fri, Feb 4, 1983",,San Antonio Spurs,103,Seattle SuperSonics,115,Box Score,,13082.0,,Seattle Kingdome,
"Fri, Feb 4, 1983",,Milwaukee Bucks,122,Utah Jazz,110,Box Score,,8577.0,,Salt Palace,
"Fri, Feb 4, 1983",,San Diego Clippers,93,Washington Bullets,100,Box Score,,5807.0,,Capital Centre,
"Fri, Feb 4, 1983",7:40p,Chicago Bulls,98,New Jersey Nets,120,Box Score,,14548.0,1:59,Brendan Byrne Arena,
"Sat, Feb 5, 1983",,Cleveland Cavaliers,113,Chicago Bulls,117,Box Score,,6257.0,,Chicago Stadium,
"Sat, Feb 5, 1983",,Utah Jazz,136,Denver Nuggets,143,Box Score,,9133.0,,McNichols Sports Arena,
"Sat, Feb 5, 1983",,New Jersey Nets,101,Detroit Pistons,111,Box Score,,17398.0,,Pontiac Silverdome,
"Sat, Feb 5, 1983",,San Antonio Spurs,102,Golden State Warriors,106,Box Score,,8766.0,,Oakland-Alameda County Coliseum Arena,
"Sat, Feb 5, 1983",,New York Knicks,102,Houston Rockets,101,Box Score,,7341.0,,The Summit,
"Sun, Feb 6, 1983",,Atlanta Hawks,116,Boston Celtics,111,Box Score,,15320.0,2:13,Boston Garden,
"Sun, Feb 6, 1983",,San Diego Clippers,107,Cleveland Cavaliers,110,Box Score,,3042.0,,Coliseum at Richfield,
"Sun, Feb 6, 1983",,Phoenix Suns,109,Golden State Warriors,92,Box Score,,8646.0,,Oakland-Alameda County Coliseum Arena,
"Sun, Feb 6, 1983",,Kansas City Kings,106,Los Angeles Lakers,116,Box Score,,17505.0,,The Forum,
