Date,Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 5,Unnamed: 6,Attend.,LOG,Arena,Notes
"Sat, Apr 2, 1955",Fort Wayne Pistons,84,Syracuse Nationals,87,Box Score,,5845,,Onondaga War Memorial,
"Sun, Apr 3, 1955",Syracuse Nationals,89,Fort Wayne Pistons,96,Box Score,,3200,,Indiana State Fair Coliseum,"at Indianapolis, IN"
"Tue, Apr 5, 1955",Syracuse Nationals,102,Fort Wayne Pistons,109,Box Score,,2611,,Indiana State Fair Coliseum,"at Indianapolis, IN"
"Thu, Apr 7, 1955",Syracuse Nationals,71,Fort Wayne Pistons,74,Box Score,,4110,,Indiana State Fair Coliseum,"at Indianapolis, IN"
"Sat, Apr 9, 1955",Fort Wayne Pistons,104,Syracuse Nationals,109,Box Score,,4997,,Onondaga War Memorial,
"Sun, Apr 10, 1955",Fort Wayne Pistons,91,Syracuse Nationals,92,Box Score,,6697,,Onondaga War Memorial,
