Date,Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 5,Unnamed: 6,Attend.,LOG,Arena,Notes
"Fri, Feb 1, 1957",Rochester Royals,96,Fort Wayne Pistons,80,Box Score,,,,Cincinnati Gardens,"at Cincinnati, OH"
"Sat, Feb 2, 1957",St. Louis Hawks,106,Minneapolis Lakers,97,Box Score,,,,Minneapolis Auditorium,
"Sat, Feb 2, 1957",Fort Wayne Pistons,79,Rochester Royals,93,Box Score,,,,Rochester Community War Memorial,
"Sat, Feb 2, 1957",Boston Celtics,114,New York Knicks,111,Box Score,,15352.0,,Madison Square Garden (III),
"Sat, Feb 2, 1957",Syracuse Nationals,100,Philadelphia Warriors,107,Box Score,,,,Convention Hall,
"Sun, Feb 3, 1957",New York Knicks,98,Boston Celtics,116,Box Score,,13909.0,,Boston Garden,
"Sun, Feb 3, 1957",Rochester Royals,108,Philadelphia Warriors,110,Box Score,,,,Camden Convention Hall,"at Camden, NJ"
"Sun, Feb 3, 1957",Minneapolis Lakers,85,St. Louis Hawks,102,Box Score,,,,Kiel Auditorium,
"Sun, Feb 3, 1957",Fort Wayne Pistons,95,Syracuse Nationals,104,Box Score,,,,Onondaga War Memorial,
"Mon, Feb 4, 1957",Philadelphia Warriors,91,Fort Wayne Pistons,103,Box Score,,,,War Memorial Coliseum,
"Tue, Feb 5, 1957",Syracuse Nationals,101,Boston Celtics,105,Box Score,,12000.0,,Madison Square Garden (III),"at New York, NY"
"Tue, Feb 5, 1957",Rochester Royals,91,New York Knicks,88,Box Score,,,,Madison Square Garden (III),
"Tue, Feb 5, 1957",Philadelphia Warriors,101,St. Louis Hawks,87,Box Score,,,,Kiel Auditorium,
"Wed, Feb 6, 1957",Fort Wayne Pistons,93,Boston Celtics,108,Box Score,,8362.0,,Boston Garden,
"Wed, Feb 6, 1957",Philadelphia Warriors,100,Minneapolis Lakers,101,Box Score,,,,Minneapolis Armory,
"Wed, Feb 6, 1957",Syracuse Nationals,100,New York Knicks,119,Box Score,,,,Boston Garden,"at Boston, MA"
"Wed, Feb 6, 1957",St. Louis Hawks,100,Rochester Royals,103,Box Score,,,,Rochester Community War Memorial,
"Thu, Feb 7, 1957",St. Louis Hawks,110,Syracuse Nationals,112,Box Score,,,,Onondaga War Memorial,
"Fri, Feb 8, 1957",New York Knicks,92,Boston Celtics,90,Box Score,,9031.0,,Convention Hall,"at Philadelphia, PA"
"Fri, Feb 8, 1957",St. Louis Hawks,90,Philadelphia Warriors,93,Box Score,,,,Convention Hall,
"Sat, Feb 9, 1957",Fort Wayne Pistons,92,Minneapolis Lakers,99,Box Score,,,,Minneapolis Auditorium,
"Sat, Feb 9, 1957",Syracuse Nationals,101,New York Knicks,89,Box Score,,,,69th Regiment Armory,
"Sat, Feb 9, 1957",Boston Celtics,102,Rochester Royals,103,Box Score,,4088.0,,Rochester Community War Memorial,
"Sun, Feb 10, 1957",Philadelphia Warriors,98,Boston Celtics,103,Box Score,OT,13068.0,,Boston Garden,
"Sun, Feb 10, 1957",Minneapolis Lakers,100,Fort Wayne Pistons,113,Box Score,,,,War Memorial Coliseum,
"Sun, Feb 10, 1957",Rochester Royals,93,St. Louis Hawks,117,Box Score,,,,Kiel Auditorium,
"Sun, Feb 10, 1957",New York Knicks,100,Syracuse Nationals,102,Box Score,,,,Onondaga War Memorial,
"Mon, Feb 11, 1957",Syracuse Nationals,101,St. Louis Hawks,107,Box Score,,,,Sam Houston Coliseum,"at Houston, TX"
"Tue, Feb 12, 1957",St. Louis Hawks,105,Minneapolis Lakers,110,Box Score,,,,Municipal Auditorium,"at Kansas City, MO"
"Wed, Feb 13, 1957",Boston Celtics,114,Minneapolis Lakers,115,Box Score,,4200.0,,Minneapolis Auditorium,
"Wed, Feb 13, 1957",Fort Wayne Pistons,89,Philadelphia Warriors,99,Box Score,,,,Philadelphia Arena,
"Wed, Feb 13, 1957",New York Knicks,85,Rochester Royals,82,Box Score,,,,Rochester Community War Memorial,
"Thu, Feb 14, 1957",Rochester Royals,104,Syracuse Nationals,95,Box Score,,,,Onondaga War Memorial,
"Thu, Feb 14, 1957",Boston Celtics,106,Fort Wayne Pistons,112,Box Score,,5700.0,,War Memorial Coliseum,
"Thu, Feb 14, 1957",New York Knicks,97,Minneapolis Lakers,99,Box Score,,,,War Memorial Coliseum,"at Fort Wayne, IN"
"Fri, Feb 15, 1957",Minneapolis Lakers,104,Philadelphia Warriors,105,Box Score,,,,Camden Convention Hall,"at Camden, NJ"
"Fri, Feb 15, 1957",Boston Celtics,123,St. Louis Hawks,116,Box Score,2OT,6328.0,,Kiel Auditorium,
"Sat, Feb 16, 1957",Minneapolis Lakers,112,New York Knicks,120,Box Score,,,,69th Regiment Armory,
"Sat, Feb 16, 1957",Fort Wayne Pistons,87,Rochester Royals,84,Box Score,,,,Rochester Community War Memorial,
"Sun, Feb 17, 1957",Rochester Royals,85,Fort Wayne Pistons,104,Box Score,,,,War Memorial Coliseum,
"Sun, Feb 17, 1957",St. Louis Hawks,118,Minneapolis Lakers,115,Box Score,OT,,,Minneapolis Auditorium,
"Sun, Feb 17, 1957",New York Knicks,115,Philadelphia Warriors,123,Box Score,,,,Convention Hall,
"Sun, Feb 17, 1957",Boston Celtics,106,Syracuse Nationals,116,Box Score,,6366.0,,Onondaga War Memorial,
"Tue, Feb 19, 1957",Boston Celtics,112,New York Knicks,110,Box Score,,10135.0,,69th Regiment Armory,
"Tue, Feb 19, 1957",Fort Wayne Pistons,83,St. Louis Hawks,96,Box Score,,,,Kiel Auditorium,
"Wed, Feb 20, 1957",Rochester Royals,103,Minneapolis Lakers,111,Box Score,,,,Minneapolis Auditorium,
"Thu, Feb 21, 1957",St. Louis Hawks,112,Boston Celtics,125,Box Score,,10616.0,,Boston Garden,
"Thu, Feb 21, 1957",New York Knicks,114,Fort Wayne Pistons,120,Box Score,,,,Boston Garden,"at Boston, MA"
"Thu, Feb 21, 1957",Philadelphia Warriors,86,Syracuse Nationals,92,Box Score,,,,Onondaga War Memorial,
"Fri, Feb 22, 1957",Boston Celtics,109,Philadelphia Warriors,117,Box Score,,9824.0,,Convention Hall,
"Fri, Feb 22, 1957",Rochester Royals,105,Fort Wayne Pistons,110,Box Score,,,,Convention Hall,"at Philadelphia, PA"
"Sat, Feb 23, 1957",Syracuse Nationals,103,Minneapolis Lakers,101,Box Score,,,,Minneapolis Auditorium,
"Sat, Feb 23, 1957",Fort Wayne Pistons,94,New York Knicks,102,Box Score,,,,69th Regiment Armory,
"Sat, Feb 23, 1957",St. Louis Hawks,86,Rochester Royals,101,Box Score,,,,Rochester Community War Memorial,
"Sun, Feb 24, 1957",New York Knicks,85,Boston Celtics,97,Box Score,,5886.0,,Rhode Island Auditorium,"at Providence, RI"
"Sun, Feb 24, 1957",Fort Wayne Pistons,115,Minneapolis Lakers,123,Box Score,,,,Minneapolis Auditorium,
"Sun, Feb 24, 1957",Philadelphia Warriors,112,St. Louis Hawks,113,Box Score,,,,Kiel Auditorium,
"Sun, Feb 24, 1957",Rochester Royals,93,Syracuse Nationals,109,Box Score,,,,Onondaga War Memorial,
"Mon, Feb 25, 1957",St. Louis Hawks,110,Minneapolis Lakers,94,Box Score,,,,War Memorial Coliseum,"at Fort Wayne, IN"
"Mon, Feb 25, 1957",Syracuse Nationals,102,Fort Wayne Pistons,108,Box Score,,,,War Memorial Coliseum,
"Tue, Feb 26, 1957",Rochester Royals,77,Boston Celtics,92,Box Score,,10546.0,,Madison Square Garden (III),"at New York, NY"
"Tue, Feb 26, 1957",St. Louis Hawks,76,New York Knicks,107,Box Score,,,,Madison Square Garden (III),
"Tue, Feb 26, 1957",Minneapolis Lakers,108,Syracuse Nationals,120,Box Score,,,,Onondaga War Memorial,
"Wed, Feb 27, 1957",Fort Wayne Pistons,76,Rochester Royals,90,Box Score,,,,Rochester Community War Memorial,
