Date,Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 5,Unnamed: 6,Attend.,LOG,Arena,Notes
"Fri, Dec 2, 1966",Los Angeles Lakers,130,Philadelphia 76ers,138,Box Score,,,,Convention Hall,
"Fri, Dec 2, 1966",Detroit Pistons,119,Boston Celtics,116,Box Score,,6660.0,,Boston Garden,
"Fri, Dec 2, 1966",New York Knicks,107,St. Louis Hawks,109,Box Score,,,,Kiel Auditorium,
"Sat, Dec 3, 1966",Philadelphia 76ers,137,Baltimore Bullets,120,Box Score,,,,Baltimore Civic Center,
"Sat, Dec 3, 1966",Los Angeles Lakers,130,Cincinnati Royals,118,Box Score,,,,Cincinnati Gardens,
"Sat, Dec 3, 1966",Chicago Bulls,98,Detroit Pistons,104,Box Score,,,,Cobo Arena,
"Sat, Dec 3, 1966",Boston Celtics,120,New York Knicks,109,Box Score,,17179.0,,Madison Square Garden (III),
"Sat, Dec 3, 1966",St. Louis Hawks,111,San Francisco Warriors,123,Box Score,,,,San Francisco Civic Auditorium,
"Sun, Dec 4, 1966",St. Louis Hawks,123,Los Angeles Lakers,118,Box Score,,,,Los Angeles Memorial Sports Arena,
"Tue, Dec 6, 1966",Chicago Bulls,119,Philadelphia 76ers,129,Box Score,,,,Convention Hall,
"Tue, Dec 6, 1966",San Francisco Warriors,126,New York Knicks,116,Box Score,,,,Madison Square Garden (III),
"Tue, Dec 6, 1966",Detroit Pistons,111,Boston Celtics,130,Box Score,,15736.0,,Madison Square Garden (III),"at New York, NY"
"Wed, Dec 7, 1966",San Francisco Warriors,106,Baltimore Bullets,116,Box Score,,,,Baltimore Civic Center,
"Wed, Dec 7, 1966",Cincinnati Royals,91,Boston Celtics,119,Box Score,,12513.0,,Boston Garden,
"Wed, Dec 7, 1966",Philadelphia 76ers,117,Chicago Bulls,103,Box Score,,,,International Amphitheatre,
"Wed, Dec 7, 1966",New York Knicks,118,Detroit Pistons,116,Box Score,,,,Cobo Arena,
"Wed, Dec 7, 1966",St. Louis Hawks,128,Los Angeles Lakers,130,Box Score,OT,,,Los Angeles Memorial Sports Arena,
"Thu, Dec 8, 1966",Chicago Bulls,132,Baltimore Bullets,120,Box Score,,,,Roberts Stadium,"at Evansville, IN"
"Thu, Dec 8, 1966",St. Louis Hawks,106,San Francisco Warriors,124,Box Score,,,,Arizona Veterans Memorial Coliseum,"at Phoenix, AZ"
"Fri, Dec 9, 1966",Boston Celtics,117,Cincinnati Royals,99,Box Score,,4624.0,,Cincinnati Gardens,
"Fri, Dec 9, 1966",New York Knicks,107,Philadelphia 76ers,112,Box Score,,,,Convention Hall,
"Fri, Dec 9, 1966",San Francisco Warriors,119,Los Angeles Lakers,118,Box Score,,,,Los Angeles Memorial Sports Arena,
"Sat, Dec 10, 1966",Chicago Bulls,110,Boston Celtics,125,Box Score,,6075.0,,Boston Garden,
"Sat, Dec 10, 1966",Baltimore Bullets,129,New York Knicks,138,Box Score,,,,Madison Square Garden (III),
"Sat, Dec 10, 1966",Cincinnati Royals,120,San Francisco Warriors,123,Box Score,OT,,,San Francisco Civic Auditorium,
"Sat, Dec 10, 1966",Philadelphia 76ers,133,St. Louis Hawks,123,Box Score,,,,Kiel Auditorium,
"Sun, Dec 11, 1966",Philadelphia 76ers,103,Boston Celtics,117,Box Score,,13793.0,,Boston Garden,
"Sun, Dec 11, 1966",Cincinnati Royals,118,Los Angeles Lakers,119,Box Score,,,,Los Angeles Memorial Sports Arena,
"Tue, Dec 13, 1966",Chicago Bulls,94,Baltimore Bullets,122,Box Score,,,,Madison Square Garden (III),"at New York, NY"
"Tue, Dec 13, 1966",Philadelphia 76ers,127,New York Knicks,112,Box Score,,,,Madison Square Garden (III),
"Tue, Dec 13, 1966",Cincinnati Royals,126,San Francisco Warriors,112,Box Score,,,,San Francisco Civic Auditorium,
"Wed, Dec 14, 1966",New York Knicks,106,Baltimore Bullets,116,Box Score,,,,Baltimore Civic Center,
"Wed, Dec 14, 1966",Detroit Pistons,87,Chicago Bulls,93,Box Score,,,,Roberts Stadium,"at Evansville, IN"
"Wed, Dec 14, 1966",Cincinnati Royals,126,Los Angeles Lakers,124,Box Score,,,,Los Angeles Memorial Sports Arena,
"Thu, Dec 15, 1966",St. Louis Hawks,116,Boston Celtics,114,Box Score,,4423.0,,Rhode Island Auditorium,"at Providence, RI"
"Fri, Dec 16, 1966",St. Louis Hawks,113,Philadelphia 76ers,124,Box Score,,,,Convention Hall,
"Fri, Dec 16, 1966",Cincinnati Royals,120,Chicago Bulls,128,Box Score,,,,Cleveland Arena,"at Cleveland, OH"
"Fri, Dec 16, 1966",Baltimore Bullets,121,Detroit Pistons,113,Box Score,,,,Cobo Arena,
"Sat, Dec 17, 1966",Philadelphia 76ers,120,Detroit Pistons,105,Box Score,,,,Onondaga War Memorial,"at Syracuse, NY"
"Sat, Dec 17, 1966",St. Louis Hawks,114,New York Knicks,116,Box Score,,,,Madison Square Garden (III),
"Sat, Dec 17, 1966",Boston Celtics,118,San Francisco Warriors,110,Box Score,,7266.0,,San Francisco Civic Auditorium,
"Sat, Dec 17, 1966",Chicago Bulls,110,Baltimore Bullets,106,Box Score,,,,Baltimore Civic Center,
