Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 6,Unnamed: 7,Attend.,LOG,Arena,Notes
"Thu, Jan 1, 1976",,Houston Rockets,110,Portland Trail Blazers,107,Box Score,,,,Memorial Coliseum,
"Thu, Jan 1, 1976",,Phoenix Suns,103,Washington Bullets,114,Box Score,,,,Capital Centre,
"Fri, Jan 2, 1976",,New York Knicks,105,Buffalo Braves,106,Box Score,,,,Buffalo Memorial Auditorium,
"Fri, Jan 2, 1976",,Washington Bullets,107,Chicago Bulls,99,Box Score,OT,,,Chicago Stadium,
"Fri, Jan 2, 1976",,Milwaukee Bucks,98,Detroit Pistons,83,Box Score,,,,Cobo Arena,
"Fri, Jan 2, 1976",,Golden State Warriors,113,Los Angeles Lakers,105,Box Score,,,,The Forum,
"Fri, Jan 2, 1976",,Atlanta Hawks,95,New Orleans Jazz,111,Box Score,,,,Louisiana Superdome,
"Fri, Jan 2, 1976",,Cleveland Cavaliers,101,Philadelphia 76ers,112,Box Score,,,,The Spectrum,
"Fri, Jan 2, 1976",,Boston Celtics,102,Seattle SuperSonics,98,Box Score,,14096.0,,Seattle Center Coliseum,
"Sat, Jan 3, 1976",,Phoenix Suns,100,Atlanta Hawks,89,Box Score,,,,Omni Coliseum,
"Sat, Jan 3, 1976",,Detroit Pistons,104,Cleveland Cavaliers,100,Box Score,,,,Coliseum at Richfield,
"Sat, Jan 3, 1976",,Los Angeles Lakers,99,Golden State Warriors,130,Box Score,,,,Oakland-Alameda County Coliseum Arena,
"Sat, Jan 3, 1976",,Houston Rockets,101,Milwaukee Bucks,126,Box Score,,,,MECCA Arena,
"Sat, Jan 3, 1976",,Kansas City Kings,95,New Orleans Jazz,120,Box Score,,,,Louisiana Superdome,
"Sat, Jan 3, 1976",,Buffalo Braves,106,New York Knicks,107,Box Score,,,,Madison Square Garden (IV),
"Sat, Jan 3, 1976",,Boston Celtics,97,Portland Trail Blazers,125,Box Score,,12204.0,,Memorial Coliseum,
"Sat, Jan 3, 1976",,Philadelphia 76ers,104,Washington Bullets,119,Box Score,,,,Capital Centre,
"Sun, Jan 4, 1976",,Phoenix Suns,86,Kansas City Kings,98,Box Score,,,,Kemper Arena,
"Sun, Jan 4, 1976",,Portland Trail Blazers,101,Los Angeles Lakers,110,Box Score,,,,The Forum,
"Sun, Jan 4, 1976",,Golden State Warriors,85,Seattle SuperSonics,97,Box Score,,,,Seattle Center Coliseum,
"Mon, Jan 5, 1976",,Houston Rockets,97,Chicago Bulls,98,Box Score,,,,Chicago Stadium,
"Tue, Jan 6, 1976",,Los Angeles Lakers,113,Buffalo Braves,114,Box Score,,,,Buffalo Memorial Auditorium,
"Tue, Jan 6, 1976",,New Orleans Jazz,104,Chicago Bulls,98,Box Score,,,,Chicago Stadium,
"Tue, Jan 6, 1976",,Washington Bullets,103,Kansas City Kings,98,Box Score,,,,Kemper Arena,
"Tue, Jan 6, 1976",,Atlanta Hawks,91,Milwaukee Bucks,87,Box Score,,,,MECCA Arena,
"Tue, Jan 6, 1976",,New York Knicks,112,Portland Trail Blazers,97,Box Score,,,,Memorial Coliseum,
