Date,Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 5,Unnamed: 6,Attend.,LOG,Arena,Notes
"Thu, Feb 1, 1962",Cincinnati Royals,109,Philadelphia Warriors,130,Box Score,,,,Convention Hall,
"Thu, Feb 1, 1962",Los Angeles Lakers,115,Boston Celtics,130,Box Score,,13200.0,,Cole Field House,"at College Park, MD"
"Fri, Feb 2, 1962",Cincinnati Royals,124,Boston Celtics,143,Box Score,,8789.0,,Boston Garden,
"Fri, Feb 2, 1962",Detroit Pistons,96,Chicago Packers,112,Box Score,,,,International Amphitheatre,
"Fri, Feb 2, 1962",Philadelphia Warriors,129,New York Knicks,116,Box Score,,,,Boston Garden,"at Boston, MA"
"Fri, Feb 2, 1962",Syracuse Nationals,135,St. Louis Hawks,101,Box Score,,,,Utica Memorial Auditorium,"at Utica, NY"
"Sat, Feb 3, 1962",Detroit Pistons,116,Chicago Packers,109,Box Score,,,,St. Louis Arena,"at St. Louis, MO"
"Sat, Feb 3, 1962",Cincinnati Royals,110,New York Knicks,121,Box Score,,,,Madison Square Garden (III),
"Sat, Feb 3, 1962",Los Angeles Lakers,127,St. Louis Hawks,124,Box Score,,,,St. Louis Arena,
"Sat, Feb 3, 1962",Philadelphia Warriors,112,Syracuse Nationals,134,Box Score,,,,Onondaga War Memorial,
"Sun, Feb 4, 1962",Los Angeles Lakers,105,Chicago Packers,113,Box Score,,,,International Amphitheatre,
"Sun, Feb 4, 1962",Syracuse Nationals,117,Philadelphia Warriors,128,Box Score,,,,Convention Hall,
"Sun, Feb 4, 1962",St. Louis Hawks,113,Detroit Pistons,121,Box Score,,,,Cobo Arena,
"Sun, Feb 4, 1962",New York Knicks,114,Boston Celtics,130,Box Score,,4319.0,,Boston Garden,
"Mon, Feb 5, 1962",Boston Celtics,127,Chicago Packers,111,Box Score,,3126.0,,International Amphitheatre,
"Mon, Feb 5, 1962",Los Angeles Lakers,134,Cincinnati Royals,128,Box Score,OT,,,Mountaineer Field House at West Virginia University,"at Morgantown, WV"
"Tue, Feb 6, 1962",Syracuse Nationals,127,Chicago Packers,123,Box Score,,,,Madison Square Garden (III),"at New York, NY"
"Tue, Feb 6, 1962",Detroit Pistons,119,Cincinnati Royals,118,Box Score,,,,Cincinnati Gardens,
"Tue, Feb 6, 1962",Los Angeles Lakers,112,New York Knicks,116,Box Score,,,,Madison Square Garden (III),
"Tue, Feb 6, 1962",Boston Celtics,129,St. Louis Hawks,114,Box Score,,5894.0,,Kiel Auditorium,
"Wed, Feb 7, 1962",Cincinnati Royals,107,Detroit Pistons,113,Box Score,,,,Cobo Arena,
"Thu, Feb 8, 1962",Los Angeles Lakers,109,Cincinnati Royals,113,Box Score,,,,University of Dayton Fieldhouse,"at Dayton, OH"
"Thu, Feb 8, 1962",Boston Celtics,110,Syracuse Nationals,122,Box Score,,7192.0,,Onondaga War Memorial,
"Thu, Feb 8, 1962",Philadelphia Warriors,136,New York Knicks,120,Box Score,,,,Onondaga War Memorial,"at Syracuse, NY"
"Fri, Feb 9, 1962",Philadelphia Warriors,126,Boston Celtics,124,Box Score,,6038.0,,Boston Garden,
"Fri, Feb 9, 1962",Syracuse Nationals,111,New York Knicks,120,Box Score,,,,Madison Square Garden (III),
"Sat, Feb 10, 1962",New York Knicks,111,Chicago Packers,126,Box Score,,,,Convention Hall,"at Philadelphia, PA"
"Sat, Feb 10, 1962",St. Louis Hawks,118,Cincinnati Royals,134,Box Score,,,,Cincinnati Gardens,
"Sat, Feb 10, 1962",Boston Celtics,106,Philadelphia Warriors,107,Box Score,,10741.0,,Convention Hall,
"Sun, Feb 11, 1962",Chicago Packers,115,Boston Celtics,148,Box Score,,9024.0,,Boston Garden,
"Sun, Feb 11, 1962",Philadelphia Warriors,121,New York Knicks,111,Box Score,,,,Madison Square Garden (III),
"Sun, Feb 11, 1962",Cincinnati Royals,109,St. Louis Hawks,129,Box Score,,,,Kiel Auditorium,
"Sun, Feb 11, 1962",Detroit Pistons,116,Syracuse Nationals,132,Box Score,,,,Onondaga War Memorial,
"Mon, Feb 12, 1962",St. Louis Hawks,117,Los Angeles Lakers,113,Box Score,,,,Los Angeles Memorial Sports Arena,
"Tue, Feb 13, 1962",Chicago Packers,117,Boston Celtics,138,Box Score,,2233.0,,Rhode Island Auditorium,"at Providence, RI"
"Tue, Feb 13, 1962",Philadelphia Warriors,132,Cincinnati Royals,152,Box Score,,,,Cincinnati Gardens,
"Wed, Feb 14, 1962",Cincinnati Royals,121,Chicago Packers,125,Box Score,,,,Cobo Arena,"at Detroit, MI"
