Date,Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 5,Unnamed: 6,Attend.,LOG,Arena,Notes
"Thu, Mar 1, 1979",Golden State Warriors,86,Atlanta Hawks,104,Box Score,,,,Omni Coliseum,
"Fri, Mar 2, 1979",San Diego Clippers,106,Boston Celtics,99,Box Score,,14345.0,2:00,Boston Garden,
"Fri, Mar 2, 1979",Golden State Warriors,105,Indiana Pacers,98,Box Score,,,,Market Square Arena,
"Fri, Mar 2, 1979",Philadelphia 76ers,111,Los Angeles Lakers,126,Box Score,,,,The Forum,
"Fri, Mar 2, 1979",Milwaukee Bucks,91,New Jersey Nets,99,Box Score,,,,Rutgers Athletic Center,
"Fri, Mar 2, 1979",Denver Nuggets,119,Phoenix Suns,105,Box Score,,,,Arizona Veterans Memorial Coliseum,
"Fri, Mar 2, 1979",Houston Rockets,118,Portland Trail Blazers,98,Box Score,,,,Memorial Coliseum,
"Fri, Mar 2, 1979",Kansas City Kings,125,San Antonio Spurs,129,Box Score,OT,,,HemisFair Arena,
"Fri, Mar 2, 1979",Cleveland Cavaliers,111,Seattle SuperSonics,109,Box Score,,,,Seattle Kingdome,
"Sat, Mar 3, 1979",Chicago Bulls,101,Atlanta Hawks,119,Box Score,,,,Omni Coliseum,
"Sat, Mar 3, 1979",New Orleans Jazz,101,Detroit Pistons,110,Box Score,,,,Pontiac Silverdome,
"Sat, Mar 3, 1979",San Diego Clippers,108,New York Knicks,111,Box Score,,,,Madison Square Garden (IV),
"Sun, Mar 4, 1979",Milwaukee Bucks,135,Boston Celtics,122,Box Score,,11599.0,1:51,Boston Garden,
"Sun, Mar 4, 1979",Golden State Warriors,111,Kansas City Kings,110,Box Score,OT,,,Kemper Arena,
"Sun, Mar 4, 1979",Denver Nuggets,113,Los Angeles Lakers,99,Box Score,,,,The Forum,
"Sun, Mar 4, 1979",Philadelphia 76ers,94,Phoenix Suns,119,Box Score,,,,Arizona Veterans Memorial Coliseum,
"Sun, Mar 4, 1979",Cleveland Cavaliers,102,Portland Trail Blazers,106,Box Score,,,,Memorial Coliseum,
"Sun, Mar 4, 1979",Houston Rockets,109,Seattle SuperSonics,119,Box Score,,,,Seattle Kingdome,
"Sun, Mar 4, 1979",San Antonio Spurs,128,Washington Bullets,129,Box Score,,,,Capital Centre,
"Tue, Mar 6, 1979",Philadelphia 76ers,91,Atlanta Hawks,94,Box Score,,,,Omni Coliseum,
"Tue, Mar 6, 1979",Houston Rockets,119,Denver Nuggets,118,Box Score,,,,McNichols Sports Arena,
"Tue, Mar 6, 1979",San Antonio Spurs,103,New Jersey Nets,99,Box Score,,,,Rutgers Athletic Center,
"Tue, Mar 6, 1979",Portland Trail Blazers,118,New York Knicks,110,Box Score,,,,Madison Square Garden (IV),
"Wed, Mar 7, 1979",Kansas City Kings,120,Atlanta Hawks,122,Box Score,OT,,,Omni Coliseum,
"Wed, Mar 7, 1979",Seattle SuperSonics,99,Detroit Pistons,93,Box Score,,,,Pontiac Silverdome,
