Date,Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 5,Unnamed: 6,Attend.,LOG,Arena,Notes
"Sat, Jan 22, 1966",Boston Celtics,107,Baltimore Bullets,132,Box Score,,6591.0,,Baltimore Civic Center,
"Sat, Jan 22, 1966",New York Knicks,111,St. Louis Hawks,119,Box Score,,,,Kiel Auditorium,
"Sun, Jan 23, 1966",Philadelphia 76ers,104,St. Louis Hawks,98,Box Score,,,,Kiel Auditorium,
"Mon, Jan 24, 1966",St. Louis Hawks,107,Philadelphia 76ers,110,Box Score,,,,Mid-South Coliseum,"at Memphis, TN"
"Mon, Jan 24, 1966",San Francisco Warriors,112,Cincinnati Royals,135,Box Score,,,,Ball State University Fieldhouse,"at Muncie, IN"
"Tue, Jan 25, 1966",Boston Celtics,101,Cincinnati Royals,113,Box Score,,8719.0,,Cincinnati Gardens,
"Tue, Jan 25, 1966",Philadelphia 76ers,110,Los Angeles Lakers,106,Box Score,,,,Madison Square Garden (III),"at New York, NY"
"Tue, Jan 25, 1966",Detroit Pistons,100,New York Knicks,115,Box Score,,,,Madison Square Garden (III),
"Tue, Jan 25, 1966",San Francisco Warriors,107,St. Louis Hawks,142,Box Score,,,,Kiel Auditorium,
"Wed, Jan 26, 1966",Los Angeles Lakers,126,Detroit Pistons,110,Box Score,,,,Cobo Arena,
"Wed, Jan 26, 1966",San Francisco Warriors,103,New York Knicks,115,Box Score,,,,Cobo Arena,"at Detroit, MI"
"Thu, Jan 27, 1966",Detroit Pistons,112,Boston Celtics,131,Box Score,,3890.0,,War Memorial Coliseum,"at Fort Wayne, IN"
"Fri, Jan 28, 1966",Cincinnati Royals,103,Philadelphia 76ers,125,Box Score,,,,Convention Hall,
"Fri, Jan 28, 1966",San Francisco Warriors,114,St. Louis Hawks,104,Box Score,,,,Kiel Auditorium,
"Fri, Jan 28, 1966",Baltimore Bullets,123,Los Angeles Lakers,138,Box Score,,,,Los Angeles Memorial Sports Arena,
"Fri, Jan 28, 1966",Detroit Pistons,108,Boston Celtics,105,Box Score,,6295.0,,Boston Garden,
"Sat, Jan 29, 1966",St. Louis Hawks,115,Cincinnati Royals,116,Box Score,,,,Cincinnati Gardens,
"Sat, Jan 29, 1966",Boston Celtics,119,New York Knicks,107,Box Score,,11201.0,,Madison Square Garden (III),
"Sat, Jan 29, 1966",Baltimore Bullets,95,San Francisco Warriors,108,Box Score,,,,San Francisco Civic Auditorium,
"Sun, Jan 30, 1966",New York Knicks,115,Boston Celtics,118,Box Score,,8572.0,,Boston Garden,
"Sun, Jan 30, 1966",Baltimore Bullets,122,Los Angeles Lakers,136,Box Score,,,,Los Angeles Memorial Sports Arena,
"Sun, Jan 30, 1966",Detroit Pistons,98,Philadelphia 76ers,117,Box Score,,,,Convention Hall,
"Sun, Jan 30, 1966",Cincinnati Royals,98,St. Louis Hawks,115,Box Score,,,,Kiel Auditorium,
"Mon, Jan 31, 1966",Baltimore Bullets,118,San Francisco Warriors,131,Box Score,,,,San Francisco Civic Auditorium,
