Date,Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 5,Unnamed: 6,Attend.,LOG,Arena,Notes
"Tue, Jan 1, 1957",St. Louis Hawks,101,Rochester Royals,102,Box Score,OT,,,Rochester Community War Memorial,
"Tue, Jan 1, 1957",Philadelphia Warriors,87,Boston Celtics,100,Box Score,,4188.0,,Onondaga War Memorial,"at Syracuse, NY"
"Tue, Jan 1, 1957",New York Knicks,102,Syracuse Nationals,106,Box Score,,,,Onondaga War Memorial,
"Thu, Jan 3, 1957",Minneapolis Lakers,102,Fort Wayne Pistons,104,Box Score,,,,War Memorial Coliseum,
"Thu, Jan 3, 1957",Syracuse Nationals,111,New York Knicks,126,Box Score,,,,Madison Square Garden (III),
"Thu, Jan 3, 1957",St. Louis Hawks,81,Philadelphia Warriors,82,Box Score,,,,Madison Square Garden (III),"at New York, NY"
"Fri, Jan 4, 1957",Syracuse Nationals,116,Boston Celtics,106,Box Score,,7857.0,,Convention Hall,"at Philadelphia, PA"
"Fri, Jan 4, 1957",St. Louis Hawks,92,Philadelphia Warriors,96,Box Score,,,,Convention Hall,
"Sat, Jan 5, 1957",New York Knicks,96,Fort Wayne Pistons,109,Box Score,,,,War Memorial Coliseum,
"Sat, Jan 5, 1957",Philadelphia Warriors,81,Rochester Royals,78,Box Score,,,,Rochester Community War Memorial,
"Sun, Jan 6, 1957",New York Knicks,111,Minneapolis Lakers,101,Box Score,,,,Minneapolis Auditorium,
"Sun, Jan 6, 1957",Philadelphia Warriors,123,Syracuse Nationals,128,Box Score,,,,Onondaga War Memorial,
"Sun, Jan 6, 1957",Rochester Royals,93,St. Louis Hawks,86,Box Score,,,,Kiel Auditorium,
"Sun, Jan 6, 1957",Fort Wayne Pistons,92,Boston Celtics,118,Box Score,,5068.0,,Rhode Island Auditorium,
"Tue, Jan 8, 1957",Minneapolis Lakers,86,Fort Wayne Pistons,87,Box Score,,,,Winnipeg Arena,"at Winnipeg, Canada"
"Tue, Jan 8, 1957",Boston Celtics,102,New York Knicks,113,Box Score,,15128.0,,Madison Square Garden (III),
"Tue, Jan 8, 1957",Rochester Royals,95,Philadelphia Warriors,94,Box Score,,,,Madison Square Garden (III),"at New York, NY"
"Wed, Jan 9, 1957",Syracuse Nationals,86,Minneapolis Lakers,93,Box Score,,,,Concordia Fieldhouse,"at Moorhead, MN"
"Thu, Jan 10, 1957",Boston Celtics,98,Fort Wayne Pistons,81,Box Score,,4265.0,,War Memorial Coliseum,
"Thu, Jan 10, 1957",Minneapolis Lakers,118,Syracuse Nationals,110,Box Score,,,,Onondaga War Memorial,
"Thu, Jan 10, 1957",Rochester Royals,93,Philadelphia Warriors,112,Box Score,,,,Convention Hall,
"Thu, Jan 10, 1957",St. Louis Hawks,84,New York Knicks,89,Box Score,OT,,,Convention Hall,"at Philadelphia, PA"
"Sat, Jan 12, 1957",Minneapolis Lakers,105,Fort Wayne Pistons,87,Box Score,,,,St. Louis Arena,"at St. Louis, MO"
"Sat, Jan 12, 1957",New York Knicks,82,Philadelphia Warriors,116,Box Score,,,,Convention Hall,
"Sat, Jan 12, 1957",Syracuse Nationals,97,Rochester Royals,88,Box Score,,,,Rochester Community War Memorial,
"Sat, Jan 12, 1957",Boston Celtics,98,St. Louis Hawks,100,Box Score,,14326.0,,St. Louis Arena,
"Sun, Jan 13, 1957",St. Louis Hawks,89,Fort Wayne Pistons,91,Box Score,,,,War Memorial Coliseum,
"Sun, Jan 13, 1957",Boston Celtics,87,Minneapolis Lakers,104,Box Score,,5427.0,,Minneapolis Auditorium,
"Sun, Jan 13, 1957",Philadelphia Warriors,90,New York Knicks,101,Box Score,,,,Madison Square Garden (III),
"Sun, Jan 13, 1957",Rochester Royals,85,Syracuse Nationals,91,Box Score,,,,Onondaga War Memorial,
"Wed, Jan 16, 1957",St. Louis Hawks,108,Rochester Royals,106,Box Score,OT,,,Rochester Community War Memorial,
"Thu, Jan 17, 1957",St. Louis Hawks,106,Fort Wayne Pistons,82,Box Score,,,,Convention Hall,"at Philadelphia, PA"
"Thu, Jan 17, 1957",New York Knicks,94,Minneapolis Lakers,93,Box Score,,,,Mary E. Sawyer Auditorium,"at Lacrosse, WI"
"Thu, Jan 17, 1957",Syracuse Nationals,108,Philadelphia Warriors,103,Box Score,,,,Convention Hall,
"Fri, Jan 18, 1957",Syracuse Nationals,94,Philadelphia Warriors,96,Box Score,,,,Boston Garden,"at Boston, MA"
"Fri, Jan 18, 1957",St. Louis Hawks,117,Boston Celtics,126,Box Score,,11763.0,,Boston Garden,
"Sat, Jan 19, 1957",Fort Wayne Pistons,100,New York Knicks,102,Box Score,,,,Madison Square Garden (III),
"Sat, Jan 19, 1957",St. Louis Hawks,104,Syracuse Nationals,96,Box Score,,,,Onondaga War Memorial,
"Sat, Jan 19, 1957",Boston Celtics,97,Rochester Royals,83,Box Score,,6027.0,,Rochester Community War Memorial,
"Sun, Jan 20, 1957",New York Knicks,78,Boston Celtics,114,Box Score,,11082.0,,Boston Garden,
"Sun, Jan 20, 1957",Rochester Royals,107,Minneapolis Lakers,114,Box Score,,,,Minneapolis Auditorium,
"Sun, Jan 20, 1957",Philadelphia Warriors,102,St. Louis Hawks,104,Box Score,OT,,,Kiel Auditorium,
"Sun, Jan 20, 1957",Fort Wayne Pistons,98,Syracuse Nationals,101,Box Score,,,,Onondaga War Memorial,
"Tue, Jan 22, 1957",St. Louis Hawks,87,Fort Wayne Pistons,97,Box Score,,,,War Memorial Coliseum,
