Date,Visitor/Neutral,PTS,Home/Neutral,PTS.1,Unnamed: 5,Unnamed: 6,Attend.,LOG,Arena,Notes
"Sat, Dec 1, 1973",Seattle SuperSonics,110,Atlanta Hawks,120,Box Score,,,,Omni Coliseum,
"Sat, Dec 1, 1973",Chicago Bulls,98,Boston Celtics,120,Box Score,,11919.0,,Boston Garden,
"Sat, Dec 1, 1973",Kansas City-Omaha Kings,108,Golden State Warriors,120,Box Score,,,,Oakland-Alameda County Coliseum Arena,
"Sat, Dec 1, 1973",Cleveland Cavaliers,99,New York Knicks,119,Box Score,,,,Madison Square Garden (IV),
"Sat, Dec 1, 1973",Houston Rockets,106,Philadelphia 76ers,108,Box Score,OT,,,The Spectrum,
"Sat, Dec 1, 1973",Detroit Pistons,121,Phoenix Suns,109,Box Score,,,,Arizona Veterans Memorial Coliseum,
"Sat, Dec 1, 1973",Los Angeles Lakers,115,Portland Trail Blazers,134,Box Score,,,,Memorial Coliseum,
"Sun, Dec 2, 1973",Seattle SuperSonics,96,Capital Bullets,98,Box Score,,,,Capital Centre,
"Sun, Dec 2, 1973",Houston Rockets,130,Cleveland Cavaliers,104,Box Score,,,,Cleveland Arena,
"Sun, Dec 2, 1973",Detroit Pistons,114,Los Angeles Lakers,108,Box Score,,,,The Forum,
"Tue, Dec 4, 1973",Seattle SuperSonics,107,Chicago Bulls,130,Box Score,,,,Chicago Stadium,
"Tue, Dec 4, 1973",Detroit Pistons,112,Golden State Warriors,93,Box Score,,,,Oakland-Alameda County Coliseum Arena,
"Tue, Dec 4, 1973",Phoenix Suns,103,Los Angeles Lakers,120,Box Score,,,,The Forum,
"Tue, Dec 4, 1973",Houston Rockets,109,Milwaukee Bucks,124,Box Score,,,,Milwaukee Arena,
"Tue, Dec 4, 1973",Portland Trail Blazers,100,New York Knicks,113,Box Score,,,,Madison Square Garden (IV),
"Wed, Dec 5, 1973",New York Knicks,97,Boston Celtics,119,Box Score,,15320.0,,Boston Garden,
"Wed, Dec 5, 1973",Portland Trail Blazers,110,Buffalo Braves,114,Box Score,,,,Buffalo Memorial Auditorium,
"Wed, Dec 5, 1973",Capital Bullets,99,Houston Rockets,119,Box Score,,,,Hofheinz Pavilion,
"Wed, Dec 5, 1973",Atlanta Hawks,105,Kansas City-Omaha Kings,117,Box Score,,,,Omaha Civic Auditorium,"at Omaha, NE"
"Wed, Dec 5, 1973",Cleveland Cavaliers,89,Philadelphia 76ers,75,Box Score,,,,The Spectrum,
"Wed, Dec 5, 1973",Golden State Warriors,97,Phoenix Suns,103,Box Score,,,,Arizona Veterans Memorial Coliseum,
"Thu, Dec 6, 1973",Philadelphia 76ers,98,Chicago Bulls,103,Box Score,,,,Chicago Stadium,
"Thu, Dec 6, 1973",Detroit Pistons,110,Seattle SuperSonics,108,Box Score,,,,Seattle Center Coliseum,
"Fri, Dec 7, 1973",Atlanta Hawks,112,Boston Celtics,116,Box Score,,13577.0,,Boston Garden,
"Fri, Dec 7, 1973",New York Knicks,113,Buffalo Braves,108,Box Score,,,,Buffalo Memorial Auditorium,
"Fri, Dec 7, 1973",Chicago Bulls,96,Cleveland Cavaliers,91,Box Score,,,,Cleveland Arena,
"Fri, Dec 7, 1973",Seattle SuperSonics,115,Los Angeles Lakers,111,Box Score,,,,The Forum,
"Fri, Dec 7, 1973",Portland Trail Blazers,86,Milwaukee Bucks,116,Box Score,,,,Milwaukee Arena,
"Fri, Dec 7, 1973",Kansas City-Omaha Kings,113,Philadelphia 76ers,102,Box Score,,,,The Spectrum,
"Fri, Dec 7, 1973",Capital Bullets,92,Phoenix Suns,114,Box Score,,,,Arizona Veterans Memorial Coliseum,
"Sat, Dec 8, 1973",Boston Celtics,95,Chicago Bulls,112,Box Score,,11843.0,,Chicago Stadium,
"Sat, Dec 8, 1973",Portland Trail Blazers,91,Detroit Pistons,106,Box Score,,,,Cobo Arena,
"Sat, Dec 8, 1973",Los Angeles Lakers,111,Golden State Warriors,135,Box Score,,,,Oakland-Alameda County Coliseum Arena,
"Sat, Dec 8, 1973",Atlanta Hawks,100,New York Knicks,117,Box Score,,,,Madison Square Garden (IV),
"Sat, Dec 8, 1973",Milwaukee Bucks,105,Philadelphia 76ers,92,Box Score,,,,The Spectrum,
"Sun, Dec 9, 1973",Buffalo Braves,114,Boston Celtics,118,Box Score,,10173.0,,Maple Leaf Gardens,"at Toronto, Canada"
"Sun, Dec 9, 1973",Phoenix Suns,117,Cleveland Cavaliers,106,Box Score,,,,Cleveland Arena,
"Sun, Dec 9, 1973",Detroit Pistons,86,Kansas City-Omaha Kings,80,Box Score,,,,Omaha Civic Auditorium,"at Omaha, NE"
"Sun, Dec 9, 1973",Capital Bullets,110,Los Angeles Lakers,96,Box Score,,,,The Forum,
"Sun, Dec 9, 1973",Houston Rockets,110,Seattle SuperSonics,107,Box Score,,,,Seattle Center Coliseum,
"Tue, Dec 11, 1973",Buffalo Braves,132,Atlanta Hawks,127,Box Score,OT,,,Omni Coliseum,
"Tue, Dec 11, 1973",Kansas City-Omaha Kings,104,Chicago Bulls,105,Box Score,,,,Chicago Stadium,
"Tue, Dec 11, 1973",Los Angeles Lakers,100,Cleveland Cavaliers,101,Box Score,OT,,,Cleveland Arena,
"Tue, Dec 11, 1973",Houston Rockets,107,Golden State Warriors,114,Box Score,,,,Oakland-Alameda County Coliseum Arena,
"Tue, Dec 11, 1973",Seattle SuperSonics,91,Milwaukee Bucks,130,Box Score,,,,Milwaukee Arena,
"Tue, Dec 11, 1973",Phoenix Suns,97,New York Knicks,105,Box Score,,,,Madison Square Garden (IV),
"Tue, Dec 11, 1973",Capital Bullets,87,Portland Trail Blazers,82,Box Score,,,,Memorial Coliseum,
"Wed, Dec 12, 1973",Buffalo Braves,119,Boston Celtics,126,Box Score,,11671.0,,Providence Civic Center,"at Providence, RI"
"Wed, Dec 12, 1973",Los Angeles Lakers,96,Detroit Pistons,114,Box Score,,,,Cobo Arena,
"Wed, Dec 12, 1973",Seattle SuperSonics,100,Philadelphia 76ers,93,Box Score,,,,The Spectrum,
"Thu, Dec 13, 1973",Chicago Bulls,97,Milwaukee Bucks,94,Box Score,,,,Milwaukee Arena,
"Thu, Dec 13, 1973",Portland Trail Blazers,119,Phoenix Suns,108,Box Score,,,,Arizona Veterans Memorial Coliseum,
"Fri, Dec 14, 1973",Los Angeles Lakers,100,Chicago Bulls,97,Box Score,,,,Chicago Stadium,
"Fri, Dec 14, 1973",Buffalo Braves,102,Cleveland Cavaliers,98,Box Score,,,,Cleveland Arena,
"Fri, Dec 14, 1973",Philadelphia 76ers,96,Detroit Pistons,93,Box Score,,,,Cobo Arena,
"Fri, Dec 14, 1973",Boston Celtics,114,Houston Rockets,106,Box Score,,6856.0,,Hofheinz Pavilion,
"Fri, Dec 14, 1973",Golden State Warriors,101,Portland Trail Blazers,109,Box Score,,,,Memorial Coliseum,
"Fri, Dec 14, 1973",Capital Bullets,88,Seattle SuperSonics,93,Box Score,,,,Seattle Center Coliseum,
"Sat, Dec 15, 1973",Houston Rockets,100,Chicago Bulls,104,Box Score,,,,Chicago Stadium,
"Sat, Dec 15, 1973",Capital Bullets,106,Golden State Warriors,93,Box Score,,,,Oakland-Alameda County Coliseum Arena,
"Sat, Dec 15, 1973",Atlanta Hawks,82,Milwaukee Bucks,116,Box Score,,,,Milwaukee Arena,
"Sat, Dec 15, 1973",Kansas City-Omaha Kings,107,New York Knicks,116,Box Score,,,,Madison Square Garden (IV),
"Sat, Dec 15, 1973",Detroit Pistons,99,Philadelphia 76ers,89,Box Score,,,,The Spectrum,
"Sat, Dec 15, 1973",Boston Celtics,120,Phoenix Suns,121,Box Score,,7362.0,,Arizona Veterans Memorial Coliseum,
"Sun, Dec 16, 1973",Detroit Pistons,104,Kansas City-Omaha Kings,105,Box Score,,,,Municipal Auditorium,
"Sun, Dec 16, 1973",Boston Celtics,115,Los Angeles Lakers,110,Box Score,,17505.0,,The Forum,
"Sun, Dec 16, 1973",Milwaukee Bucks,121,Portland Trail Blazers,98,Box Score,,,,Memorial Coliseum,
"Sun, Dec 16, 1973",Phoenix Suns,113,Seattle SuperSonics,109,Box Score,,,,Seattle Center Coliseum,
"Mon, Dec 17, 1973",New York Knicks,109,Houston Rockets,97,Box Score,,,,Hofheinz Pavilion,
"Tue, Dec 18, 1973",Cleveland Cavaliers,93,Buffalo Braves,100,Box Score,,,,Buffalo Memorial Auditorium,
"Tue, Dec 18, 1973",Atlanta Hawks,98,Capital Bullets,91,Box Score,,,,Capital Centre,
"Tue, Dec 18, 1973",Seattle SuperSonics,93,Chicago Bulls,92,Box Score,,,,Chicago Stadium,
"Tue, Dec 18, 1973",Boston Celtics,125,Golden State Warriors,106,Box Score,,17591.0,,Oakland-Alameda County Coliseum Arena,
"Tue, Dec 18, 1973",Milwaukee Bucks,107,Los Angeles Lakers,109,Box Score,,,,The Forum,
"Tue, Dec 18, 1973",Phoenix Suns,117,Portland Trail Blazers,133,Box Score,,,,Memorial Coliseum,
"Wed, Dec 19, 1973",New York Knicks,105,Atlanta Hawks,107,Box Score,,,,Omni Coliseum,
"Wed, Dec 19, 1973",Chicago Bulls,87,Detroit Pistons,89,Box Score,,3733.0,1:56,Cobo Arena,
"Wed, Dec 19, 1973",Seattle SuperSonics,124,Houston Rockets,118,Box Score,OT,,,Hofheinz Pavilion,
"Wed, Dec 19, 1973",Cleveland Cavaliers,92,Kansas City-Omaha Kings,106,Box Score,,,,Omaha Civic Auditorium,"at Omaha, NE"
"Wed, Dec 19, 1973",Philadelphia 76ers,101,Phoenix Suns,98,Box Score,,,,Arizona Veterans Memorial Coliseum,
"Thu, Dec 20, 1973",Capital Bullets,98,Kansas City-Omaha Kings,92,Box Score,,,,Municipal Auditorium,
"Fri, Dec 21, 1973",New York Knicks,115,Buffalo Braves,117,Box Score,,,,Buffalo Memorial Auditorium,
"Fri, Dec 21, 1973",Seattle SuperSonics,96,Cleveland Cavaliers,101,Box Score,,,,Cleveland Arena,
"Fri, Dec 21, 1973",Golden State Warriors,104,Detroit Pistons,107,Box Score,,,,Cobo Arena,
"Fri, Dec 21, 1973",Atlanta Hawks,124,Houston Rockets,110,Box Score,,,,Hofheinz Pavilion,
"Fri, Dec 21, 1973",Philadelphia 76ers,107,Los Angeles Lakers,116,Box Score,,,,The Forum,
"Fri, Dec 21, 1973",Boston Celtics,124,Portland Trail Blazers,120,Box Score,OT,9829.0,,Memorial Coliseum,
"Sat, Dec 22, 1973",Cleveland Cavaliers,108,Atlanta Hawks,98,Box Score,,,,Omni Coliseum,
"Sat, Dec 22, 1973",Houston Rockets,89,Capital Bullets,98,Box Score,,,,Capital Centre,
"Sat, Dec 22, 1973",Golden State Warriors,86,Chicago Bulls,110,Box Score,,,,Chicago Stadium,
"Sat, Dec 22, 1973",Buffalo Braves,112,Kansas City-Omaha Kings,122,Box Score,,,,Municipal Auditorium,
"Sat, Dec 22, 1973",Detroit Pistons,88,New York Knicks,99,Box Score,,,,Madison Square Garden (IV),
"Sat, Dec 22, 1973",Milwaukee Bucks,112,Phoenix Suns,121,Box Score,,,,Arizona Veterans Memorial Coliseum,
"Sat, Dec 22, 1973",Philadelphia 76ers,105,Portland Trail Blazers,110,Box Score,,,,Memorial Coliseum,
"Sun, Dec 23, 1973",Capital Bullets,110,Buffalo Braves,85,Box Score,,,,Maple Leaf Gardens,"at Toronto, Canada"
"Sun, Dec 23, 1973",Houston Rockets,91,Cleveland Cavaliers,99,Box Score,,,,Cleveland Arena,
"Sun, Dec 23, 1973",Golden State Warriors,93,Kansas City-Omaha Kings,101,Box Score,,,,Municipal Auditorium,
"Sun, Dec 23, 1973",Boston Celtics,96,Seattle SuperSonics,95,Box Score,,13970.0,,Seattle Center Coliseum,
