,League,Season,Team,Sequence,c1,c2,c3
26,D1,2001,Kaiserslautern,"[1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 0, 1, 0]",1.0005661855097403,9.580400047110784,10.1010101010101
27,D1,2001,Leverkusen,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1]",1.0181411867357049,4.870410398884454,4.878048780487805
28,D1,2001,MGladbach,"[1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1, 0, 1, 1, 1, 0, 0]",1.000053708304116,4.725704293047139,1.0395010395010396
29,D1,2001,Munich 1860,"[0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 0, 1, 1]",1.0000981179048942,1.1577587410924932,1.7241379310344827
30,D1,2001,Nurnberg,"[0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1]",1.0000000696917235,7.6669281105776,1.0245901639344261
31,D1,2001,Schalke 04,"[0, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0]",1.0051647688620928,1.2580563242102765,1.3513513513513513
32,D1,2001,St Pauli,"[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0]",1.0000000004593932,3.3829554099506067,1.0482180293501049
33,D1,2001,Stuttgart,"[0, 1, 1, 1, 0, 1, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 1]",1.001884466069514,1.158976390528136,1.680672268907563
34,D1,2001,Werder Bremen,"[0, 1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0]",1.0005661855097403,9.580400047110784,11.494252873563218
35,D1,2001,Wolfsburg,"[0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 1, 1, 1, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 1]",1.0000747424113352,1.1779206329654481,1.8050541516245486
36,D1,2002,Bayern Munich,"[1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0]",1.06639174482282,1.5737967564178146,2.0366598778004072
37,D1,2002,Bielefeld,"[1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0]",1.000064377614585,1.146376006016189,1.375515818431912
38,D1,2002,Bochum,"[1, 1, 1, 0, 0, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1, 1]",1.0002442002442002,1.0,1.5037593984962405
39,D1,2002,Cottbus,"[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1]",1.0000000596046483,2.716324119127958,1.0810810810810811
40,D1,2002,Dortmund,"[1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 0, 1, 1, 0, 1, 0, 1, 1]",1.0684080253048331,1.84807754779239,2.3255813953488373
41,D1,2002,Hamburg,"[1, 0, 0, 0, 1, 0, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1]",1.0069787753789607,11.9336191745077,1.0101010101010102
